#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476152.1         -            351 8708at5820           -            293  3.3e-185  612.6   5.3   1   1  7.6e-188  4.2e-185  612.3   5.3     9   293    64   350    47   350 0.98 | transcript=PVW1_130041800_t1 | gene=PVW1_130041800 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW5] | transcript_product=ABC transporter domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIW5] | location=CAJZCX010000006:1617874-1618929(+) | protein_length=351 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 8708at5820           -            293   1.9e-15   55.4   5.7   1   4   7.4e-05     0.041   11.6   0.1    56   107   393   442   344   487 0.78 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 8708at5820           -            293   1.9e-15   55.4   5.7   2   4   5.4e-08     3e-05   21.9   0.1   191   250   579   639   538   664 0.82 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 8708at5820           -            293   1.9e-15   55.4   5.7   3   4     0.091        50    1.5   0.0    63    94  1181  1212  1138  1230 0.71 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 8708at5820           -            293   1.9e-15   55.4   5.7   4   4   2.9e-07   0.00016   19.5   0.0   189   247  1354  1412  1335  1432 0.84 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473897.1         -           1568 8708at5820           -            293   9.6e-11   39.9   0.2   1   1   4.2e-13   2.3e-10   38.7   0.2    63   282   708   916   703   923 0.82 | transcript=PVW1_120074000_t1 | gene=PVW1_120074000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:2909197-2913903(+) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475828.1         -            695 8708at5820           -            293   1.7e-10   39.1   0.4   1   1   4.7e-13   2.6e-10   38.5   0.4    58   248    48   231    29   269 0.83 | transcript=PVW1_130030100_t1 | gene=PVW1_130030100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1118574-1120661(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476854.1         -            792 8708at5820           -            293   4.4e-10   37.8  13.4   1   4   0.00011     0.059   11.1   0.1    58    95   192   229   162   251 0.80 | transcript=PVW1_090026900_t1 | gene=PVW1_090026900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | transcript_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | location=CAJZCX010000007:973560-975938(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476854.1         -            792 8708at5820           -            293   4.4e-10   37.8  13.4   2   4     1e-05    0.0055   14.5   0.7   178   284   351   453   337   461 0.86 | transcript=PVW1_090026900_t1 | gene=PVW1_090026900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | transcript_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | location=CAJZCX010000007:973560-975938(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476854.1         -            792 8708at5820           -            293   4.4e-10   37.8  13.4   3   4    0.0016      0.89    7.2   0.0    65    94   593   622   587   637 0.87 | transcript=PVW1_090026900_t1 | gene=PVW1_090026900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | transcript_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | location=CAJZCX010000007:973560-975938(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476854.1         -            792 8708at5820           -            293   4.4e-10   37.8  13.4   4   4   0.00012     0.066   10.9   0.9   174   275   680   777   650   785 0.82 | transcript=PVW1_090026900_t1 | gene=PVW1_090026900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | transcript_product=Protein GCN20, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXL2] | location=CAJZCX010000007:973560-975938(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
