#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479169.1         -           2121 9454at5820           -            232  7.5e-162  534.4  19.5   1   6   1.4e-35   2.1e-32  110.8   0.8    35   231    99   299    94   300 0.94 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 9454at5820           -            232  7.5e-162  534.4  19.5   2   6   1.2e-36   1.7e-33  114.4   0.6    37   231   326   522   317   523 0.95 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 9454at5820           -            232  7.5e-162  534.4  19.5   3   6   2.3e-29   3.5e-26   90.5   0.0    37   231   614   809   607   810 0.93 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 9454at5820           -            232  7.5e-162  534.4  19.5   4   6   1.7e-39   2.6e-36  123.7   0.1    38   231   851  1047   844  1048 0.95 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 9454at5820           -            232  7.5e-162  534.4  19.5   5   6   1.2e-16   1.8e-13   48.9   0.0    37   203  1074  1242  1062  1247 0.85 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479169.1         -           2121 9454at5820           -            232  7.5e-162  534.4  19.5   6   6   3.1e-18   4.7e-15   54.1   1.6    29   231  1313  1524  1307  1525 0.84 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485134.1         -            295 9454at5820           -            232  1.7e-134  445.0   4.3   1   2   2.3e-14   3.5e-11   41.4   0.3     8    35    42    69    35    74 0.92 | transcript=PVW1_010023300_t1 | gene=PVW1_010023300 | organism=Plasmodium_vivax_PvW1 | gene_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C3TTS9] | transcript_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C3TTS9] | location=CAJZCX010000016:840069-840956(+) | protein_length=295 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485134.1         -            295 9454at5820           -            232  1.7e-134  445.0   4.3   2   2  1.6e-125  2.4e-122  405.2   0.4    33   232    87   288    81   288 0.98 | transcript=PVW1_010023300_t1 | gene=PVW1_010023300 | organism=Plasmodium_vivax_PvW1 | gene_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C3TTS9] | transcript_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C3TTS9] | location=CAJZCX010000016:840069-840956(+) | protein_length=295 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473334.1         -            556 9454at5820           -            232   3.1e-14   51.4   0.1   1   1   3.4e-17   5.1e-14   50.7   0.1    21   231    22   232     5   233 0.85 | transcript=PVW1_120033200_t1 | gene=PVW1_120033200 | organism=Plasmodium_vivax_PvW1 | gene_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A0A0R856] | transcript_product=VWFA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A0A0R856] | location=CAJZCX010000004:1237474-1239144(+) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477967.1         -           1460 9454at5820           -            232   1.9e-08   32.4   0.1   1   1   2.5e-11   3.8e-08   31.5   0.1    33   175   322   467   310   495 0.85 | transcript=PVW1_110038400_t1 | gene=PVW1_110038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1423938-1428320(-) | protein_length=1460 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
