#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9482417.1         -            715 3576at5820           -            580         0 1081.1  59.8   1   2    5e-101     1e-97  326.8  20.9     1   169     1   179     1   185 0.96 | transcript=PVW1_040014700_t1 | gene=PVW1_040014700 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL1] | transcript_product=Vacuolar protein sorting-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL1] | location=CAJZCX010000013:443216-445363(-) | protein_length=715 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482417.1         -            715 3576at5820           -            580         0 1081.1  59.8   2   2  1.7e-231  3.4e-228  757.6  31.0   176   580   273   714   255   714 0.94 | transcript=PVW1_040014700_t1 | gene=PVW1_040014700 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL1] | transcript_product=Vacuolar protein sorting-associated protein 45, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSL1] | location=CAJZCX010000013:443216-445363(-) | protein_length=715 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481777.1         -            660 3576at5820           -            580   2.3e-14   51.6  19.0   1   3   8.2e-16   1.7e-12   45.4   8.2    86   297    83   285    38   288 0.80 | transcript=PVW1_060025600_t1 | gene=PVW1_060025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Sec1 family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z1] | transcript_product=Sec1 family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z1] | location=CAJZCX010000012:848072-850054(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481777.1         -            660 3576at5820           -            580   2.3e-14   51.6  19.0   2   3      0.24   4.8e+02   -2.3   0.5   365   455   398   492   383   524 0.59 | transcript=PVW1_060025600_t1 | gene=PVW1_060025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Sec1 family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z1] | transcript_product=Sec1 family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z1] | location=CAJZCX010000012:848072-850054(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481777.1         -            660 3576at5820           -            580   2.3e-14   51.6  19.0   3   3   4.5e-06    0.0091   13.3   0.1   527   573   603   649   596   654 0.89 | transcript=PVW1_060025600_t1 | gene=PVW1_060025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Sec1 family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z1] | transcript_product=Sec1 family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z1] | location=CAJZCX010000012:848072-850054(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478022.1         -            654 3576at5820           -            580   0.00055   17.3  12.8   1   4     0.029        58    0.7   0.0    23    76    18    72     5    88 0.76 | transcript=PVW1_110041200_t1 | gene=PVW1_110041200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1551171-1553135(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478022.1         -            654 3576at5820           -            580   0.00055   17.3  12.8   2   4    0.0019       3.8    4.6   0.2   243   289   205   251   132   261 0.86 | transcript=PVW1_110041200_t1 | gene=PVW1_110041200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1551171-1553135(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478022.1         -            654 3576at5820           -            580   0.00055   17.3  12.8   3   4     0.019        39    1.3   3.2   307   434   312   452   289   467 0.67 | transcript=PVW1_110041200_t1 | gene=PVW1_110041200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1551171-1553135(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478022.1         -            654 3576at5820           -            580   0.00055   17.3  12.8   4   4   7.2e-06     0.015   12.6   0.0   529   570   602   643   593   649 0.90 | transcript=PVW1_110041200_t1 | gene=PVW1_110041200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1551171-1553135(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3576at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3576at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3576at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:30 2026
# [ok]
