#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478148.1         -            403 10508at5820          -            310  1.5e-151  502.7  17.0   1   2  7.7e-117  3.9e-114  379.7   5.5     2   234    13   251    12   285 0.91 | transcript=PVW1_110047700_t1 | gene=PVW1_110047700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1801318-1802715(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478148.1         -            403 10508at5820          -            310  1.5e-151  502.7  17.0   2   2     2e-40     1e-37  128.7   3.6   245   310   338   403   329   403 0.97 | transcript=PVW1_110047700_t1 | gene=PVW1_110047700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1801318-1802715(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476266.1         -            695 10508at5820          -            310   9.5e-18   63.1  43.1   1   2    0.0067       3.4    5.5  30.8    95   186   318   401   240   412 0.65 | transcript=PVW1_130049700_t1 | gene=PVW1_130049700 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJI6] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJI6] | location=CAJZCX010000006:1982006-1984093(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476266.1         -            695 10508at5820          -            310   9.5e-18   63.1  43.1   2   2   4.3e-20   2.2e-17   62.0   3.9   208   299   600   692   580   695 0.85 | transcript=PVW1_130049700_t1 | gene=PVW1_130049700 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJI6] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJI6] | location=CAJZCX010000006:1982006-1984093(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479179.1         -           1201 10508at5820          -            310   2.4e-12   45.4   3.2   1   2         2   9.9e+02   -2.6   1.1   196   255   295   355   270   365 0.67 | transcript=PVW1_080031100_t1 | gene=PVW1_080031100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK5] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK5] | location=CAJZCX010000009:1193301-1196906(+) | protein_length=1201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479179.1         -           1201 10508at5820          -            310   2.4e-12   45.4   3.2   2   2   4.7e-15   2.4e-12   45.4   3.2   243   301  1144  1200  1113  1201 0.79 | transcript=PVW1_080031100_t1 | gene=PVW1_080031100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK5] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK5] | location=CAJZCX010000009:1193301-1196906(+) | protein_length=1201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474765.1         -            284 10508at5820          -            310   2.9e-09   35.3   2.3   1   1   5.6e-12   2.9e-09   35.3   2.3   249   300   232   281   203   283 0.90 | transcript=PVW1_100028000_t1 | gene=PVW1_100028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | location=CAJZCX010000005:1109632-1110967(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478669.1         -           1166 10508at5820          -            310   4.9e-09   34.5   1.0   1   1     2e-11     1e-08   33.5   1.0   205   298   309   408   295   412 0.77 | transcript=PVW1_080009300_t1 | gene=PVW1_080009300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:250338-253838(-) | protein_length=1166 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475900.1         -            520 10508at5820          -            310     9e-06   23.8   5.1   1   1   1.8e-08     9e-06   23.8   5.1   270   300   313   341   256   353 0.69 | transcript=PVW1_130033100_t1 | gene=PVW1_130033100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | location=CAJZCX010000006:1233244-1235580(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481623.1         -            272 10508at5820          -            310   9.8e-06   23.7   1.0   1   1   1.9e-08   9.8e-06   23.7   1.0   244   300   209   264   193   268 0.83 | transcript=PVW1_060019700_t1 | gene=PVW1_060019700 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | location=CAJZCX010000012:634555-635373(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479231.1         -            761 10508at5820          -            310   0.00027   19.0   2.8   1   2      0.36   1.8e+02   -0.2   5.1    54   114   460   526   445   546 0.65 | transcript=PVW1_080033700_t1 | gene=PVW1_080033700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1269096-1271381(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
