#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481623.1         -            272 10294at5820          -            246  7.6e-140  463.0  26.0   1   1  1.6e-142  8.7e-140  462.8  26.0     1   246    10   270    10   270 0.96 | transcript=PVW1_060019700_t1 | gene=PVW1_060019700 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | location=CAJZCX010000012:634555-635373(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479179.1         -           1201 10294at5820          -            246   1.4e-07   29.8   4.7   1   1   4.7e-10   2.6e-07   28.9   4.7   193   239  1152  1198  1136  1200 0.91 | transcript=PVW1_080031100_t1 | gene=PVW1_080031100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK5] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK5] | location=CAJZCX010000009:1193301-1196906(+) | protein_length=1201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474765.1         -            284 10294at5820          -            246   2.7e-06   25.6   2.8   1   3     0.031        17    3.3  10.3    47   172    15   155     7   156 0.57 | transcript=PVW1_100028000_t1 | gene=PVW1_100028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | location=CAJZCX010000005:1109632-1110967(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474765.1         -            284 10294at5820          -            246   2.7e-06   25.6   2.8   2   3       1.4   7.6e+02   -2.1  22.9    18   145    75   205    64   219 0.65 | transcript=PVW1_100028000_t1 | gene=PVW1_100028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | location=CAJZCX010000005:1109632-1110967(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474765.1         -            284 10294at5820          -            246   2.7e-06   25.6   2.8   3   3     5e-09   2.7e-06   25.6   2.8   188   239   229   280   218   283 0.88 | transcript=PVW1_100028000_t1 | gene=PVW1_100028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | location=CAJZCX010000005:1109632-1110967(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478148.1         -            403 10294at5820          -            246   7.5e-05   20.9   3.7   1   1   1.4e-07   7.5e-05   20.9   3.7   192   241   343   394   338   397 0.79 | transcript=PVW1_110047700_t1 | gene=PVW1_110047700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1801318-1802715(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475900.1         -            520 10294at5820          -            246   0.00055   18.0  11.1   1   2       3.6     2e+03   -3.5   9.5    81   142    15    76     2    93 0.58 | transcript=PVW1_130033100_t1 | gene=PVW1_130033100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | location=CAJZCX010000006:1233244-1235580(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475900.1         -            520 10294at5820          -            246   0.00055   18.0  11.1   2   2   9.9e-07   0.00055   18.0  11.1   191   242   294   343   214   345 0.65 | transcript=PVW1_130033100_t1 | gene=PVW1_130033100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | location=CAJZCX010000006:1233244-1235580(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478669.1         -           1166 10294at5820          -            246   0.00071   17.7   1.6   1   1     2e-06    0.0011   17.0   1.6   193   237   359   407   342   413 0.78 | transcript=PVW1_080009300_t1 | gene=PVW1_080009300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:250338-253838(-) | protein_length=1166 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478755.1         -            608 10294at5820          -            246     0.001   17.1   6.1   1   2       4.5   2.5e+03   -3.8   1.0    72   120   326   374   302   421 0.53 | transcript=PVW1_080012300_t1 | gene=PVW1_080012300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:355174-357202(+) | protein_length=608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478755.1         -            608 10294at5820          -            246     0.001   17.1   6.1   2   2   1.9e-06     0.001   17.1   6.1   193   237   560   604   552   608 0.89 | transcript=PVW1_080012300_t1 | gene=PVW1_080012300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:355174-357202(+) | protein_length=608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
