#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478694.1         -            748 5031at5820           -            588  4.1e-286  948.6  17.6   1   2  1.5e-146  1.5e-143  477.8   8.7    37   305   131   407    99   415 0.90 | transcript=PVW1_080010000_t1 | gene=PVW1_080010000 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBC0] | transcript_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBC0] | location=CAJZCX010000009:277878-280124(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478694.1         -            748 5031at5820           -            588  4.1e-286  948.6  17.6   2   2  4.5e-146  4.6e-143  476.2   1.5   309   588   441   748   435   748 0.96 | transcript=PVW1_080010000_t1 | gene=PVW1_080010000 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBC0] | transcript_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBC0] | location=CAJZCX010000009:277878-280124(-) | protein_length=748 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481798.1         -            886 5031at5820           -            588   1.2e-83  280.0  32.4   1   2   1.3e-54   1.4e-51  174.2  20.0    30   301   179   458   154   464 0.83 | transcript=PVW1_060026500_t1 | gene=PVW1_060026500 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | transcript_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | location=CAJZCX010000012:875841-878501(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481798.1         -            886 5031at5820           -            588   1.2e-83  280.0  32.4   2   2   1.2e-35   1.2e-32  111.6   4.6   340   566   463   692   459   708 0.84 | transcript=PVW1_060026500_t1 | gene=PVW1_060026500 | organism=Plasmodium_vivax_PvW1 | gene_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | transcript_product=Methionine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HA18] | location=CAJZCX010000012:875841-878501(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479660.1         -           1316 5031at5820           -            588   3.7e-12   43.9   3.7   1   2   1.5e-06    0.0015   15.5   0.2    75   149   161   233   143   333 0.80 | transcript=PVW1_050011100_t1 | gene=PVW1_050011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:303846-307796(-) | protein_length=1316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479660.1         -           1316 5031at5820           -            588   3.7e-12   43.9   3.7   2   2   1.2e-10   1.2e-07   29.0   0.3   379   441   916   978   912   986 0.92 | transcript=PVW1_050011100_t1 | gene=PVW1_050011100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:303846-307796(-) | protein_length=1316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473376.1         -           1206 5031at5820           -            588   8.6e-11   39.4  23.6   1   2   3.8e-05     0.038   10.8   3.3    55   206    91   258    56   264 0.63 | transcript=PVW1_120036200_t1 | gene=PVW1_120036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1330279-1333899(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473376.1         -           1206 5031at5820           -            588   8.6e-11   39.4  23.6   2   2   3.8e-11   3.8e-08   30.7  12.5   238   559   547   905   531   916 0.68 | transcript=PVW1_120036200_t1 | gene=PVW1_120036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1330279-1333899(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472322.1         -           1607 5031at5820           -            588     1e-08   32.6  16.6   1   3     2e-09     2e-06   25.0   5.7    18   134   176   286   160   291 0.67 | transcript=PVW1_140049600_t1 | gene=PVW1_140049600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1942348-1947685(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472322.1         -           1607 5031at5820           -            588     1e-08   32.6  16.6   2   3     0.074        75   -0.0   0.5   222   280   837   893   825   932 0.63 | transcript=PVW1_140049600_t1 | gene=PVW1_140049600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1942348-1947685(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472322.1         -           1607 5031at5820           -            588     1e-08   32.6  16.6   3   3   7.8e-06    0.0079   13.1   0.1   375   402  1152  1180  1145  1183 0.79 | transcript=PVW1_140049600_t1 | gene=PVW1_140049600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1942348-1947685(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
