#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480390.1         -           1080 2890at5820           -            563  6.9e-247  818.9  38.4   1   5   3.4e-21     7e-18   62.9   1.2     1    69     1    92     1    96 0.74 | transcript=PVW1_070015000_t1 | gene=PVW1_070015000 | organism=Plasmodium_vivax_PvW1 | gene_product=SET domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ3] | transcript_product=SET domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ3] | location=CAJZCX010000011:517225-520467(-) | protein_length=1080 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480390.1         -           1080 2890at5820           -            563  6.9e-247  818.9  38.4   2   5   5.8e-07    0.0012   15.9   0.0    67    91   113   138   105   147 0.85 | transcript=PVW1_070015000_t1 | gene=PVW1_070015000 | organism=Plasmodium_vivax_PvW1 | gene_product=SET domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ3] | transcript_product=SET domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ3] | location=CAJZCX010000011:517225-520467(-) | protein_length=1080 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480390.1         -           1080 2890at5820           -            563  6.9e-247  818.9  38.4   3   5   3.4e-45   6.8e-42  142.2   1.2    97   190   369   463   361   471 0.95 | transcript=PVW1_070015000_t1 | gene=PVW1_070015000 | organism=Plasmodium_vivax_PvW1 | gene_product=SET domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ3] | transcript_product=SET domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ3] | location=CAJZCX010000011:517225-520467(-) | protein_length=1080 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480390.1         -           1080 2890at5820           -            563  6.9e-247  818.9  38.4   4   5   1.1e-80   2.3e-77  259.3   2.9   185   333   533   679   526   690 0.93 | transcript=PVW1_070015000_t1 | gene=PVW1_070015000 | organism=Plasmodium_vivax_PvW1 | gene_product=SET domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ3] | transcript_product=SET domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ3] | location=CAJZCX010000011:517225-520467(-) | protein_length=1080 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480390.1         -           1080 2890at5820           -            563  6.9e-247  818.9  38.4   5   5  3.2e-110  6.5e-107  356.8   7.9   341   563   839  1074   834  1074 0.95 | transcript=PVW1_070015000_t1 | gene=PVW1_070015000 | organism=Plasmodium_vivax_PvW1 | gene_product=SET domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ3] | transcript_product=SET domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ3] | location=CAJZCX010000011:517225-520467(-) | protein_length=1080 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476718.1         -            800 2890at5820           -            563   4.8e-15   53.5  15.6   1   2   3.8e-07   0.00076   16.5   0.5   110   183   352   427   326   451 0.73 | transcript=PVW1_090020400_t1 | gene=PVW1_090020400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:726260-729852(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476718.1         -            800 2890at5820           -            563   4.8e-15   53.5  15.6   2   2   1.7e-14   3.4e-11   40.8   8.7   217   465   502   758   482   773 0.69 | transcript=PVW1_090020400_t1 | gene=PVW1_090020400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:726260-729852(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475043.1         -           1569 2890at5820           -            563   2.5e-06   24.8   0.4   1   2   1.2e-09   2.5e-06   24.8   0.4   236   386   467   624   445   672 0.79 | transcript=PVW1_100049900_t1 | gene=PVW1_100049900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2040043-2044752(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475043.1         -           1569 2890at5820           -            563   2.5e-06   24.8   0.4   2   2      0.34     7e+02   -3.1   0.1   447   482   842   876   838   893 0.75 | transcript=PVW1_100049900_t1 | gene=PVW1_100049900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2040043-2044752(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2890at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2890at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2890at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:22 2026
# [ok]
