#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475871.1         -           1000 1968at5820           -            840         0 1614.1  49.4   1   2   1.8e-55   9.8e-53  177.7   0.5     1   147     8   202     8   214 0.86 | transcript=PVW1_130032200_t1 | gene=PVW1_130032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1199845-1205677(-) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475871.1         -           1000 1968at5820           -            840         0 1614.1  49.4   2   2         0         0 1440.3  42.8   140   840   250   996   243   996 0.96 | transcript=PVW1_130032200_t1 | gene=PVW1_130032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1199845-1205677(-) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477712.1         -            682 1968at5820           -            840   3.1e-54  182.6   8.7   1   2   0.00044      0.24    7.7   1.2   679   769   151   250   142   271 0.75 | transcript=PVW1_110021900_t1 | gene=PVW1_110021900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | location=CAJZCX010000008:734450-736498(-) | protein_length=682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477712.1         -            682 1968at5820           -            840   3.1e-54  182.6   8.7   2   2   5.9e-56   3.3e-53  179.2   1.1   171   408   418   650   367   680 0.90 | transcript=PVW1_110021900_t1 | gene=PVW1_110021900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM6] | location=CAJZCX010000008:734450-736498(-) | protein_length=682 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476126.1         -            304 1968at5820           -            840   1.4e-43  147.4   0.0   1   1   3.4e-46   1.9e-43  147.0   0.0   175   411    57   287    50   296 0.88 | transcript=PVW1_130040900_t1 | gene=PVW1_130040900 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ21] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ21] | location=CAJZCX010000006:1574831-1576985(-) | protein_length=304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479185.1         -            308 1968at5820           -            840   4.3e-40  135.8   0.4   1   1   9.4e-43   5.2e-40  135.6   0.4   170   410    45   280    10   295 0.84 | transcript=PVW1_080031400_t1 | gene=PVW1_080031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK8] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK8] | location=CAJZCX010000009:1205820-1206746(+) | protein_length=308 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480653.1         -            307 1968at5820           -            840   1.8e-39  133.8   0.8   1   1   3.8e-42   2.1e-39  133.6   0.8   167   415    40   282     7   291 0.82 | transcript=PVW1_070032700_t1 | gene=PVW1_070032700 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY5] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY5] | location=CAJZCX010000011:1210037-1210960(-) | protein_length=307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480625.1         -            516 1968at5820           -            840   3.3e-37  126.3   0.0   1   1   9.4e-40   5.2e-37  125.7   0.0   175   407   253   485   176   502 0.86 | transcript=PVW1_070030300_t1 | gene=PVW1_070030300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1107178-1108896(-) | protein_length=516 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473632.1         -            878 1968at5820           -            840   2.2e-34  117.0   2.3   1   1   6.4e-37   3.5e-34  116.3   2.3   173   427   564   846   473   858 0.82 | transcript=PVW1_120055400_t1 | gene=PVW1_120055400 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH60] | location=CAJZCX010000004:2109751-2112515(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485099.1         -            564 1968at5820           -            840   5.8e-28   95.7   1.3   1   1   1.3e-30   7.2e-28   95.4   1.3   175   418    82   333    61   399 0.82 | transcript=PVW1_010021800_t1 | gene=PVW1_010021800 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K2] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K2] | location=CAJZCX010000016:755455-757677(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481269.1         -           2083 1968at5820           -            840   1.4e-12   44.8   1.1   1   2     0.025        14    1.8   0.0   176   216  1184  1226  1110  1234 0.87 | transcript=PVW1_060009700_t1 | gene=PVW1_060009700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:190330-196735(-) | protein_length=2083 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
