#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474018.1         -            340 11418at5820          -            204   2.3e-98  326.7  15.3   1   2   2.2e-06    0.0033   16.0   0.0     1    30     1    29     1    47 0.74 | transcript=PVW1_120082900_t1 | gene=PVW1_120082900 | organism=Plasmodium_vivax_PvW1 | gene_product=Copper transport protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHX4] | transcript_product=Copper transport protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHX4] | location=CAJZCX010000004:3313500-3314687(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474018.1         -            340 11418at5820          -            204   2.3e-98  326.7  15.3   2   2   1.1e-95   1.6e-92  307.6  14.2    24   204   130   340   122   340 0.95 | transcript=PVW1_120082900_t1 | gene=PVW1_120082900 | organism=Plasmodium_vivax_PvW1 | gene_product=Copper transport protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHX4] | transcript_product=Copper transport protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHX4] | location=CAJZCX010000004:3313500-3314687(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475914.1         -            161 11418at5820          -            204   2.7e-22   78.3   7.3   1   1   2.3e-25   3.4e-22   77.9   7.3    55   177    31   157     5   160 0.89 | transcript=PVW1_130033700_t1 | gene=PVW1_130033700 | organism=Plasmodium_vivax_PvW1 | gene_product=Copper transport protein [Source:UniProtKB/TrEMBL;Acc:A0A565A0U1] | transcript_product=Copper transport protein [Source:UniProtKB/TrEMBL;Acc:A0A565A0U1] | location=CAJZCX010000006:1250973-1251458(+) | protein_length=161 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474551.1         -            349 11418at5820          -            204      0.24    9.9  10.4   1   3   8.6e-05      0.13   10.7   0.2    26    65     7    46     3    66 0.83 | transcript=PVW1_100011900_t1 | gene=PVW1_100011900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:342745-344042(+) | protein_length=349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474551.1         -            349 11418at5820          -            204      0.24    9.9  10.4   2   3    0.0067        10    4.6   1.7    24    59    82   117    54   130 0.77 | transcript=PVW1_100011900_t1 | gene=PVW1_100011900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:342745-344042(+) | protein_length=349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474551.1         -            349 11418at5820          -            204      0.24    9.9  10.4   3   3      0.93   1.4e+03   -2.4   0.1    22    48   162   187   143   206 0.62 | transcript=PVW1_100011900_t1 | gene=PVW1_100011900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:342745-344042(+) | protein_length=349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474658.1         -            349 11418at5820          -            204      0.58    8.6  12.8   1   3   0.00067         1    7.8   0.2    26    65     7    46     3    56 0.83 | transcript=PVW1_100022100_t1 | gene=PVW1_100022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:836194-837489(-) | protein_length=349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474658.1         -            349 11418at5820          -            204      0.58    8.6  12.8   2   3   0.00056      0.86    8.1   2.0     9    60    63   118    54   139 0.71 | transcript=PVW1_100022100_t1 | gene=PVW1_100022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:836194-837489(-) | protein_length=349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474658.1         -            349 11418at5820          -            204      0.58    8.6  12.8   3   3      0.43   6.5e+02   -1.3   0.3    35    53   174   189   144   221 0.50 | transcript=PVW1_100022100_t1 | gene=PVW1_100022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:836194-837489(-) | protein_length=349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11418at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11418at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11418at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:39 2026
# [ok]
