#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476262.1         -           1020 8193at5820           -            626    3e-276  916.5 173.9   1   6   1.3e-63   1.5e-60  203.9  15.2     1   132     9   143     9   153 0.94 | transcript=PVW1_130049500_t1 | gene=PVW1_130049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1971507-1974743(-) | protein_length=1020 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476262.1         -           1020 8193at5820           -            626    3e-276  916.5 173.9   2   6   6.1e-05     0.074   10.1   1.1   131   152   204   225   203   229 0.93 | transcript=PVW1_130049500_t1 | gene=PVW1_130049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1971507-1974743(-) | protein_length=1020 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476262.1         -           1020 8193at5820           -            626    3e-276  916.5 173.9   3   6   3.5e-54   4.3e-51  172.7  19.4   129   272   237   394   226   398 0.86 | transcript=PVW1_130049500_t1 | gene=PVW1_130049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1971507-1974743(-) | protein_length=1020 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476262.1         -           1020 8193at5820           -            626    3e-276  916.5 173.9   4   6  4.8e-111  5.8e-108  360.6  52.6   269   499   489   757   486   760 0.88 | transcript=PVW1_130049500_t1 | gene=PVW1_130049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1971507-1974743(-) | protein_length=1020 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476262.1         -           1020 8193at5820           -            626    3e-276  916.5 173.9   5   6   3.5e-63   4.3e-60  202.5  36.3   484   623   767   914   758   917 0.90 | transcript=PVW1_130049500_t1 | gene=PVW1_130049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1971507-1974743(-) | protein_length=1020 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476262.1         -           1020 8193at5820           -            626    3e-276  916.5 173.9   6   6         5   6.1e+03  -12.6  10.9   599   621   977  1002   937  1018 0.50 | transcript=PVW1_130049500_t1 | gene=PVW1_130049500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1971507-1974743(-) | protein_length=1020 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478174.1         -            615 8193at5820           -            626     2e-09   35.1   2.0   1   3   0.00017      0.21    8.6   0.3   198   260    10    72     4    85 0.91 | transcript=PVW1_110048700_t1 | gene=PVW1_110048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1844363-1846788(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478174.1         -            615 8193at5820           -            626     2e-09   35.1   2.0   2   3   1.6e-12     2e-09   35.1   2.0   196   269   165   238   131   265 0.89 | transcript=PVW1_110048700_t1 | gene=PVW1_110048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1844363-1846788(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478174.1         -            615 8193at5820           -            626     2e-09   35.1   2.0   3   3         5   6.1e+03   -9.0   5.4   583   598   495   510   487   530 0.52 | transcript=PVW1_110048700_t1 | gene=PVW1_110048700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1844363-1846788(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480575.1         -            475 8193at5820           -            626   2.7e-09   34.6   5.2   1   2       0.2   2.4e+02   -1.6   5.2     3   114    91   206    89   226 0.62 | transcript=PVW1_070025800_t1 | gene=PVW1_070025800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:933774-935396(+) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480575.1         -            475 8193at5820           -            626   2.7e-09   34.6   5.2   2   2   2.2e-12   2.7e-09   34.6   5.2   190   274   296   385   245   390 0.86 | transcript=PVW1_070025800_t1 | gene=PVW1_070025800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:933774-935396(+) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
