#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472483.1         -            259 11969at5820          -            217  6.8e-113  373.9  16.1   1   2   3.7e-57   2.5e-54  182.5   1.0     1   107     1   116     1   127 0.91 | transcript=PVW1_140065200_t1 | gene=PVW1_140065200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | location=CAJZCX010000003:2633772-2635544(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472483.1         -            259 11969at5820          -            217  6.8e-113  373.9  16.1   2   2   2.1e-61   1.4e-58  196.3   8.9    90   217   119   257   116   257 0.92 | transcript=PVW1_140065200_t1 | gene=PVW1_140065200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | location=CAJZCX010000003:2633772-2635544(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 11969at5820          -            217     1e-15   56.2   3.8   1   4     9e-05      0.06   11.2   0.0     6    37    37    68    33    72 0.90 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 11969at5820          -            217     1e-15   56.2   3.8   2   4   4.7e-05     0.032   12.2   0.1    35    68   672   705   662   715 0.89 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 11969at5820          -            217     1e-15   56.2   3.8   3   4    0.0016         1    7.2   0.1   142   195   747   801   740   826 0.83 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 11969at5820          -            217     1e-15   56.2   3.8   4   4   2.8e-08   1.9e-05   22.7   0.2   143   200  1027  1091  1016  1109 0.76 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484005.1         -            332 11969at5820          -            217   6.8e-09   34.0   9.6   1   4    0.0058       3.9    5.3   0.0     7    34    27    54    22    60 0.80 | transcript=PVW1_020014300_t1 | gene=PVW1_020014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | location=CAJZCX010000015:420292-422552(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484005.1         -            332 11969at5820          -            217   6.8e-09   34.0   9.6   2   4     3e-08   2.1e-05   22.6   0.3    35   110    92   181    84   187 0.73 | transcript=PVW1_020014300_t1 | gene=PVW1_020014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | location=CAJZCX010000015:420292-422552(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484005.1         -            332 11969at5820          -            217   6.8e-09   34.0   9.6   3   4   1.6e-05     0.011   13.7   3.6   151   208   155   224   146   233 0.75 | transcript=PVW1_020014300_t1 | gene=PVW1_020014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | location=CAJZCX010000015:420292-422552(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484005.1         -            332 11969at5820          -            217   6.8e-09   34.0   9.6   4   4     0.092        62    1.4   0.0   152   179   252   279   239   318 0.71 | transcript=PVW1_020014300_t1 | gene=PVW1_020014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | location=CAJZCX010000015:420292-422552(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477463.1         -            494 11969at5820          -            217     2e-08   32.4   3.2   1   5     0.026        18    3.2   0.0     6    33    18    45     8    55 0.78 | transcript=PVW1_110008700_t1 | gene=PVW1_110008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | location=CAJZCX010000008:172928-174412(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
