#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479795.1         -            690 3994at5820           -            641         0 1477.0  29.4   1   2         0         0 1469.5   6.3     1   634     8   657     8   657 0.99 | transcript=PVW1_050020400_t1 | gene=PVW1_050020400 | organism=Plasmodium_vivax_PvW1 | gene_product=Heat shock protein 70 [Source:UniProtKB/TrEMBL;Acc:Q2VG87] | transcript_product=Heat shock protein 70 [Source:UniProtKB/TrEMBL;Acc:Q2VG87] | location=CAJZCX010000010:672840-674912(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479795.1         -            690 3994at5820           -            641         0 1477.0  29.4   2   2   3.2e-07   0.00032   17.3  16.3   605   641   652   690   652   690 0.68 | transcript=PVW1_050020400_t1 | gene=PVW1_050020400 | organism=Plasmodium_vivax_PvW1 | gene_product=Heat shock protein 70 [Source:UniProtKB/TrEMBL;Acc:Q2VG87] | transcript_product=Heat shock protein 70 [Source:UniProtKB/TrEMBL;Acc:Q2VG87] | location=CAJZCX010000010:672840-674912(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480544.1         -            652 3994at5820           -            641  1.4e-234  778.4  10.3   1   1  1.8e-237  1.9e-234  778.0  10.3    10   605    30   635    22   643 0.95 | transcript=PVW1_070022900_t1 | gene=PVW1_070022900 | organism=Plasmodium_vivax_PvW1 | gene_product=Endoplasmic reticulum chaperone BiP, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV65] | transcript_product=Endoplasmic reticulum chaperone BiP, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV65] | location=CAJZCX010000011:813362-815778(+) | protein_length=652 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477067.1         -            663 3994at5820           -            641  1.9e-177  589.6  11.0   1   1  2.2e-180  2.2e-177  589.4  11.0     7   564    40   590    33   644 0.92 | transcript=PVW1_090039300_t1 | gene=PVW1_090039300 | organism=Plasmodium_vivax_PvW1 | gene_product=Heat shock protein 70, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD23] | transcript_product=Heat shock protein 70, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD23] | location=CAJZCX010000007:1491404-1493395(+) | protein_length=663 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484808.1         -            887 3994at5820           -            641   4.8e-43  145.6   6.1   1   2   3.5e-31   3.5e-28   96.5   2.3    11   252     4   251     2   271 0.87 | transcript=PVW1_010013200_t1 | gene=PVW1_010013200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:408344-411007(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484808.1         -            887 3994at5820           -            641   4.8e-43  145.6   6.1   2   2   4.7e-17   4.8e-14   49.8   0.1   267   387   294   414   276   421 0.89 | transcript=PVW1_010013200_t1 | gene=PVW1_010013200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:408344-411007(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473212.1         -            928 3994at5820           -            641   4.2e-23   79.7   1.9   1   3     0.001       1.1    5.7   0.0    10    75    26    92    18   116 0.88 | transcript=PVW1_120025200_t1 | gene=PVW1_120025200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:909398-912184(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473212.1         -            928 3994at5820           -            641   4.2e-23   79.7   1.9   2   3   4.2e-26   4.2e-23   79.7   1.9   119   401   165   461   135   562 0.81 | transcript=PVW1_120025200_t1 | gene=PVW1_120025200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:909398-912184(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473212.1         -            928 3994at5820           -            641   4.2e-23   79.7   1.9   3   3      0.52   5.3e+02   -3.2   3.3   515   584   648   717   625   740 0.77 | transcript=PVW1_120025200_t1 | gene=PVW1_120025200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:909398-912184(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474788.1         -            463 3994at5820           -            641     0.092    9.2  95.7   1   2         6   6.1e+03  -27.5  64.3   539   634   235   331   211   376 0.63 | transcript=PVW1_100030200_t1 | gene=PVW1_100030200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1189816-1191632(-) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474788.1         -            463 3994at5820           -            641     0.092    9.2  95.7   2   2    0.0056       5.7    3.3  27.2   608   632   376   400   373   409 0.58 | transcript=PVW1_100030200_t1 | gene=PVW1_100030200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1189816-1191632(-) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3994at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3994at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3994at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:49 2026
# [ok]
