#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473586.1         -            803 3052at5820           -            646         0 1177.0  90.0   1   2   5.5e-76   8.4e-73  244.5  36.6     5   225    28   323    25   340 0.84 | transcript=PVW1_120051000_t1 | gene=PVW1_120051000 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | location=CAJZCX010000004:1911128-1914430(-) | protein_length=803 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473586.1         -            803 3052at5820           -            646         0 1177.0  90.0   2   2  6.7e-285    1e-281  934.7  45.4   222   646   345   784   339   784 0.97 | transcript=PVW1_120051000_t1 | gene=PVW1_120051000 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | location=CAJZCX010000004:1911128-1914430(-) | protein_length=803 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475475.1         -           1005 3052at5820           -            646     3e-43  146.9  19.3   1   4         4   6.1e+03  -10.5   7.3   113   136   301   324   247   347 0.49 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475475.1         -           1005 3052at5820           -            646     3e-43  146.9  19.3   2   4         4   6.1e+03   -7.8  10.1   104   172   398   465   378   469 0.66 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475475.1         -           1005 3052at5820           -            646     3e-43  146.9  19.3   3   4     2e-46     3e-43  146.9  19.3   243   499   657   912   592   920 0.87 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475475.1         -           1005 3052at5820           -            646     3e-43  146.9  19.3   4   4    0.0025       3.8    4.4   0.2   542   604   921   982   914  1000 0.82 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472081.1         -           1164 3052at5820           -            646   1.9e-38  131.0  25.9   1   4      0.71   1.1e+03   -3.6   0.7   588   620   241   271   226   289 0.57 | transcript=PVW1_140028600_t1 | gene=PVW1_140028600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1032747-1038043(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472081.1         -           1164 3052at5820           -            646   1.9e-38  131.0  25.9   2   4         4   6.1e+03   -8.5   8.9   142   167   487   512   437   530 0.62 | transcript=PVW1_140028600_t1 | gene=PVW1_140028600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1032747-1038043(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472081.1         -           1164 3052at5820           -            646   1.9e-38  131.0  25.9   3   4   1.3e-41   1.9e-38  131.0  25.9   193   503   757  1057   716  1062 0.83 | transcript=PVW1_140028600_t1 | gene=PVW1_140028600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1032747-1038043(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472081.1         -           1164 3052at5820           -            646   1.9e-38  131.0  25.9   4   4   0.00028      0.43    7.6   2.0   552   625  1073  1148  1065  1160 0.77 | transcript=PVW1_140028600_t1 | gene=PVW1_140028600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1032747-1038043(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472083.1         -            783 3052at5820           -            646   1.6e-29  101.5  14.9   1   4         4   6.1e+03  -12.9  15.2    62   121    68   122    27   198 0.42 | transcript=PVW1_140028700_t1 | gene=PVW1_140028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | location=CAJZCX010000003:1041374-1045153(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472083.1         -            783 3052at5820           -            646   1.6e-29  101.5  14.9   2   4         4   6.1e+03  -17.0  25.3    25   178   121   265   113   362 0.62 | transcript=PVW1_140028700_t1 | gene=PVW1_140028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | location=CAJZCX010000003:1041374-1045153(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472083.1         -            783 3052at5820           -            646   1.6e-29  101.5  14.9   3   4     1e-32   1.6e-29  101.5  14.9   277   496   464   677   448   702 0.85 | transcript=PVW1_140028700_t1 | gene=PVW1_140028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | location=CAJZCX010000003:1041374-1045153(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472083.1         -            783 3052at5820           -            646   1.6e-29  101.5  14.9   4   4    0.0005      0.76    6.8   0.7   555   602   702   747   685   770 0.86 | transcript=PVW1_140028700_t1 | gene=PVW1_140028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | location=CAJZCX010000003:1041374-1045153(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3052at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3052at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3052at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:32 2026
# [ok]
