#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480301.1         -           1319 1635at5820           -            845         0 1614.8 108.5   1   6         0         0 1080.4  29.7     1   469     4   472     4   482 0.99 | transcript=PVW1_070009000_t1 | gene=PVW1_070009000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:234562-239578(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480301.1         -           1319 1635at5820           -            845         0 1614.8 108.5   2   6  2.4e-115  3.6e-112  374.3  15.6   459   664   595   807   584   827 0.93 | transcript=PVW1_070009000_t1 | gene=PVW1_070009000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:234562-239578(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480301.1         -           1319 1635at5820           -            845         0 1614.8 108.5   3   6     3e-07   0.00046   16.6   6.7   663   697   840   874   825   933 0.73 | transcript=PVW1_070009000_t1 | gene=PVW1_070009000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:234562-239578(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480301.1         -           1319 1635at5820           -            845         0 1614.8 108.5   4   6    0.0003      0.46    6.7   3.1   687   740  1011  1067  1004  1072 0.79 | transcript=PVW1_070009000_t1 | gene=PVW1_070009000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:234562-239578(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480301.1         -           1319 1635at5820           -            845         0 1614.8 108.5   5   6   5.8e-11   8.9e-08   28.9   5.4   705   756  1073  1136  1068  1157 0.76 | transcript=PVW1_070009000_t1 | gene=PVW1_070009000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:234562-239578(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480301.1         -           1319 1635at5820           -            845         0 1614.8 108.5   6   6   3.1e-44   4.8e-41  139.0   8.4   750   845  1223  1319  1170  1319 0.92 | transcript=PVW1_070009000_t1 | gene=PVW1_070009000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:234562-239578(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473780.1         -           1038 1635at5820           -            845   7.4e-39  131.7  38.7   1   3   1.5e-22   2.3e-19   67.3   9.4    13   261     5   256     1   262 0.86 | transcript=PVW1_120066200_t1 | gene=PVW1_120066200 | organism=Plasmodium_vivax_PvW1 | gene_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | transcript_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | location=CAJZCX010000004:2572817-2576368(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473780.1         -           1038 1635at5820           -            845   7.4e-39  131.7  38.7   2   3   1.5e-23   2.2e-20   70.6   9.8   270   448   311   488   299   500 0.91 | transcript=PVW1_120066200_t1 | gene=PVW1_120066200 | organism=Plasmodium_vivax_PvW1 | gene_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | transcript_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | location=CAJZCX010000004:2572817-2576368(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473780.1         -           1038 1635at5820           -            845   7.4e-39  131.7  38.7   3   3   0.00057      0.86    5.8   3.7   543   590   635   681   545   689 0.71 | transcript=PVW1_120066200_t1 | gene=PVW1_120066200 | organism=Plasmodium_vivax_PvW1 | gene_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | transcript_product=AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG6] | location=CAJZCX010000004:2572817-2576368(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477950.1         -           1284 1635at5820           -            845   2.3e-22   77.2  29.0   1   5   2.8e-19   4.2e-16   56.5  16.8    16   209    12   214     4   223 0.87 | transcript=PVW1_110037700_t1 | gene=PVW1_110037700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1398129-1402991(-) | protein_length=1284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477950.1         -           1284 1635at5820           -            845   2.3e-22   77.2  29.0   2   5       0.7   1.1e+03   -4.4   0.5   216   257   399   442   385   470 0.56 | transcript=PVW1_110037700_t1 | gene=PVW1_110037700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1398129-1402991(-) | protein_length=1284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
