#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476751.1         -            214 11343at5820          -            214  4.6e-155  511.6   0.5   1   1  1.5e-157  5.2e-155  511.5   0.5     1   214     1   214     1   214 1.00 | transcript=PVW1_090022900_t1 | gene=PVW1_090022900 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding nuclear protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG3] | transcript_product=GTP-binding nuclear protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG3] | location=CAJZCX010000007:818802-819622(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474976.1         -            200 11343at5820          -            214   2.5e-29  100.7   0.6   1   1   8.4e-32   2.8e-29  100.5   0.6     6   173     5   175     1   191 0.91 | transcript=PVW1_100045500_t1 | gene=PVW1_100045500 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-1B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEE0] | transcript_product=Ras-related protein Rab-1B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEE0] | location=CAJZCX010000005:1823759-1825382(-) | protein_length=200 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474964.1         -            207 11343at5820          -            214   5.7e-26   89.7   0.2   1   1   2.1e-28   7.1e-26   89.4   0.2     4   169     7   175     4   190 0.88 | transcript=PVW1_100044300_t1 | gene=PVW1_100044300 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-1A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYT6] | transcript_product=Ras-related protein Rab-1A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYT6] | location=CAJZCX010000005:1785707-1786330(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473249.1         -            229 11343at5820          -            214   1.1e-25   88.9   0.1   1   1   3.5e-28   1.2e-25   88.7   0.1     1   170     1   178     1   216 0.86 | transcript=PVW1_120028600_t1 | gene=PVW1_120028600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-11B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGD4] | transcript_product=Ras-related protein Rab-11B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGD4] | location=CAJZCX010000004:1069192-1070529(+) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477249.1         -            207 11343at5820          -            214   1.5e-25   88.3   0.3   1   1   4.9e-28   1.6e-25   88.2   0.3     7   173     9   178     1   205 0.88 | transcript=PVW1_090050100_t1 | gene=PVW1_090050100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY97] | transcript_product=Ras-related protein Rab-6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY97] | location=CAJZCX010000007:1995555-1996988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480283.1         -            206 11343at5820          -            214   2.1e-25   87.9   0.4   1   1   7.4e-28   2.5e-25   87.6   0.4    10   170     9   177     2   195 0.87 | transcript=PVW1_070008100_t1 | gene=PVW1_070008100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein RAB7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUS8] | transcript_product=Ras-related protein RAB7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUS8] | location=CAJZCX010000011:175082-177482(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472381.1         -            213 11343at5820          -            214   1.1e-24   85.5   0.1   1   1     4e-27   1.4e-24   85.2   0.1     9   168     7   168     1   176 0.93 | transcript=PVW1_140055600_t1 | gene=PVW1_140055600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL24] | transcript_product=Ras-related protein Rab-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL24] | location=CAJZCX010000003:2198218-2199682(+) | protein_length=213 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472063.1         -            216 11343at5820          -            214   3.7e-24   83.8   0.4   1   1   1.4e-26   4.8e-24   83.4   0.4     6   168     8   174     3   182 0.89 | transcript=PVW1_140027700_t1 | gene=PVW1_140027700 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-11A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4P0] | transcript_product=Ras-related protein Rab-11A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4P0] | location=CAJZCX010000003:989868-991417(+) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484982.1         -            201 11343at5820          -            214   4.7e-24   83.5   1.1   1   1   1.8e-26   5.9e-24   83.1   1.1     8   175     9   179     2   191 0.88 | transcript=PVW1_010017400_t1 | gene=PVW1_010017400 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-18, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H0] | transcript_product=Ras-related protein Rab-18, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H0] | location=CAJZCX010000016:564727-565956(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484041.1         -            214 11343at5820          -            214   3.3e-21   74.2   0.1   1   1   1.2e-23   4.2e-21   73.8   0.1     9   168    27   189    19   208 0.92 | transcript=PVW1_020015700_t1 | gene=PVW1_020015700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:483471-485522(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482571.1         -            245 11343at5820          -            214   9.1e-18   62.9   3.1   1   2    0.0027       0.9    7.4   0.0     8    46     5    43     1    59 0.84 | transcript=PVW1_040020100_t1 | gene=PVW1_040020100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-5A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSY8] | transcript_product=Ras-related protein Rab-5A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSY8] | location=CAJZCX010000013:649939-650676(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482571.1         -            245 11343at5820          -            214   9.1e-18   62.9   3.1   2   2   6.1e-18   2.1e-15   55.2   1.4    54   167    98   211    67   232 0.87 | transcript=PVW1_040020100_t1 | gene=PVW1_040020100 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-5A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSY8] | transcript_product=Ras-related protein Rab-5A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSY8] | location=CAJZCX010000013:649939-650676(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471919.1         -            205 11343at5820          -            214   2.8e-16   58.1   0.3   1   1     1e-18   3.5e-16   57.7   0.3     9   167    32   192    24   202 0.88 | transcript=PVW1_140017800_t1 | gene=PVW1_140017800 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-5B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4A0] | transcript_product=Ras-related protein Rab-5B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4A0] | location=CAJZCX010000003:586822-588312(-) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473987.1         -            185 11343at5820          -            214   3.2e-11   41.5   0.5   1   1   1.1e-13   3.8e-11   41.3   0.5     9   172    16   182     9   185 0.79 | transcript=PVW1_120079900_t1 | gene=PVW1_120079900 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2E7] | transcript_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2E7] | location=CAJZCX010000004:3172685-3173504(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481356.1         -            181 11343at5820          -            214     8e-09   33.7   0.1   1   1   2.7e-11   9.2e-09   33.5   0.1    10   168    18   178    11   181 0.68 | transcript=PVW1_060012400_t1 | gene=PVW1_060012400 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU81] | transcript_product=ADP-ribosylation factor [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU81] | location=CAJZCX010000012:309424-310885(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481792.1         -            178 11343at5820          -            214   8.5e-08   30.3   0.1   1   1   3.1e-10     1e-07   30.0   0.1    11   164    19   174    13   178 0.75 | transcript=PVW1_060026300_t1 | gene=PVW1_060026300 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUN0] | transcript_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUN0] | location=CAJZCX010000012:869770-870306(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479935.1         -            191 11343at5820          -            214   1.9e-06   26.0   0.0   1   1   8.2e-09   2.8e-06   25.4   0.0    12   131    23   139    18   185 0.83 | transcript=PVW1_050031400_t1 | gene=PVW1_050031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Small GTP-binding protein sar1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTR7] | transcript_product=Small GTP-binding protein sar1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTR7] | location=CAJZCX010000010:1088933-1089924(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472540.1         -            261 11343at5820          -            214   2.8e-05   22.1   0.2   1   1   1.1e-07   3.8e-05   21.7   0.2     9   131    63   188    58   222 0.83 | transcript=PVW1_140070400_t1 | gene=PVW1_140070400 | organism=Plasmodium_vivax_PvW1 | gene_product=Signal recognition particle receptor subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5T1] | transcript_product=Signal recognition particle receptor subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5T1] | location=CAJZCX010000003:2810494-2811761(+) | protein_length=261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477961.1         -            452 11343at5820          -            214    0.0011   16.9   0.1   1   2     0.051        17    3.2   0.0    11    34     5    27     1    39 0.79 | transcript=PVW1_110038200_t1 | gene=PVW1_110038200 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | transcript_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | location=CAJZCX010000008:1418799-1420157(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477961.1         -            452 11343at5820          -            214    0.0011   16.9   0.1   2   2   0.00024     0.082   10.8   0.0    65   107   163   205   153   211 0.89 | transcript=PVW1_110038200_t1 | gene=PVW1_110038200 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | transcript_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | location=CAJZCX010000008:1418799-1420157(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11343at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11343at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11343at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:10 2026
# [ok]
