#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9482483.1         -           1432 1090at5820           -           1041         0 1870.2  55.8   1   5  1.5e-248  1.8e-245  816.0  20.0     1   387     1   397     1   401 0.98 | transcript=PVW1_040017000_t1 | gene=PVW1_040017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:533886-538748(+) | protein_length=1432 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482483.1         -           1432 1090at5820           -           1041         0 1870.2  55.8   2   5   1.1e-52   1.3e-49  167.5   0.4   385   483   422   520   412   526 0.95 | transcript=PVW1_040017000_t1 | gene=PVW1_040017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:533886-538748(+) | protein_length=1432 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482483.1         -           1432 1090at5820           -           1041         0 1870.2  55.8   3   5   4.1e-12   4.9e-09   33.2   0.2   480   511   609   640   595   646 0.86 | transcript=PVW1_040017000_t1 | gene=PVW1_040017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:533886-538748(+) | protein_length=1432 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482483.1         -           1432 1090at5820           -           1041         0 1870.2  55.8   4   5  7.7e-166  9.3e-163  542.1   0.3   499   855   726  1079   723  1131 0.80 | transcript=PVW1_040017000_t1 | gene=PVW1_040017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:533886-538748(+) | protein_length=1432 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482483.1         -           1432 1090at5820           -           1041         0 1870.2  55.8   5   5  6.1e-100   7.5e-97  323.9  10.4   814  1041  1182  1432  1154  1432 0.86 | transcript=PVW1_040017000_t1 | gene=PVW1_040017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:533886-538748(+) | protein_length=1432 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 1090at5820           -           1041   1.7e-07   28.1   0.5   1   2    0.0018       2.2    4.5   0.0   126   212   137   234   129   243 0.68 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479857.1         -            458 1090at5820           -           1041   1.7e-07   28.1   0.5   2   2   1.2e-08   1.4e-05   21.7   0.2   132   223   323   410   315   416 0.81 | transcript=PVW1_050024400_t1 | gene=PVW1_050024400 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X8] | location=CAJZCX010000010:825935-827311(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473416.1         -            533 1090at5820           -           1041   8.9e-05   19.1   2.0   1   1     1e-07   0.00012   18.6   2.0   178   326   333   480   303   514 0.85 | transcript=PVW1_120039700_t1 | gene=PVW1_120039700 | organism=Plasmodium_vivax_PvW1 | gene_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | transcript_product=CAF1C_H4-bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGP6] | location=CAJZCX010000004:1446484-1448085(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482785.1         -             91 1090at5820           -           1041     0.012   12.0   3.9   1   1   1.1e-05     0.013   12.0   3.9   809   898     2    89     1    91 0.86 | transcript=PVW1_040028200_t1 | gene=PVW1_040028200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:967507-968317(+) | protein_length=91 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481336.1         -            725 1090at5820           -           1041      0.29    7.5   3.3   1   3      0.53   6.5e+02   -3.6   0.1   919   952   160   193   131   198 0.72 | transcript=PVW1_060011800_t1 | gene=PVW1_060011800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:287740-289917(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481336.1         -            725 1090at5820           -           1041      0.29    7.5   3.3   2   3    0.0087        11    2.3   0.0   139   245   432   539   422   566 0.76 | transcript=PVW1_060011800_t1 | gene=PVW1_060011800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:287740-289917(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481336.1         -            725 1090at5820           -           1041      0.29    7.5   3.3   3   3   0.00092       1.1    5.5   0.1   190   239   628   677   619   704 0.75 | transcript=PVW1_060011800_t1 | gene=PVW1_060011800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:287740-289917(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1090at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1090at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1090at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:51 2026
# [ok]
