#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473803.1         -            275 13542at5820          -            209  6.8e-118  390.3  47.9   1   2   5.2e-98   6.3e-95  315.2  11.8     1   150     1   158     1   159 0.93 | transcript=PVW1_120068100_t1 | gene=PVW1_120068100 | organism=Plasmodium_vivax_PvW1 | gene_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHJ0] | transcript_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHJ0] | location=CAJZCX010000004:2642012-2643512(-) | protein_length=275 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473803.1         -            275 13542at5820          -            209  6.8e-118  390.3  47.9   2   2   1.6e-28   1.9e-25   88.3  28.1   125   201   147   225   144   275 0.87 | transcript=PVW1_120068100_t1 | gene=PVW1_120068100 | organism=Plasmodium_vivax_PvW1 | gene_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHJ0] | transcript_product=CS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHJ0] | location=CAJZCX010000004:2642012-2643512(-) | protein_length=275 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472597.1         -            183 13542at5820          -            209   6.4e-07   27.7   0.1   1   1   7.4e-10   8.9e-07   27.3   0.1     4   105    21   126    18   138 0.83 | transcript=PVW1_140074600_t1 | gene=PVW1_140074600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2965544-2967271(-) | protein_length=183 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477654.1         -           3249 13542at5820          -            209   0.00095   17.4   5.3   1   2   2.3e-06    0.0028   15.8   1.5    83   181  1913  2022  1898  2050 0.59 | transcript=PVW1_110017700_t1 | gene=PVW1_110017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:530818-540567(-) | protein_length=3249 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477654.1         -           3249 13542at5820          -            209   0.00095   17.4   5.3   2   2     0.071        86    1.2   0.1   101   122  2948  2973  2889  2982 0.57 | transcript=PVW1_110017700_t1 | gene=PVW1_110017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:530818-540567(-) | protein_length=3249 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485019.1         -            988 13542at5820          -            209     0.032   12.4   0.2   1   1   5.4e-05     0.066   11.4   0.2   118   152   593   628   569   643 0.74 | transcript=PVW1_010018900_t1 | gene=PVW1_010018900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:618725-621864(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478984.1         -           1046 13542at5820          -            209     0.048   11.8  18.3   1   3   0.00027      0.32    9.1   2.1   115   149   532   564   521   619 0.52 | transcript=PVW1_080021700_t1 | gene=PVW1_080021700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:768390-771715(-) | protein_length=1046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478984.1         -           1046 13542at5820          -            209     0.048   11.8  18.3   2   3     0.026        32    2.6   0.0   145   183   715   756   704   778 0.56 | transcript=PVW1_080021700_t1 | gene=PVW1_080021700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:768390-771715(-) | protein_length=1046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478984.1         -           1046 13542at5820          -            209     0.048   11.8  18.3   3   3    0.0077       9.4    4.4   6.8   116   152   924   958   915   986 0.67 | transcript=PVW1_080021700_t1 | gene=PVW1_080021700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:768390-771715(-) | protein_length=1046 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13542at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13542at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13542at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:35 2026
# [ok]
