#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478218.1         -            495 6834at5820           -            382  7.9e-203  672.4  21.9   1   3  9.8e-107    2e-103  345.2   9.8     2   204     5   222     4   228 0.93 | transcript=PVW1_110051100_t1 | gene=PVW1_110051100 | organism=Plasmodium_vivax_PvW1 | gene_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | transcript_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | location=CAJZCX010000008:1956991-1958478(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478218.1         -            495 6834at5820           -            382  7.9e-203  672.4  21.9   2   3   9.2e-16   1.9e-12   45.8   0.0   197   231   248   282   246   288 0.95 | transcript=PVW1_110051100_t1 | gene=PVW1_110051100 | organism=Plasmodium_vivax_PvW1 | gene_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | transcript_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | location=CAJZCX010000008:1956991-1958478(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478218.1         -            495 6834at5820           -            382  7.9e-203  672.4  21.9   3   3   3.6e-89   7.4e-86  287.4   2.0   230   382   331   490   323   490 0.96 | transcript=PVW1_110051100_t1 | gene=PVW1_110051100 | organism=Plasmodium_vivax_PvW1 | gene_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | transcript_product=Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFW3] | location=CAJZCX010000008:1956991-1958478(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472390.1         -            539 6834at5820           -            382   5.9e-16   57.3  11.4   1   4   0.00069       1.4    6.7   0.2    14    72    62   124    51   137 0.82 | transcript=PVW1_140056500_t1 | gene=PVW1_140056500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2255221-2257137(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472390.1         -            539 6834at5820           -            382   5.9e-16   57.3  11.4   2   4   2.1e-17   4.3e-14   51.2   1.8   118   212   200   299   196   311 0.82 | transcript=PVW1_140056500_t1 | gene=PVW1_140056500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2255221-2257137(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472390.1         -            539 6834at5820           -            382   5.9e-16   57.3  11.4   3   4    0.0069        14    3.4   0.2   258   280   311   333   301   340 0.85 | transcript=PVW1_140056500_t1 | gene=PVW1_140056500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2255221-2257137(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472390.1         -            539 6834at5820           -            382   5.9e-16   57.3  11.4   4   4      0.11   2.3e+02   -0.6   0.0   331   378   479   530   419   533 0.55 | transcript=PVW1_140056500_t1 | gene=PVW1_140056500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2255221-2257137(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483974.1         -            569 6834at5820           -            382   9.9e-11   40.1   1.5   1   3       0.4   8.1e+02   -2.4   1.8    77   137   228   291   221   294 0.65 | transcript=PVW1_020012900_t1 | gene=PVW1_020012900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:385753-387462(-) | protein_length=569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483974.1         -            569 6834at5820           -            382   9.9e-11   40.1   1.5   2   3   4.9e-14   9.9e-11   40.1   1.5     8   211   298   528   293   540 0.74 | transcript=PVW1_020012900_t1 | gene=PVW1_020012900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:385753-387462(-) | protein_length=569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483974.1         -            569 6834at5820           -            382   9.9e-11   40.1   1.5   3   3    0.0061        12    3.6   0.0   258   281   540   563   536   567 0.88 | transcript=PVW1_020012900_t1 | gene=PVW1_020012900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:385753-387462(-) | protein_length=569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
