#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9471965.1         -            368 7744at5820           -            303  1.1e-176  584.8  26.9   1   1  3.2e-177  3.2e-175  580.0  26.9     2   302    13   361    12   362 0.94 | transcript=PVW1_140022300_t1 | gene=PVW1_140022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | location=CAJZCX010000003:767187-768293(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473797.1         -            861 7744at5820           -            303   1.1e-40  138.1   9.3   1   1   4.8e-42   4.9e-40  136.1   9.3    63   303   479   735   466   735 0.90 | transcript=PVW1_120067500_t1 | gene=PVW1_120067500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H220] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H220] | location=CAJZCX010000004:2619393-2621978(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473290.1         -            563 7744at5820           -            303   2.6e-37  127.1   7.7   1   2   2.4e-34   2.4e-32  110.8   4.8    68   276   124   330   102   332 0.86 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473290.1         -            563 7744at5820           -            303   2.6e-37  127.1   7.7   2   2   5.8e-06   0.00059   17.6   0.1   259   302   332   375   325   376 0.88 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482387.1         -            526 7744at5820           -            303   1.1e-35  121.8  10.2   1   1     6e-35   6.1e-33  112.8  10.2    63   302    54   327    48   328 0.80 | transcript=PVW1_040013600_t1 | gene=PVW1_040013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | transcript_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | location=CAJZCX010000013:399682-401946(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472466.1         -            508 7744at5820           -            303   1.6e-32  111.4   3.3   1   1   5.2e-33   5.3e-31  106.4   3.3    63   273   109   316   104   365 0.82 | transcript=PVW1_140063500_t1 | gene=PVW1_140063500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | location=CAJZCX010000003:2535147-2536673(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478192.1         -            354 7744at5820           -            303   3.1e-32  110.4   0.0   1   2   2.5e-32   2.5e-30  104.1   0.0    60   264    27   241     4   257 0.87 | transcript=PVW1_110049500_t1 | gene=PVW1_110049500 | organism=Plasmodium_vivax_PvW1 | gene_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | transcript_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | location=CAJZCX010000008:1882409-1883946(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478192.1         -            354 7744at5820           -            303   3.1e-32  110.4   0.0   2   2     0.053       5.3    4.6   0.0   268   300   273   305   250   308 0.83 | transcript=PVW1_110049500_t1 | gene=PVW1_110049500 | organism=Plasmodium_vivax_PvW1 | gene_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | transcript_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | location=CAJZCX010000008:1882409-1883946(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483417.1         -            529 7744at5820           -            303   1.7e-31  108.0   8.5   1   1   8.4e-32   8.5e-30  102.4   8.5    64   271    70   279    60   330 0.81 | transcript=PVW1_030020500_t1 | gene=PVW1_030020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | transcript_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | location=CAJZCX010000014:680985-682739(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476886.1         -           1968 7744at5820           -            303   2.2e-31  107.7   3.2   1   1   1.5e-32   1.5e-30  104.9   3.2    61   302  1510  1770  1502  1771 0.83 | transcript=PVW1_090028300_t1 | gene=PVW1_090028300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1067021-1073086(+) | protein_length=1968 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479257.1         -            604 7744at5820           -            303   2.2e-31  107.6   0.1   1   2   2.9e-29   2.9e-27   94.1   0.3    68   271   163   365   154   374 0.86 | transcript=PVW1_080035900_t1 | gene=PVW1_080035900 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | transcript_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | location=CAJZCX010000009:1365607-1368547(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
