#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473652.1         -            350 10858at5820          -            253  5.5e-123  407.9  60.4   1   3   7.3e-09   8.8e-06   23.9   5.9     1    38     1    41     1    51 0.70 | transcript=PVW1_120057400_t1 | gene=PVW1_120057400 | organism=Plasmodium_vivax_PvW1 | gene_product=Zinc finger protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH65] | transcript_product=Zinc finger protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH65] | location=CAJZCX010000004:2208758-2210187(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473652.1         -            350 10858at5820          -            253  5.5e-123  407.9  60.4   2   3  7.5e-108  9.1e-105  348.2  36.1    24   250    50   290    41   293 0.87 | transcript=PVW1_120057400_t1 | gene=PVW1_120057400 | organism=Plasmodium_vivax_PvW1 | gene_product=Zinc finger protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH65] | transcript_product=Zinc finger protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH65] | location=CAJZCX010000004:2208758-2210187(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473652.1         -            350 10858at5820          -            253  5.5e-123  407.9  60.4   3   3   3.5e-16   4.2e-13   47.8   3.7   211   252   308   349   298   350 0.87 | transcript=PVW1_120057400_t1 | gene=PVW1_120057400 | organism=Plasmodium_vivax_PvW1 | gene_product=Zinc finger protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH65] | transcript_product=Zinc finger protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH65] | location=CAJZCX010000004:2208758-2210187(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477081.1         -           2199 10858at5820          -            253   4.2e-08   31.5  12.5   1   2   1.8e-08   2.2e-05   22.6   5.3    33    96   487   554   476   560 0.82 | transcript=PVW1_090039900_t1 | gene=PVW1_090039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1522656-1529255(-) | protein_length=2199 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477081.1         -           2199 10858at5820          -            253   4.2e-08   31.5  12.5   2   2   2.1e-05     0.025   12.5   0.6    40    90   563   617   556   625 0.81 | transcript=PVW1_090039900_t1 | gene=PVW1_090039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1522656-1529255(-) | protein_length=2199 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481304.1         -           1484 10858at5820          -            253   5.6e-07   27.8  11.1   1   2   5.2e-09   6.3e-06   24.3   5.7    44    98     8    66     2    70 0.83 | transcript=PVW1_060010800_t1 | gene=PVW1_060010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:240432-245463(-) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481304.1         -           1484 10858at5820          -            253   5.6e-07   27.8  11.1   2   2    0.0014       1.7    6.5   0.2    43    73    73   102    65   117 0.80 | transcript=PVW1_060010800_t1 | gene=PVW1_060010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:240432-245463(-) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478781.1         -            510 10858at5820          -            253   0.00011   20.2   8.5   1   3   9.3e-08   0.00011   20.2   8.5    24    98     5    84     1    93 0.77 | transcript=PVW1_080013600_t1 | gene=PVW1_080013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Zinc finger (CCCH type) protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBD2] | transcript_product=Zinc finger (CCCH type) protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBD2] | location=CAJZCX010000009:425491-427023(+) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478781.1         -            510 10858at5820          -            253   0.00011   20.2   8.5   2   3   3.8e-05     0.046   11.7   1.5    45    72    97   124    83   134 0.81 | transcript=PVW1_080013600_t1 | gene=PVW1_080013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Zinc finger (CCCH type) protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBD2] | transcript_product=Zinc finger (CCCH type) protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBD2] | location=CAJZCX010000009:425491-427023(+) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478781.1         -            510 10858at5820          -            253   0.00011   20.2   8.5   3   3      0.56   6.8e+02   -2.0   1.8   212   244   323   358   316   361 0.62 | transcript=PVW1_080013600_t1 | gene=PVW1_080013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Zinc finger (CCCH type) protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBD2] | transcript_product=Zinc finger (CCCH type) protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBD2] | location=CAJZCX010000009:425491-427023(+) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480648.1         -           1239 10858at5820          -            253    0.0012   16.8   5.9   1   2   2.5e-06    0.0031   15.5   1.3    44    97     4    62     2    66 0.79 | transcript=PVW1_070032200_t1 | gene=PVW1_070032200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1191202-1195867(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
