#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480627.1         -            133 14603at5820          -             96   1.3e-58  193.6   0.7   1   1   3.9e-61   1.6e-58  193.3   0.7     1    96    21   116    21   116 0.99 | transcript=PVW1_070030400_t1 | gene=PVW1_070030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | location=CAJZCX010000011:1111647-1112752(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473744.1         -            104 14603at5820          -             96   4.7e-16   57.2   0.1   1   1   1.4e-18   5.7e-16   56.9   0.1    17    95    14    92     3    93 0.93 | transcript=PVW1_120064500_t1 | gene=PVW1_120064500 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Z2] | transcript_product=Thioredoxin [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Z2] | location=CAJZCX010000004:2496098-2496546(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479665.1         -            482 14603at5820          -             96   1.5e-11   42.7   1.2   1   3   1.6e-06   0.00065   18.2   0.0    18    82    44   112    28   119 0.81 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479665.1         -            482 14603at5820          -             96   1.5e-11   42.7   1.2   2   3      0.59   2.4e+02    0.4   0.1     5    62   140   194   137   200 0.71 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479665.1         -            482 14603at5820          -             96   1.5e-11   42.7   1.2   3   3   3.5e-07   0.00014   20.3   0.0    18    84   368   437   358   441 0.74 | transcript=PVW1_050011400_t1 | gene=PVW1_050011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | transcript_product=Protein disulfide-isomerase [Source:UniProtKB/TrEMBL;Acc:Q2XQR3] | location=CAJZCX010000010:315321-316887(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480510.1         -            179 14603at5820          -             96   1.6e-09   36.2   0.1   1   2      0.73     3e+02    0.1   0.0    39    65    50    76    41    83 0.74 | transcript=PVW1_070021100_t1 | gene=PVW1_070021100 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV70] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV70] | location=CAJZCX010000011:748427-749646(+) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480510.1         -            179 14603at5820          -             96   1.6e-09   36.2   0.1   2   2   1.1e-11   4.5e-09   34.8   0.0     5    83    68   147    64   163 0.77 | transcript=PVW1_070021100_t1 | gene=PVW1_070021100 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV70] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV70] | location=CAJZCX010000011:748427-749646(+) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473202.1         -            157 14603at5820          -             96   3.4e-06   25.5   0.1   1   1   2.6e-08   1.1e-05   24.0   0.1    13    87    61   137    58   144 0.86 | transcript=PVW1_120024300_t1 | gene=PVW1_120024300 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0U1] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0U1] | location=CAJZCX010000004:866676-867768(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472385.1         -            142 14603at5820          -             96   8.3e-06   24.3   0.1   1   1   2.9e-08   1.2e-05   23.8   0.1    19    80    21    83    13   101 0.79 | transcript=PVW1_140056000_t1 | gene=PVW1_140056000 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitosis protein dim1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5F8] | transcript_product=Mitosis protein dim1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5F8] | location=CAJZCX010000003:2224034-2224462(+) | protein_length=142 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473120.1         -            209 14603at5820          -             96   2.4e-05   22.8   0.0   1   1   1.1e-07   4.3e-05   22.0   0.0    26    88    50   113    32   116 0.91 | transcript=PVW1_120017000_t1 | gene=PVW1_120017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:565209-566229(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473677.1         -            121 14603at5820          -             96   0.00025   19.6   1.1   1   1   7.9e-07   0.00032   19.2   1.1     3    94     7   103     5   105 0.82 | transcript=PVW1_120059600_t1 | gene=PVW1_120059600 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1U7] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1U7] | location=CAJZCX010000004:2319767-2320132(+) | protein_length=121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
