#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478772.1         -            407 7741at5820           -            337  4.2e-215  711.8  30.3   1   1    7e-218  1.1e-214  710.5  30.3     1   337     1   407     1   407 0.99 | transcript=PVW1_080013200_t1 | gene=PVW1_080013200 | organism=Plasmodium_vivax_PvW1 | gene_product=XPGI domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBF6] | transcript_product=XPGI domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBF6] | location=CAJZCX010000009:410435-411658(-) | protein_length=407 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483264.1         -            638 7741at5820           -            337   1.1e-24   85.9   5.4   1   2   6.5e-06    0.0099   13.7   0.0     1    45     1    44     1    79 0.90 | transcript=PVW1_030014900_t1 | gene=PVW1_030014900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:483543-485459(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483264.1         -            638 7741at5820           -            337   1.1e-24   85.9   5.4   2   2   1.8e-23   2.7e-20   71.4   3.4   155   307   116   287    96   298 0.77 | transcript=PVW1_030014900_t1 | gene=PVW1_030014900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:483543-485459(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482715.1         -           1477 7741at5820           -            337   1.7e-15   55.6   4.9   1   3    0.0027       4.1    5.1   0.5    26    99    21    93     9   131 0.89 | transcript=PVW1_040025600_t1 | gene=PVW1_040025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:882242-886675(+) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482715.1         -           1477 7741at5820           -            337   1.7e-15   55.6   4.9   2   3         4   6.1e+03   -7.6   6.8   136   233   511   617   500   647 0.49 | transcript=PVW1_040025600_t1 | gene=PVW1_040025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:882242-886675(+) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482715.1         -           1477 7741at5820           -            337   1.7e-15   55.6   4.9   3   3   1.1e-18   1.7e-15   55.6   4.9   165   294  1128  1258  1112  1288 0.87 | transcript=PVW1_040025600_t1 | gene=PVW1_040025600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:882242-886675(+) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483571.1         -           1247 7741at5820           -            337   1.7e-07   29.3   8.9   1   3    0.0015       2.3    5.9   1.3   132   229   112   214    90   238 0.77 | transcript=PVW1_030028000_t1 | gene=PVW1_030028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:982174-985917(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483571.1         -           1247 7741at5820           -            337   1.7e-07   29.3   8.9   2   3   6.9e-10   1.1e-06   26.7   0.4   244   297   333   391   307   430 0.71 | transcript=PVW1_030028000_t1 | gene=PVW1_030028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:982174-985917(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483571.1         -           1247 7741at5820           -            337   1.7e-07   29.3   8.9   3   3      0.25   3.8e+02   -1.4   0.0   229   255  1192  1218  1178  1221 0.83 | transcript=PVW1_030028000_t1 | gene=PVW1_030028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:982174-985917(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7741at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7741at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7741at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:41 2026
# [ok]
