#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479872.1         -            884 3141at5820           -            730         0 1323.8  73.6   1   4   5.2e-28   6.4e-25   86.0   0.4     1    58     1    60     1    65 0.95 | transcript=PVW1_050025600_t1 | gene=PVW1_050025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | transcript_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | location=CAJZCX010000010:856826-860003(-) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479872.1         -            884 3141at5820           -            730         0 1323.8  73.6   2   4  1.8e-225  2.1e-222  738.8  34.5    57   446    86   491    79   502 0.95 | transcript=PVW1_050025600_t1 | gene=PVW1_050025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | transcript_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | location=CAJZCX010000010:856826-860003(-) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479872.1         -            884 3141at5820           -            730         0 1323.8  73.6   3   4   1.3e-60   1.6e-57  193.8   3.3   440   564   530   672   527   674 0.92 | transcript=PVW1_050025600_t1 | gene=PVW1_050025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | transcript_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | location=CAJZCX010000010:856826-860003(-) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479872.1         -            884 3141at5820           -            730         0 1323.8  73.6   4   4   2.7e-99   3.3e-96  321.7  13.6   555   730   700   884   691   884 0.96 | transcript=PVW1_050025600_t1 | gene=PVW1_050025600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | transcript_product=Ubiquitinyl hydrolase 1 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8Z4] | location=CAJZCX010000010:856826-860003(-) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474933.1         -           1342 3141at5820           -            730   1.4e-10   38.5  20.0   1   5   3.1e-07   0.00038   17.3   0.1   292   325   325   358   310   369 0.83 | transcript=PVW1_100041500_t1 | gene=PVW1_100041500 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | location=CAJZCX010000005:1682785-1687330(-) | protein_length=1342 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474933.1         -           1342 3141at5820           -            730   1.4e-10   38.5  20.0   2   5    0.0046       5.6    3.5   0.0   393   443   399   449   390   461 0.87 | transcript=PVW1_100041500_t1 | gene=PVW1_100041500 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | location=CAJZCX010000005:1682785-1687330(-) | protein_length=1342 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474933.1         -           1342 3141at5820           -            730   1.4e-10   38.5  20.0   3   5         5   6.1e+03   -6.5   3.2   367   416   631   662   614   708 0.42 | transcript=PVW1_100041500_t1 | gene=PVW1_100041500 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | location=CAJZCX010000005:1682785-1687330(-) | protein_length=1342 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474933.1         -           1342 3141at5820           -            730   1.4e-10   38.5  20.0   4   5   2.8e-07   0.00034   17.5   0.7   486   550  1154  1221  1105  1247 0.77 | transcript=PVW1_100041500_t1 | gene=PVW1_100041500 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | location=CAJZCX010000005:1682785-1687330(-) | protein_length=1342 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474933.1         -           1342 3141at5820           -            730   1.4e-10   38.5  20.0   5   5   6.4e-06    0.0078   13.0   0.3   675   727  1255  1308  1249  1310 0.80 | transcript=PVW1_100041500_t1 | gene=PVW1_100041500 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HE39] | location=CAJZCX010000005:1682785-1687330(-) | protein_length=1342 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474791.1         -            590 3141at5820           -            730   3.7e-10   37.2   0.9   1   3   1.5e-06    0.0019   15.0   0.0   295   322   110   137    89   174 0.74 | transcript=PVW1_100030500_t1 | gene=PVW1_100030500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1201489-1203761(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474791.1         -            590 3141at5820           -            730   3.7e-10   37.2   0.9   2   3   0.00052      0.63    6.7   0.1   499   537   308   346   300   376 0.85 | transcript=PVW1_100030500_t1 | gene=PVW1_100030500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1201489-1203761(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474791.1         -            590 3141at5820           -            730   3.7e-10   37.2   0.9   3   3   9.9e-06     0.012   12.4   0.0   672   702   486   516   479   545 0.79 | transcript=PVW1_100030500_t1 | gene=PVW1_100030500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1201489-1203761(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476117.1         -           1207 3141at5820           -            730   0.00026   17.9  31.9   1   3      0.12   1.5e+02   -1.2   5.0   268   359   600   694   590   706 0.63 | transcript=PVW1_130040600_t1 | gene=PVW1_130040600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1555256-1558879(+) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476117.1         -           1207 3141at5820           -            730   0.00026   17.9  31.9   2   3   1.8e-06    0.0022   14.8  10.3   405   552   705   846   692   868 0.79 | transcript=PVW1_130040600_t1 | gene=PVW1_130040600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1555256-1558879(+) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476117.1         -           1207 3141at5820           -            730   0.00026   17.9  31.9   3   3   3.2e-06    0.0039   14.0   3.0   673   727  1094  1153  1083  1156 0.78 | transcript=PVW1_130040600_t1 | gene=PVW1_130040600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1555256-1558879(+) | protein_length=1207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483152.1         -            383 3141at5820           -            730     0.003   14.3  30.1   1   2     6e-05     0.073    9.8  22.6   276   535    16   277     5   306 0.68 | transcript=PVW1_030009800_t1 | gene=PVW1_030009800 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H784] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H784] | location=CAJZCX010000014:238884-240035(+) | protein_length=383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483152.1         -            383 3141at5820           -            730     0.003   14.3  30.1   2   2   0.00015      0.18    8.5   0.8   675   716   324   364   302   382 0.76 | transcript=PVW1_030009800_t1 | gene=PVW1_030009800 | organism=Plasmodium_vivax_PvW1 | gene_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H784] | transcript_product=USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H784] | location=CAJZCX010000014:238884-240035(+) | protein_length=383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3141at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3141at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3141at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:54 2026
# [ok]
