#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476593.1         -            475 5583at5820           -            436  1.7e-287  951.7  14.3   1   1  2.3e-290    2e-287  951.5  14.3     1   434    15   473    15   475 0.97 | transcript=PVW1_090011900_t1 | gene=PVW1_090011900 | organism=Plasmodium_vivax_PvW1 | gene_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC9] | transcript_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC9] | location=CAJZCX010000007:383285-384712(-) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472188.1         -            579 5583at5820           -            436  2.5e-130  433.8  21.1   1   2    0.0012         1    6.7   0.0     2    23    50    71    49    86 0.82 | transcript=PVW1_140036800_t1 | gene=PVW1_140036800 | organism=Plasmodium_vivax_PvW1 | gene_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A565A2Z8] | transcript_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A565A2Z8] | location=CAJZCX010000003:1384965-1387449(+) | protein_length=579 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472188.1         -            579 5583at5820           -            436  2.5e-130  433.8  21.1   2   2  4.9e-131  4.3e-128  426.5  19.7    28   427   163   566   139   573 0.90 | transcript=PVW1_140036800_t1 | gene=PVW1_140036800 | organism=Plasmodium_vivax_PvW1 | gene_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A565A2Z8] | transcript_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A565A2Z8] | location=CAJZCX010000003:1384965-1387449(+) | protein_length=579 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477598.1         -            483 5583at5820           -            436  2.6e-101  338.2   6.3   1   1  3.9e-104  3.3e-101  337.9   6.3     1   429    11   438    11   445 0.91 | transcript=PVW1_110015200_t1 | gene=PVW1_110015200 | organism=Plasmodium_vivax_PvW1 | gene_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN8] | transcript_product=RuvB-like helicase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN8] | location=CAJZCX010000008:419066-420517(+) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 5583at5820           -            436   0.00049   17.7   0.1   1   2     0.021        18    2.6   0.0    59    84   380   405   360   426 0.85 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 5583at5820           -            436   0.00049   17.7   0.1   2   2     2e-05     0.018   12.5   0.0    58   113   801   855   790   870 0.87 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473737.1         -            439 5583at5820           -            436    0.0018   15.8   0.0   1   1   3.3e-06    0.0029   15.1   0.0    11   100   104   191    95   213 0.72 | transcript=PVW1_120064200_t1 | gene=PVW1_120064200 | organism=Plasmodium_vivax_PvW1 | gene_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | transcript_product=Vacuolar protein sorting-associated protein 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1Y7] | location=CAJZCX010000004:2477498-2478817(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472474.1         -            896 5583at5820           -            436     0.013   12.9   0.0   1   1   2.7e-05     0.024   12.1   0.0    58    96   194   230   167   256 0.79 | transcript=PVW1_140064300_t1 | gene=PVW1_140064300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL19] | location=CAJZCX010000003:2572319-2575009(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 5583at5820           -            436     0.017   12.6   0.5   1   2    0.0079       6.8    4.0   0.2    57   113   509   564   502   583 0.84 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 5583at5820           -            436     0.017   12.6   0.5   2   2    0.0014       1.2    6.5   0.0    58    98   830   868   820   963 0.77 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
