#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479972.1         -            649 6657at5820           -            535  4.6e-276  915.0  47.2   1   1    7e-277  3.9e-274  908.6  47.2     1   534     1   648     1   649 0.94 | transcript=PVW1_050034700_t1 | gene=PVW1_050034700 | organism=Plasmodium_vivax_PvW1 | gene_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H973] | transcript_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H973] | location=CAJZCX010000010:1266235-1268184(+) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471845.1         -            539 6657at5820           -            535   0.00022   18.3  15.5   1   2   4.1e-07   0.00022   18.3  15.5   268   440    71   255    65   326 0.54 | transcript=PVW1_140013000_t1 | gene=PVW1_140013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:387137-389119(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471845.1         -            539 6657at5820           -            535   0.00022   18.3  15.5   2   2       2.3   1.3e+03   -4.0   3.7   489   512   491   515   464   537 0.62 | transcript=PVW1_140013000_t1 | gene=PVW1_140013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:387137-389119(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483450.1         -            310 6657at5820           -            535    0.0079   13.2   3.6   1   2      0.14        75    0.1   0.3   472   516    44    89    14   105 0.68 | transcript=PVW1_030022100_t1 | gene=PVW1_030022100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | location=CAJZCX010000014:775312-777159(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483450.1         -            310 6657at5820           -            535    0.0079   13.2   3.6   2   2   1.2e-05    0.0067   13.5   1.4   199   245    97   149    73   162 0.70 | transcript=PVW1_030022100_t1 | gene=PVW1_030022100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | location=CAJZCX010000014:775312-777159(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474001.1         -            763 6657at5820           -            535     0.014   12.4  19.6   1   1   5.1e-05     0.028   11.4  19.6   324   428   359   459   336   545 0.50 | transcript=PVW1_120081200_t1 | gene=PVW1_120081200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3222289-3224580(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476281.1         -            132 6657at5820           -            535      0.14    9.1  10.3   1   1   0.00026      0.14    9.1  10.3   400   510    14   124     1   129 0.41 | transcript=PVW1_130051200_t1 | gene=PVW1_130051200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2036889-2037422(-) | protein_length=132 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479207.1         -            596 6657at5820           -            535      0.28    8.1   8.2   1   2       2.2   1.2e+03   -3.9   0.1   391   392   139   140    84   173 0.51 | transcript=PVW1_080032500_t1 | gene=PVW1_080032500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1239350-1241140(+) | protein_length=596 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479207.1         -            596 6657at5820           -            535      0.28    8.1   8.2   2   2   9.9e-05     0.054   10.4   4.8   435   512   481   564   436   567 0.67 | transcript=PVW1_080032500_t1 | gene=PVW1_080032500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1239350-1241140(+) | protein_length=596 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479937.1         -            363 6657at5820           -            535      0.46    7.4  13.8   1   1    0.0011      0.63    6.9  13.8   347   436    99   214    77   275 0.49 | transcript=PVW1_050031600_t1 | gene=PVW1_050031600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1100169-1101386(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473355.1         -            448 6657at5820           -            535       3.2    4.6  15.1   1   1    0.0091         5    4.0  15.1   297   474    37   238    31   251 0.45 | transcript=PVW1_120034300_t1 | gene=PVW1_120034300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1272466-1273812(+) | protein_length=448 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
