#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476649.1         -            150 14379at5820          -            118   3.6e-49  164.3   7.7   1   1   1.5e-51   1.8e-48  162.0   7.7     1   118     1   150     1   150 0.97 | transcript=PVW1_090014700_t1 | gene=PVW1_090014700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:513175-513970(+) | protein_length=150 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483060.1         -            440 14379at5820          -            118   0.00048   18.7   3.7   1   4     4e-07   0.00048   18.7   3.7    52   106    27    81    17    90 0.93 | transcript=PVW1_030005600_t1 | gene=PVW1_030005600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:29811-31378(+) | protein_length=440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483060.1         -            440 14379at5820          -            118   0.00048   18.7   3.7   2   4      0.75   9.2e+02   -1.5   1.4    54    91   120   157    83   183 0.59 | transcript=PVW1_030005600_t1 | gene=PVW1_030005600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:29811-31378(+) | protein_length=440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483060.1         -            440 14379at5820          -            118   0.00048   18.7   3.7   3   4       1.3   1.6e+03   -2.3   0.1    17    51   196   230   183   255 0.64 | transcript=PVW1_030005600_t1 | gene=PVW1_030005600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:29811-31378(+) | protein_length=440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483060.1         -            440 14379at5820          -            118   0.00048   18.7   3.7   4   4      0.57   6.9e+02   -1.1   0.1    24    53   254   284   233   300 0.60 | transcript=PVW1_030005600_t1 | gene=PVW1_030005600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:29811-31378(+) | protein_length=440 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477849.1         -           1221 14379at5820          -            118    0.0081   14.8   4.4   1   1   2.1e-05     0.026   13.2   4.4     6    77   757   828   753   857 0.88 | transcript=PVW1_110029800_t1 | gene=PVW1_110029800 | organism=Plasmodium_vivax_PvW1 | gene_product=POLAc domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZZI9] | transcript_product=POLAc domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZZI9] | location=CAJZCX010000008:1080923-1084588(+) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475098.1         -            126 14379at5820          -            118      0.37    9.4   8.1   1   2   0.00096       1.2    7.8   1.2    47    82    32    67     2    70 0.88 | transcript=PVW1_100052200_t1 | gene=PVW1_100052200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2116207-2117437(+) | protein_length=126 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475098.1         -            126 14379at5820          -            118      0.37    9.4   8.1   2   2    0.0053       6.5    5.4   1.0    25    58    83   116    69   125 0.75 | transcript=PVW1_100052200_t1 | gene=PVW1_100052200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2116207-2117437(+) | protein_length=126 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476597.1         -            658 14379at5820          -            118      0.43    9.2   5.8   1   2    0.0037       4.5    5.9   2.9    25   113   439   534   412   539 0.79 | transcript=PVW1_090012100_t1 | gene=PVW1_090012100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:388181-390432(+) | protein_length=658 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476597.1         -            658 14379at5820          -            118      0.43    9.2   5.8   2   2     0.021        26    3.5   0.1    83   110   541   568   535   572 0.91 | transcript=PVW1_090012100_t1 | gene=PVW1_090012100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:388181-390432(+) | protein_length=658 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14379at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14379at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14379at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:16 2026
# [ok]
