#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475034.1         -            264 14730at5820          -            238   1.5e-98  327.6  29.0   1   1  3.3e-101   1.8e-98  327.3  29.0     1   236     1   246     1   249 0.73 | transcript=PVW1_100049400_t1 | gene=PVW1_100049400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2021791-2022585(-) | protein_length=264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474932.1         -            155 14730at5820          -            238    0.0087   14.1  28.1   1   1     2e-05     0.011   13.8  28.1   160   218    60   133    20   142 0.40 | transcript=PVW1_100041400_t1 | gene=PVW1_100041400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1681178-1681961(-) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477904.1         -            517 14730at5820          -            238     0.054   11.5   6.7   1   1   0.00021      0.12   10.4   6.7   108   184   397   473   389   497 0.52 | transcript=PVW1_110035100_t1 | gene=PVW1_110035100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1293394-1294947(+) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476782.1         -            368 14730at5820          -            238      0.07   11.1  19.6   1   1   0.00021      0.12   10.4  19.6   136   218    19   117     3   142 0.32 | transcript=PVW1_090024300_t1 | gene=PVW1_090024300 | organism=Plasmodium_vivax_PvW1 | gene_product=SAM-dependent MTase TRM10-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG7] | transcript_product=SAM-dependent MTase TRM10-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG7] | location=CAJZCX010000007:869265-870898(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473857.1         -            357 14730at5820          -            238     0.088   10.8  15.4   1   1   0.00027      0.15   10.1  15.4   128   184    50   112    15   130 0.43 | transcript=PVW1_120071900_t1 | gene=PVW1_120071900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:2812844-2813917(+) | protein_length=357 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 14730at5820          -            238      0.11   10.5   9.3   1   2     0.067        37    2.2   9.4   178   207    57    84    43   105 0.40 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483498.1         -            850 14730at5820          -            238      0.11   10.5   9.3   2   2    0.0061       3.3    5.6   0.0    49    91   747   791   728   826 0.84 | transcript=PVW1_030024200_t1 | gene=PVW1_030024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | transcript_product=ATP-dependent RNA helicase DBP7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7M7] | location=CAJZCX010000014:846293-848845(+) | protein_length=850 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480785.1         -            215 14730at5820          -            238      0.57    8.1  14.7   1   1    0.0015      0.82    7.6  14.7   164   223    63   124    17   140 0.51 | transcript=PVW1_070038400_t1 | gene=PVW1_070038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1413632-1414279(-) | protein_length=215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472169.1         -           1415 14730at5820          -            238      0.68    7.9  36.2   1   2       4.7   2.6e+03   -3.8   2.1   184   212   802   830   790   854 0.32 | transcript=PVW1_140034900_t1 | gene=PVW1_140034900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1287430-1291856(+) | protein_length=1415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472169.1         -           1415 14730at5820          -            238      0.68    7.9  36.2   2   2   6.7e-06    0.0037   15.3  26.4   160   230  1147  1260  1085  1268 0.49 | transcript=PVW1_140034900_t1 | gene=PVW1_140034900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1287430-1291856(+) | protein_length=1415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480655.1         -             99 14730at5820          -            238      0.97    7.4  32.7   1   1     0.002       1.1    7.2  32.7   163   218     5    56     1    72 0.53 | transcript=PVW1_070032900_t1 | gene=PVW1_070032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1214216-1214722(+) | protein_length=99 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
