#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481466.1         -            181 13164at5820          -            130   4.1e-74  245.5   3.0   1   1   1.5e-76   5.4e-74  245.1   3.0     8   130    57   181    53   181 0.97 | transcript=PVW1_060015800_t1 | gene=PVW1_060015800 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU96] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU96] | location=CAJZCX010000012:489855-490400(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472516.1         -           1282 13164at5820          -            130   1.1e-08   33.9   1.8   1   2   3.1e-11   1.1e-08   33.9   1.8    31   102   156   227   148   236 0.95 | transcript=PVW1_140068000_t1 | gene=PVW1_140068000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2721960-2725957(+) | protein_length=1282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472516.1         -           1282 13164at5820          -            130   1.1e-08   33.9   1.8   2   2       3.7   1.3e+03   -1.9   0.1    53    53   970   970   942  1017 0.51 | transcript=PVW1_140068000_t1 | gene=PVW1_140068000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2721960-2725957(+) | protein_length=1282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 13164at5820          -            130   1.3e-07   30.4   4.9   1   5       2.6   9.1e+02   -1.4   1.4    23    68    35    87    28   125 0.56 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 13164at5820          -            130   1.3e-07   30.4   4.9   2   5      0.23        83    2.0   0.2     1    61   552   611   552   636 0.90 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 13164at5820          -            130   1.3e-07   30.4   4.9   3   5         4   1.4e+03   -2.1   0.0    35    54   721   741   704   782 0.55 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 13164at5820          -            130   1.3e-07   30.4   4.9   4   5     0.017       6.1    5.6   0.1    10    51   849   889   844   953 0.78 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 13164at5820          -            130   1.3e-07   30.4   4.9   5   5   3.7e-10   1.3e-07   30.4   4.9     5   111   960  1067   956  1075 0.83 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 13164at5820          -            130   1.7e-07   30.1   4.5   1   4     0.051        18    4.1   0.0    55    93    43    82    14    89 0.75 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 13164at5820          -            130   1.7e-07   30.1   4.5   2   4     0.044        16    4.3   0.1    66    94   142   170   116   182 0.78 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 13164at5820          -            130   1.7e-07   30.1   4.5   3   4   0.00017     0.062   12.1   0.3    24    95   190   258   172   263 0.81 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 13164at5820          -            130   1.7e-07   30.1   4.5   4   4    0.0033       1.2    7.9   0.1    21    94   443   515   428   524 0.78 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 13164at5820          -            130   5.5e-06   25.2   0.1   1   3    0.0002      0.07   11.9   0.0    34    91    95   152    86   159 0.90 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 13164at5820          -            130   5.5e-06   25.2   0.1   2   3    0.0017      0.59    8.9   0.0    21    91   181   251   170   263 0.83 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 13164at5820          -            130   5.5e-06   25.2   0.1   3   3       1.1   3.8e+02   -0.2   0.0    67    92   412   437   389   466 0.81 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472320.1         -            110 13164at5820          -            130   1.4e-05   23.9   0.1   1   1   4.5e-08   1.6e-05   23.7   0.1    29   105    16    90     4   104 0.86 | transcript=PVW1_140049400_t1 | gene=PVW1_140049400 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | location=CAJZCX010000003:1934377-1934965(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479718.1         -            292 13164at5820          -            130   2.4e-05   23.1   0.0   1   2   4.2e-05     0.015   14.1   0.0    27    93     7    72     2    98 0.83 | transcript=PVW1_050016100_t1 | gene=PVW1_050016100 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | location=CAJZCX010000010:512076-513290(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479718.1         -            292 13164at5820          -            130   2.4e-05   23.1   0.0   2   2    0.0064       2.3    7.0   0.0    34   100   162   227   156   239 0.84 | transcript=PVW1_050016100_t1 | gene=PVW1_050016100 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | location=CAJZCX010000010:512076-513290(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477646.1         -            181 13164at5820          -            130   0.00032   19.5   0.6   1   1   1.4e-06   0.00051   18.8   0.3    33   100    56   123    43   149 0.87 | transcript=PVW1_110017300_t1 | gene=PVW1_110017300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZR6] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZR6] | location=CAJZCX010000008:516751-518073(+) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480606.1         -            202 13164at5820          -            130    0.0004   19.1   0.0   1   2       4.5   1.6e+03   -2.2   0.0    33    51    18    36     5    47 0.69 | transcript=PVW1_070028800_t1 | gene=PVW1_070028800 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAQ6] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAQ6] | location=CAJZCX010000011:1050271-1051729(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480606.1         -            202 13164at5820          -            130    0.0004   19.1   0.0   2   2   2.7e-06   0.00097   17.9   0.0    15   100    59   143    48   149 0.88 | transcript=PVW1_070028800_t1 | gene=PVW1_070028800 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAQ6] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAQ6] | location=CAJZCX010000011:1050271-1051729(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478165.1         -            754 13164at5820          -            130   0.00057   18.7   7.3   1   3    0.0017      0.59    8.9   0.3    19    58   200   240   184   272 0.64 | transcript=PVW1_110048300_t1 | gene=PVW1_110048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1834349-1837363(+) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478165.1         -            754 13164at5820          -            130   0.00057   18.7   7.3   2   3     0.013       4.6    6.0   0.2    58   111   438   491   400   501 0.84 | transcript=PVW1_110048300_t1 | gene=PVW1_110048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1834349-1837363(+) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478165.1         -            754 13164at5820          -            130   0.00057   18.7   7.3   3   3     0.011       4.1    6.2   0.1    37   100   685   747   649   752 0.81 | transcript=PVW1_110048300_t1 | gene=PVW1_110048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1834349-1837363(+) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 13164at5820          -            130   0.00058   18.6   1.3   1   2       2.2     8e+02   -1.2   0.1    30    90    23    83     6    89 0.63 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 13164at5820          -            130   0.00058   18.6   1.3   2   2   2.9e-06     0.001   17.8   0.2    38   101   118   180   107   191 0.80 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
