#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476044.1         -            677 4511at5820           -            508    1e-280  930.1  23.1   1   3   2.5e-48     3e-45  153.3   0.7    19   121    52   158    43   165 0.89 | transcript=PVW1_130038500_t1 | gene=PVW1_130038500 | organism=Plasmodium_vivax_PvW1 | gene_product=AA_TRNA_LIGASE_II domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT9] | transcript_product=AA_TRNA_LIGASE_II domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT9] | location=CAJZCX010000006:1460087-1462120(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476044.1         -            677 4511at5820           -            508    1e-280  930.1  23.1   2   3  1.2e-207  1.5e-204  678.9  14.3   122   456   229   573   223   583 0.96 | transcript=PVW1_130038500_t1 | gene=PVW1_130038500 | organism=Plasmodium_vivax_PvW1 | gene_product=AA_TRNA_LIGASE_II domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT9] | transcript_product=AA_TRNA_LIGASE_II domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT9] | location=CAJZCX010000006:1460087-1462120(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476044.1         -            677 4511at5820           -            508    1e-280  930.1  23.1   3   3     7e-33   8.5e-30  102.3   0.0   452   508   621   677   603   677 0.92 | transcript=PVW1_130038500_t1 | gene=PVW1_130038500 | organism=Plasmodium_vivax_PvW1 | gene_product=AA_TRNA_LIGASE_II domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT9] | transcript_product=AA_TRNA_LIGASE_II domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT9] | location=CAJZCX010000006:1460087-1462120(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473146.1         -            585 4511at5820           -            508   5.5e-86  287.7   0.3   1   1   2.3e-88   2.9e-85  285.3   0.3    22   507    69   583    49   584 0.82 | transcript=PVW1_120019300_t1 | gene=PVW1_120019300 | organism=Plasmodium_vivax_PvW1 | gene_product=Lysine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0N9] | transcript_product=Lysine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0N9] | location=CAJZCX010000004:655576-657671(+) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475012.1         -            751 4511at5820           -            508   4.8e-11   40.5   0.1   1   3      0.65   7.9e+02   -3.1   0.0    66   119   200   258   197   269 0.68 | transcript=PVW1_100048400_t1 | gene=PVW1_100048400 | organism=Plasmodium_vivax_PvW1 | gene_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYX7] | transcript_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYX7] | location=CAJZCX010000005:1974200-1976455(-) | protein_length=751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475012.1         -            751 4511at5820           -            508   4.8e-11   40.5   0.1   2   3   2.7e-07   0.00033   17.9   0.1   249   322   476   547   469   585 0.86 | transcript=PVW1_100048400_t1 | gene=PVW1_100048400 | organism=Plasmodium_vivax_PvW1 | gene_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYX7] | transcript_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYX7] | location=CAJZCX010000005:1974200-1976455(-) | protein_length=751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475012.1         -            751 4511at5820           -            508   4.8e-11   40.5   0.1   3   3   8.8e-08   0.00011   19.5   0.0   450   503   688   743   676   746 0.79 | transcript=PVW1_100048400_t1 | gene=PVW1_100048400 | organism=Plasmodium_vivax_PvW1 | gene_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYX7] | transcript_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYX7] | location=CAJZCX010000005:1974200-1976455(-) | protein_length=751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482557.1         -            584 4511at5820           -            508   6.4e-11   40.1   0.4   1   1     1e-13   1.2e-10   39.1   0.4   245   503   321   576   303   580 0.79 | transcript=PVW1_040019400_t1 | gene=PVW1_040019400 | organism=Plasmodium_vivax_PvW1 | gene_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H857] | transcript_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H857] | location=CAJZCX010000013:626258-628012(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474959.1         -           1077 4511at5820           -            508    0.0053   13.9   0.7   1   3     0.043        52    0.8   0.0   203   239   428   464   421   468 0.88 | transcript=PVW1_100043800_t1 | gene=PVW1_100043800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1768791-1772024(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474959.1         -           1077 4511at5820           -            508    0.0053   13.9   0.7   2   3   9.3e-05      0.11    9.6   1.0   250   316   600   667   592   678 0.79 | transcript=PVW1_100043800_t1 | gene=PVW1_100043800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1768791-1772024(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474959.1         -           1077 4511at5820           -            508    0.0053   13.9   0.7   3   3      0.48   5.9e+02   -2.7   0.0   464   496  1038  1070  1011  1074 0.71 | transcript=PVW1_100043800_t1 | gene=PVW1_100043800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1768791-1772024(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
