#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478967.1         -            580 4457at5820           -            537         0 1213.3  26.6   1   1         0         0 1213.1  26.6     1   537    33   580    33   580 0.99 | transcript=PVW1_080021000_t1 | gene=PVW1_080021000 | organism=Plasmodium_vivax_PvW1 | gene_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | transcript_product=Heat shock protein 60, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBN2] | location=CAJZCX010000009:744901-746910(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472391.1         -            710 4457at5820           -            537  1.6e-107  358.7  25.4   1   2   2.6e-95   2.2e-92  308.8  12.9     1   419    71   498    71   511 0.97 | transcript=PVW1_140056600_t1 | gene=PVW1_140056600 | organism=Plasmodium_vivax_PvW1 | gene_product=60 kDa chaperonin, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A4K6] | transcript_product=60 kDa chaperonin, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A4K6] | location=CAJZCX010000003:2258247-2260772(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472391.1         -            710 4457at5820           -            537  1.6e-107  358.7  25.4   2   2     1e-18     9e-16   55.9   4.6   434   526   541   634   525   642 0.90 | transcript=PVW1_140056600_t1 | gene=PVW1_140056600 | organism=Plasmodium_vivax_PvW1 | gene_product=60 kDa chaperonin, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A4K6] | transcript_product=60 kDa chaperonin, putative [Source:UniProtKB/TrEMBL;Acc:A0A565A4K6] | location=CAJZCX010000003:2258247-2260772(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477689.1         -            529 4457at5820           -            537   2.5e-15   54.5   6.7   1   2   1.9e-10   1.6e-07   28.7   3.1     7   103    20   111    16   238 0.88 | transcript=PVW1_110019600_t1 | gene=PVW1_110019600 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | transcript_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | location=CAJZCX010000008:634348-636643(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477689.1         -            529 4457at5820           -            537   2.5e-15   54.5   6.7   2   2   5.5e-10   4.8e-07   27.1   0.1   385   510   386   516   360   528 0.79 | transcript=PVW1_110019600_t1 | gene=PVW1_110019600 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | transcript_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | location=CAJZCX010000008:634348-636643(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479065.1         -            535 4457at5820           -            537   1.7e-13   48.4  14.2   1   2   4.1e-10   3.6e-07   27.6   5.8     6   210    25   243    20   268 0.72 | transcript=PVW1_080025300_t1 | gene=PVW1_080025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:932526-934133(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479065.1         -            535 4457at5820           -            537   1.7e-13   48.4  14.2   2   2   1.2e-09     1e-06   26.0   1.3   381   508   384   517   371   533 0.73 | transcript=PVW1_080025300_t1 | gene=PVW1_080025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:932526-934133(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479276.1         -            540 4457at5820           -            537   3.4e-12   44.1   5.9   1   2   1.5e-08   1.3e-05   22.4   1.5    14   132    29   142    17   190 0.86 | transcript=PVW1_080037700_t1 | gene=PVW1_080037700 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | transcript_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | location=CAJZCX010000009:1424361-1426140(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479276.1         -            540 4457at5820           -            537   3.4e-12   44.1   5.9   2   2   5.1e-09   4.4e-06   23.9   0.2   371   519   369   523   356   533 0.81 | transcript=PVW1_080037700_t1 | gene=PVW1_080037700 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | transcript_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | location=CAJZCX010000009:1424361-1426140(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477028.1         -            543 4457at5820           -            537   5.3e-11   40.2   3.4   1   2   4.8e-12   4.2e-09   33.9   1.6     6   145    12   150     8   207 0.83 | transcript=PVW1_090037500_t1 | gene=PVW1_090037500 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | transcript_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | location=CAJZCX010000007:1420990-1422882(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477028.1         -            543 4457at5820           -            537   5.3e-11   40.2   3.4   2   2    0.0017       1.5    5.7   0.0   379   417   375   414   365   436 0.78 | transcript=PVW1_090037500_t1 | gene=PVW1_090037500 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | transcript_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | location=CAJZCX010000007:1420990-1422882(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
