#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472222.1         -            276 9251at5820           -            230  4.6e-146  482.8  10.6   1   1  1.8e-148  1.2e-145  481.3  10.6     1   230    11   263    11   263 0.96 | transcript=PVW1_140040200_t1 | gene=PVW1_140040200 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4X8] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4X8] | location=CAJZCX010000003:1518402-1519232(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476724.1         -            193 9251at5820           -            230   2.5e-38  130.3   0.6   1   1   4.3e-41   2.9e-38  130.1   0.6    36   202    24   192    16   193 0.96 | transcript=PVW1_090020900_t1 | gene=PVW1_090020900 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCM3] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCM3] | location=CAJZCX010000007:744861-745956(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479025.1         -            170 9251at5820           -            230   3.8e-38  129.7   0.1   1   1   6.1e-41   4.1e-38  129.6   0.1    40   201     3   168     1   170 0.96 | transcript=PVW1_080023500_t1 | gene=PVW1_080023500 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBM6] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBM6] | location=CAJZCX010000009:842378-842890(+) | protein_length=170 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485056.1         -            262 9251at5820           -            230     1e-28   98.8   1.7   1   1     2e-31   1.3e-28   98.5   1.7    41   201    93   260    83   262 0.90 | transcript=PVW1_010020100_t1 | gene=PVW1_010020100 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR33] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GR33] | location=CAJZCX010000016:675590-676378(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475318.1         -            226 9251at5820           -            230     6e-24   83.2   0.1   1   1   1.1e-26   7.6e-24   82.9   0.1    42   202     7   173     2   190 0.90 | transcript=PVW1_130008300_t1 | gene=PVW1_130008300 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2Q1] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2Q1] | location=CAJZCX010000006:165412-167102(-) | protein_length=226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474779.1         -            203 9251at5820           -            230   1.3e-18   65.7   0.3   1   1   2.7e-21   1.8e-18   65.3   0.3    23   200    24   196    17   202 0.80 | transcript=PVW1_100029100_t1 | gene=PVW1_100029100 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR7] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR7] | location=CAJZCX010000005:1152373-1152984(+) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475000.1         -            737 9251at5820           -            230   4.3e-16   57.5   0.1   1   2      0.76   5.1e+02   -1.6   0.3   167   208   460   502   444   522 0.72 | transcript=PVW1_100047800_t1 | gene=PVW1_100047800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1940934-1943147(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475000.1         -            737 9251at5820           -            230   4.3e-16   57.5   0.1   2   2   6.3e-19   4.3e-16   57.5   0.1    49   201   586   734   555   737 0.87 | transcript=PVW1_100047800_t1 | gene=PVW1_100047800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1940934-1943147(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476731.1         -            167 9251at5820           -            230   1.2e-15   56.0   0.2   1   1   2.2e-18   1.5e-15   55.7   0.2    55   199    10   151     1   163 0.84 | transcript=PVW1_090021500_t1 | gene=PVW1_090021500 | organism=Plasmodium_vivax_PvW1 | gene_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCW7] | transcript_product=Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCW7] | location=CAJZCX010000007:766653-768255(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485095.1         -            590 9251at5820           -            230   1.6e-10   39.3   0.3   1   2   1.3e-05    0.0088   14.0   0.1    40    99     4    68     2    92 0.80 | transcript=PVW1_010021600_t1 | gene=PVW1_010021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:751842-753614(-) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485095.1         -            590 9251at5820           -            230   1.6e-10   39.3   0.3   2   2   2.1e-08   1.4e-05   23.1   0.0   116   200   107   192    88   199 0.87 | transcript=PVW1_010021600_t1 | gene=PVW1_010021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:751842-753614(-) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
