#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472284.1         -            836 3491at5820           -            604  6.9e-302 1001.1  71.4   1   4  4.2e-271  1.5e-268  891.0  42.7     1   464    31   522    31   533 0.96 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 3491at5820           -            604  6.9e-302 1001.1  71.4   2   4   3.4e-05     0.012   12.8   0.1   461   486   543   568   535   571 0.89 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 3491at5820           -            604  6.9e-302 1001.1  71.4   3   4   0.00073      0.26    8.4   0.4   484   501   597   614   588   620 0.85 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472284.1         -            836 3491at5820           -            604  6.9e-302 1001.1  71.4   4   4   4.6e-29   1.6e-26   91.6  11.3   499   604   673   830   658   830 0.78 | transcript=PVW1_140046000_t1 | gene=PVW1_140046000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1760581-1763091(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 3491at5820           -            604     1e-22   79.0  13.9   1   4       4.5   1.6e+03   -4.1   4.2   503   541    66   104    52   114 0.59 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 3491at5820           -            604     1e-22   79.0  13.9   2   4   1.9e-19   6.9e-17   59.8   5.7    53   251   188   391   171   401 0.88 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 3491at5820           -            604     1e-22   79.0  13.9   3   4   2.9e-11     1e-08   32.8   1.1    90   214   381   505   379   511 0.97 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479235.1         -            659 3491at5820           -            604     1e-22   79.0  13.9   4   4      0.34   1.2e+02   -0.5   0.9   391   437   511   557   505   579 0.83 | transcript=PVW1_080033900_t1 | gene=PVW1_080033900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1274541-1276520(+) | protein_length=659 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 3491at5820           -            604   1.5e-17   62.0  34.8   1   3       3.8   1.4e+03   -3.9   0.5   457   508    87   142    79   156 0.72 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 3491at5820           -            604   1.5e-17   62.0  34.8   2   3   6.4e-05     0.023   11.9   0.2   110   183   248   321   224   333 0.82 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472336.1         -           1239 3491at5820           -            604   1.5e-17   62.0  34.8   3   3   1.1e-18   3.9e-16   57.3  22.9    89   452   410   797   406   892 0.77 | transcript=PVW1_140051000_t1 | gene=PVW1_140051000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1997257-2000976(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
