#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479664.1         -            268 10390at5820          -            231  5.2e-140  463.3  21.3   1   1  6.8e-143  5.9e-140  463.1  21.3     1   231    33   264    33   264 0.99 | transcript=PVW1_050011300_t1 | gene=PVW1_050011300 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8J0] | transcript_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8J0] | location=CAJZCX010000010:311532-312757(-) | protein_length=268 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476701.1         -            276 10390at5820          -            231   8.4e-42  142.0  17.1   1   1   1.1e-44   9.8e-42  141.7  17.1     2   229    43   274    42   276 0.87 | transcript=PVW1_090019400_t1 | gene=PVW1_090019400 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK4] | transcript_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCK4] | location=CAJZCX010000007:686142-687595(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475066.1         -            627 10390at5820          -            231   4.1e-20   71.0  12.2   1   1   1.1e-22   9.7e-20   69.8  12.2    39   188   307   455   300   464 0.88 | transcript=PVW1_100051200_t1 | gene=PVW1_100051200 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEC2] | transcript_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEC2] | location=CAJZCX010000005:2082629-2084512(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476201.1         -            822 10390at5820          -            231   1.4e-17   62.7  29.3   1   1   2.6e-20   2.2e-17   62.1  29.3     3   217   586   804   584   820 0.80 | transcript=PVW1_130044100_t1 | gene=PVW1_130044100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1708332-1711235(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477922.1         -            273 10390at5820          -            231   2.4e-16   58.6  16.9   1   1   2.8e-19   2.4e-16   58.6  16.9     2   218    42   259    41   273 0.71 | transcript=PVW1_110036500_t1 | gene=PVW1_110036500 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFR7] | transcript_product=Rhomboid-like protease [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFR7] | location=CAJZCX010000008:1357455-1359319(+) | protein_length=273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474948.1         -            416 10390at5820          -            231    0.0011   17.3   1.5   1   2       2.9   2.5e+03   -3.6   0.1   153   175   173   193   162   200 0.56 | transcript=PVW1_100043000_t1 | gene=PVW1_100043000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1744940-1746504(+) | protein_length=416 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474948.1         -            416 10390at5820          -            231    0.0011   17.3   1.5   2   2   1.2e-06    0.0011   17.3   1.5    52   115   250   312   225   409 0.79 | transcript=PVW1_100043000_t1 | gene=PVW1_100043000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1744940-1746504(+) | protein_length=416 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477681.1         -            335 10390at5820          -            231    0.0053   15.0   5.2   1   3       2.9   2.5e+03   -3.5   0.1     3    17   105   119    94   129 0.48 | transcript=PVW1_110019100_t1 | gene=PVW1_110019100 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP2] | transcript_product=Rhomboid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP2] | location=CAJZCX010000008:613672-614679(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477681.1         -            335 10390at5820          -            231    0.0053   15.0   5.2   2   3   6.1e-06    0.0053   15.0   5.2    56   114   166   224   154   227 0.88 | transcript=PVW1_110019100_t1 | gene=PVW1_110019100 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP2] | transcript_product=Rhomboid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP2] | location=CAJZCX010000008:613672-614679(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477681.1         -            335 10390at5820          -            231    0.0053   15.0   5.2   3   3     0.018        16    3.6  10.4   116   190   254   325   227   331 0.71 | transcript=PVW1_110019100_t1 | gene=PVW1_110019100 | organism=Plasmodium_vivax_PvW1 | gene_product=Rhomboid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP2] | transcript_product=Rhomboid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP2] | location=CAJZCX010000008:613672-614679(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10390at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10390at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10390at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:55 2026
# [ok]
