#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475894.1         -            992 4147at5820           -            788         0 1169.6   8.2   1   2  6.1e-227  6.7e-225  747.2   0.0     1   456     1   581     1   601 0.89 | transcript=PVW1_130032900_t1 | gene=PVW1_130032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1226130-1229108(-) | protein_length=992 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475894.1         -            992 4147at5820           -            788         0 1169.6   8.2   2   2  3.3e-125  3.7e-123  410.8  17.9   447   788   605   992   594   992 0.74 | transcript=PVW1_130032900_t1 | gene=PVW1_130032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1226130-1229108(-) | protein_length=992 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484044.1         -           1224 4147at5820           -            788   1.6e-06   25.0  31.3   1   3   1.4e-08   1.6e-06   25.0  31.3   487   589   499   614   488   671 0.58 | transcript=PVW1_020015800_t1 | gene=PVW1_020015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:487044-490718(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484044.1         -           1224 4147at5820           -            788   1.6e-06   25.0  31.3   2   3      0.86        95   -0.7   0.3   555   589   793   827   782   867 0.58 | transcript=PVW1_020015800_t1 | gene=PVW1_020015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:487044-490718(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484044.1         -           1224 4147at5820           -            788   1.6e-06   25.0  31.3   3   3       3.6     4e+02   -2.7   0.8   384   423   960   998   957  1001 0.84 | transcript=PVW1_020015800_t1 | gene=PVW1_020015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:487044-490718(-) | protein_length=1224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479987.1         -           2667 4147at5820           -            788   7.1e-05   19.6  62.2   1   2   9.5e-06    0.0011   15.7  39.7   447   589   159   309   141   394 0.51 | transcript=PVW1_050036200_t1 | gene=PVW1_050036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1346657-1354660(+) | protein_length=2667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479987.1         -           2667 4147at5820           -            788   7.1e-05   19.6  62.2   2   2   0.00094       0.1    9.1  14.5   462   581   455   578   426   635 0.46 | transcript=PVW1_050036200_t1 | gene=PVW1_050036200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1346657-1354660(+) | protein_length=2667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477252.1         -           1996 4147at5820           -            788   8.4e-05   19.3  29.4   1   3       8.8   9.8e+02   -4.0  12.2   537   617   592   676   548   693 0.34 | transcript=PVW1_090050400_t1 | gene=PVW1_090050400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:2009081-2015071(-) | protein_length=1996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477252.1         -           1996 4147at5820           -            788   8.4e-05   19.3  29.4   2   3    0.0014      0.16    8.5  50.9   509   621   695   805   662   823 0.34 | transcript=PVW1_090050400_t1 | gene=PVW1_090050400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:2009081-2015071(-) | protein_length=1996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477252.1         -           1996 4147at5820           -            788   8.4e-05   19.3  29.4   3   3   7.6e-07   8.4e-05   19.3  29.4   529   638  1018  1122   956  1131 0.46 | transcript=PVW1_090050400_t1 | gene=PVW1_090050400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:2009081-2015071(-) | protein_length=1996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481813.1         -            441 4147at5820           -            788   0.00014   18.6  31.5   1   1   1.7e-06   0.00019   18.2  31.5   492   618   246   374   225   413 0.49 | transcript=PVW1_060027000_t1 | gene=PVW1_060027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:895199-896524(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
