#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477726.1         -           1006 3360at5820           -            790         0 1416.0 153.6   1   6    5e-152  7.6e-149  495.7  14.4     1   228     1   228     1   241 0.99 | transcript=PVW1_110023000_t1 | gene=PVW1_110023000 | organism=Plasmodium_vivax_PvW1 | gene_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | transcript_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | location=CAJZCX010000008:771633-774873(+) | protein_length=1006 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477726.1         -           1006 3360at5820           -            790         0 1416.0 153.6   2   6   3.9e-56   5.9e-53  178.6  11.3   218   332   243   366   232   418 0.81 | transcript=PVW1_110023000_t1 | gene=PVW1_110023000 | organism=Plasmodium_vivax_PvW1 | gene_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | transcript_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | location=CAJZCX010000008:771633-774873(+) | protein_length=1006 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477726.1         -           1006 3360at5820           -            790         0 1416.0 153.6   3   6   2.3e-29   3.5e-26   90.1  22.6   333   429   419   516   409   527 0.89 | transcript=PVW1_110023000_t1 | gene=PVW1_110023000 | organism=Plasmodium_vivax_PvW1 | gene_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | transcript_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | location=CAJZCX010000008:771633-774873(+) | protein_length=1006 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477726.1         -           1006 3360at5820           -            790         0 1416.0 153.6   4   6   1.1e-36   1.6e-33  114.3  21.9   411   486   528   603   523   607 0.97 | transcript=PVW1_110023000_t1 | gene=PVW1_110023000 | organism=Plasmodium_vivax_PvW1 | gene_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | transcript_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | location=CAJZCX010000008:771633-774873(+) | protein_length=1006 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477726.1         -           1006 3360at5820           -            790         0 1416.0 153.6   5   6     2e-21     3e-18   63.8   1.4   468   532   632   697   628   726 0.88 | transcript=PVW1_110023000_t1 | gene=PVW1_110023000 | organism=Plasmodium_vivax_PvW1 | gene_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | transcript_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | location=CAJZCX010000008:771633-774873(+) | protein_length=1006 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477726.1         -           1006 3360at5820           -            790         0 1416.0 153.6   6   6  9.4e-155  1.4e-151  504.7  43.0   528   790   741  1004   733  1004 0.98 | transcript=PVW1_110023000_t1 | gene=PVW1_110023000 | organism=Plasmodium_vivax_PvW1 | gene_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | transcript_product=Putative rRNA methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZN5] | location=CAJZCX010000008:771633-774873(+) | protein_length=1006 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480364.1         -            526 3360at5820           -            790     1e-28   98.5  10.4   1   4   9.5e-13   1.4e-09   35.1   0.5     6    43     3    40     1    45 0.95 | transcript=PVW1_070013600_t1 | gene=PVW1_070013600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:465301-466881(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480364.1         -            526 3360at5820           -            790     1e-28   98.5  10.4   2   4   0.00065      0.99    5.9   0.0    48    62    67    81    53    88 0.82 | transcript=PVW1_070013600_t1 | gene=PVW1_070013600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:465301-466881(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480364.1         -            526 3360at5820           -            790     1e-28   98.5  10.4   3   4    0.0022       3.3    4.1   0.4    62   108   134   179   128   193 0.85 | transcript=PVW1_070013600_t1 | gene=PVW1_070013600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:465301-466881(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480364.1         -            526 3360at5820           -            790     1e-28   98.5  10.4   4   4   2.1e-19   3.1e-16   57.1   0.0   112   202   208   298   200   306 0.96 | transcript=PVW1_070013600_t1 | gene=PVW1_070013600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:465301-466881(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471895.1         -            266 3360at5820           -            790   2.3e-24   84.0   2.5   1   1     2e-27     3e-24   83.6   2.5    11   205    45   247    39   259 0.86 | transcript=PVW1_140016800_t1 | gene=PVW1_140016800 | organism=Plasmodium_vivax_PvW1 | gene_product=FtsJ domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJX9] | transcript_product=FtsJ domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJX9] | location=CAJZCX010000003:559981-560781(+) | protein_length=266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
