#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9484172.1         -            631 4891at5820           -            503         0 1049.0  28.1   1   2   8.7e-30   8.8e-27   92.5   8.5     1    72    73   153    73   159 0.90 | transcript=PVW1_020019400_t1 | gene=PVW1_020019400 | organism=Plasmodium_vivax_PvW1 | gene_product=Aspartate--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6Y1] | transcript_product=Aspartate--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6Y1] | location=CAJZCX010000015:635012-636907(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484172.1         -            631 4891at5820           -            503         0 1049.0  28.1   2   2  1.5e-293  1.5e-290  962.6  11.7    60   503   177   631   162   631 0.98 | transcript=PVW1_020019400_t1 | gene=PVW1_020019400 | organism=Plasmodium_vivax_PvW1 | gene_product=Aspartate--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6Y1] | transcript_product=Aspartate--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6Y1] | location=CAJZCX010000015:635012-636907(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474959.1         -           1077 4891at5820           -            503   3.2e-40  136.9   2.6   1   5   0.00062      0.63    7.2   0.0    67   165   227   337   220   341 0.72 | transcript=PVW1_100043800_t1 | gene=PVW1_100043800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1768791-1772024(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474959.1         -           1077 4891at5820           -            503   3.2e-40  136.9   2.6   2   5    0.0011       1.1    6.4   0.0   191   231   412   452   402   466 0.81 | transcript=PVW1_100043800_t1 | gene=PVW1_100043800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1768791-1772024(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474959.1         -           1077 4891at5820           -            503   3.2e-40  136.9   2.6   3   5     2e-18   2.1e-15   55.0   0.2   232   310   582   658   570   670 0.89 | transcript=PVW1_100043800_t1 | gene=PVW1_100043800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1768791-1772024(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474959.1         -           1077 4891at5820           -            503   3.2e-40  136.9   2.6   4   5   9.2e-17   9.3e-14   49.5   0.0   356   443   902   989   891   998 0.90 | transcript=PVW1_100043800_t1 | gene=PVW1_100043800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1768791-1772024(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474959.1         -           1077 4891at5820           -            503   3.2e-40  136.9   2.6   5   5   7.3e-06    0.0074   13.6   0.0   453   491  1035  1073  1021  1076 0.89 | transcript=PVW1_100043800_t1 | gene=PVW1_100043800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1768791-1772024(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482557.1         -            584 4891at5820           -            503   8.1e-28   95.9   1.3   1   2    0.0067       6.8    3.8   0.0   194   244   207   257   183   270 0.89 | transcript=PVW1_040019400_t1 | gene=PVW1_040019400 | organism=Plasmodium_vivax_PvW1 | gene_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H857] | transcript_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H857] | location=CAJZCX010000013:626258-628012(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482557.1         -            584 4891at5820           -            503   8.1e-28   95.9   1.3   2   2   8.1e-29   8.2e-26   89.3   1.5   241   498   315   579   305   582 0.79 | transcript=PVW1_040019400_t1 | gene=PVW1_040019400 | organism=Plasmodium_vivax_PvW1 | gene_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H857] | transcript_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H857] | location=CAJZCX010000013:626258-628012(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475012.1         -            751 4891at5820           -            503   3.5e-22   77.3   0.0   1   2     0.018        18    2.4   0.0   194   242   373   421   362   430 0.85 | transcript=PVW1_100048400_t1 | gene=PVW1_100048400 | organism=Plasmodium_vivax_PvW1 | gene_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYX7] | transcript_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYX7] | location=CAJZCX010000005:1974200-1976455(-) | protein_length=751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475012.1         -            751 4891at5820           -            503   3.5e-22   77.3   0.0   2   2   1.9e-23   1.9e-20   71.6   0.0   241   501   466   749   457   751 0.78 | transcript=PVW1_100048400_t1 | gene=PVW1_100048400 | organism=Plasmodium_vivax_PvW1 | gene_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYX7] | transcript_product=Asparagine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYX7] | location=CAJZCX010000005:1974200-1976455(-) | protein_length=751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473146.1         -            585 4891at5820           -            503   2.6e-18   64.6   0.3   1   1   2.7e-20   2.7e-17   61.2   0.3   185   496   235   580   229   583 0.71 | transcript=PVW1_120019300_t1 | gene=PVW1_120019300 | organism=Plasmodium_vivax_PvW1 | gene_product=Lysine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0N9] | transcript_product=Lysine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0N9] | location=CAJZCX010000004:655576-657671(+) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476044.1         -            677 4891at5820           -            503   2.7e-09   34.8   0.8   1   2   4.6e-09   4.7e-06   24.1   1.1   208   326   311   430   287   548 0.80 | transcript=PVW1_130038500_t1 | gene=PVW1_130038500 | organism=Plasmodium_vivax_PvW1 | gene_product=AA_TRNA_LIGASE_II domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT9] | transcript_product=AA_TRNA_LIGASE_II domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT9] | location=CAJZCX010000006:1460087-1462120(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476044.1         -            677 4891at5820           -            503   2.7e-09   34.8   0.8   2   2   0.00038      0.38    7.9   0.0   442   495   618   672   603   675 0.83 | transcript=PVW1_130038500_t1 | gene=PVW1_130038500 | organism=Plasmodium_vivax_PvW1 | gene_product=AA_TRNA_LIGASE_II domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT9] | transcript_product=AA_TRNA_LIGASE_II domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT9] | location=CAJZCX010000006:1460087-1462120(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
