#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9471929.1         -            420 6354at5820           -            285  7.5e-200  660.5   2.4   1   1  3.4e-202  9.1e-200  660.2   2.4     1   285     8   295     8   295 0.99 | transcript=PVW1_140018700_t1 | gene=PVW1_140018700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK13] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK13] | location=CAJZCX010000003:612748-614241(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 6354at5820           -            285   4.8e-70  234.6   0.1   1   2   4.1e-37   1.1e-34  118.6   0.0   144   277   198   332   193   339 0.90 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 6354at5820           -            285   4.8e-70  234.6   0.1   2   2   1.2e-35   3.3e-33  113.7   0.0    99   285   432   613   413   613 0.91 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472560.1         -            424 6354at5820           -            285   8.8e-66  220.6   0.2   1   1   4.4e-68   1.2e-65  220.2   0.2    83   285    99   300    52   300 0.94 | transcript=PVW1_140072500_t1 | gene=PVW1_140072500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5W3] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5W3] | location=CAJZCX010000003:2878631-2879905(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 6354at5820           -            285   1.9e-64  216.2   0.0   1   2   6.8e-38   1.8e-35  121.1   0.0   144   280   468   604   464   609 0.93 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 6354at5820           -            285   1.9e-64  216.2   0.0   2   2     3e-29   8.1e-27   92.7   0.0   146   284   790   926   775   927 0.90 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477003.1         -            441 6354at5820           -            285   1.6e-56  190.2   0.1   1   1   9.7e-59   2.5e-56  189.5   0.1   106   285   142   321   116   321 0.97 | transcript=PVW1_090035700_t1 | gene=PVW1_090035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXS1] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXS1] | location=CAJZCX010000007:1346540-1347865(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471851.1         -            393 6354at5820           -            285     4e-56  188.9   1.0   1   1   1.9e-58   5.1e-56  188.5   1.0    80   285    59   270     5   270 0.88 | transcript=PVW1_140013500_t1 | gene=PVW1_140013500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H453] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H453] | location=CAJZCX010000003:405987-407168(-) | protein_length=393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478777.1         -            447 6354at5820           -            285   1.5e-55  187.0   0.0   1   1   8.5e-58   2.3e-55  186.4   0.0   111   285   151   325   120   325 0.91 | transcript=PVW1_080013400_t1 | gene=PVW1_080013400 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW49] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW49] | location=CAJZCX010000009:415093-416725(-) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479867.1         -            392 6354at5820           -            285   4.2e-55  185.5   0.0   1   1   2.4e-57   6.3e-55  185.0   0.0    96   285    82   271    47   271 0.94 | transcript=PVW1_050025300_t1 | gene=PVW1_050025300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H907] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H907] | location=CAJZCX010000010:849428-850791(-) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 6354at5820           -            285   6.3e-31  106.2   0.2   1   3   5.8e-07   0.00015   19.6   0.0   150   208   343   401   331   406 0.89 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
