#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477570.1         -            784 4293at5820           -            463    9e-235  778.1  44.4   1   4   1.1e-85   2.2e-82  275.7  14.1    31   180   176   325   147   330 0.90 | transcript=PVW1_110013900_t1 | gene=PVW1_110013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEW5] | transcript_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEW5] | location=CAJZCX010000008:361583-364187(-) | protein_length=784 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477570.1         -            784 4293at5820           -            463    9e-235  778.1  44.4   2   4   9.8e-30     2e-26   91.2   0.1   174   229   363   418   348   425 0.85 | transcript=PVW1_110013900_t1 | gene=PVW1_110013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEW5] | transcript_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEW5] | location=CAJZCX010000008:361583-364187(-) | protein_length=784 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477570.1         -            784 4293at5820           -            463    9e-235  778.1  44.4   3   4   5.2e-59   1.1e-55  187.8   7.9   225   343   451   581   448   596 0.86 | transcript=PVW1_110013900_t1 | gene=PVW1_110013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEW5] | transcript_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEW5] | location=CAJZCX010000008:361583-364187(-) | protein_length=784 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477570.1         -            784 4293at5820           -            463    9e-235  778.1  44.4   4   4   4.8e-74   9.7e-71  237.3   2.9   336   463   650   777   620   777 0.93 | transcript=PVW1_110013900_t1 | gene=PVW1_110013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEW5] | transcript_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEW5] | location=CAJZCX010000008:361583-364187(-) | protein_length=784 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474891.1         -           2761 4293at5820           -            463   2.2e-22   77.9   9.9   1   2   6.2e-20   1.3e-16   58.9   6.5    20   254  2359  2632  2349  2641 0.75 | transcript=PVW1_100038500_t1 | gene=PVW1_100038500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1559517-1567946(+) | protein_length=2761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474891.1         -           2761 4293at5820           -            463   2.2e-22   77.9   9.9   2   2   1.4e-07   0.00028   18.2   0.1   387   437  2679  2729  2660  2756 0.80 | transcript=PVW1_100038500_t1 | gene=PVW1_100038500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1559517-1567946(+) | protein_length=2761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484030.1         -            335 4293at5820           -            463     0.016   12.4   0.0   1   3     0.039        79    0.3   0.0    86   108    47    69     9   103 0.82 | transcript=PVW1_020015300_t1 | gene=PVW1_020015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6W5] | transcript_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6W5] | location=CAJZCX010000015:474128-476403(-) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484030.1         -            335 4293at5820           -            463     0.016   12.4   0.0   2   3     0.078   1.6e+02   -0.7   0.0   184   220   158   194   141   213 0.75 | transcript=PVW1_020015300_t1 | gene=PVW1_020015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6W5] | transcript_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6W5] | location=CAJZCX010000015:474128-476403(-) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484030.1         -            335 4293at5820           -            463     0.016   12.4   0.0   3   3   0.00014      0.28    8.3   0.0   398   454   278   329   247   333 0.82 | transcript=PVW1_020015300_t1 | gene=PVW1_020015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6W5] | transcript_product=Endo/exonuclease/phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6W5] | location=CAJZCX010000015:474128-476403(-) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
