#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476824.1         -           1194 2762at5820           -            488    6e-147  488.7  79.2   1   8   4.6e-27     7e-24   82.8   0.0     1    66     1    66     1    75 0.93 | transcript=PVW1_090025900_t1 | gene=PVW1_090025900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:936992-940576(-) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476824.1         -           1194 2762at5820           -            488    6e-147  488.7  79.2   2   8   4.1e-20   6.2e-17   59.9   0.3    73   118   208   258   171   304 0.84 | transcript=PVW1_090025900_t1 | gene=PVW1_090025900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:936992-940576(-) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476824.1         -           1194 2762at5820           -            488    6e-147  488.7  79.2   3   8   1.8e-34   2.8e-31  107.2  23.6   117   256   325   474   321   475 0.94 | transcript=PVW1_090025900_t1 | gene=PVW1_090025900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:936992-940576(-) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476824.1         -           1194 2762at5820           -            488    6e-147  488.7  79.2   4   8   6.7e-55     1e-51  174.6  27.8   177   361   435   625   431   708 0.72 | transcript=PVW1_090025900_t1 | gene=PVW1_090025900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:936992-940576(-) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476824.1         -           1194 2762at5820           -            488    6e-147  488.7  79.2   5   8    0.0097        15    2.6   0.1   127   178   732   783   723   816 0.59 | transcript=PVW1_090025900_t1 | gene=PVW1_090025900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:936992-940576(-) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476824.1         -           1194 2762at5820           -            488    6e-147  488.7  79.2   6   8   1.8e-15   2.7e-12   44.6   7.5   351   448   818   918   789   933 0.69 | transcript=PVW1_090025900_t1 | gene=PVW1_090025900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:936992-940576(-) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476824.1         -           1194 2762at5820           -            488    6e-147  488.7  79.2   7   8    0.0042       6.4    3.8   0.6   374   453   912   991   905  1000 0.84 | transcript=PVW1_090025900_t1 | gene=PVW1_090025900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:936992-940576(-) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476824.1         -           1194 2762at5820           -            488    6e-147  488.7  79.2   8   8   2.5e-15   3.7e-12   44.2   0.2   453   488  1150  1185  1138  1185 0.90 | transcript=PVW1_090025900_t1 | gene=PVW1_090025900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:936992-940576(-) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484303.1         -            495 2762at5820           -            488    0.0019   15.4  42.8   1   3   0.00022      0.33    8.1   1.5   185   275   116   162    92   178 0.53 | transcript=PVW1_020024300_t1 | gene=PVW1_020024300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:866519-868286(+) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484303.1         -            495 2762at5820           -            488    0.0019   15.4  42.8   2   3   4.3e-05     0.065   10.4  10.6   172   271   243   340   222   346 0.71 | transcript=PVW1_020024300_t1 | gene=PVW1_020024300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:866519-868286(+) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484303.1         -            495 2762at5820           -            488    0.0019   15.4  42.8   3   3   0.00087       1.3    6.1  20.0   175   327   327   471   318   489 0.77 | transcript=PVW1_020024300_t1 | gene=PVW1_020024300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:866519-868286(+) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
