#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9482699.1         -            106 14551at5820          -             99   2.5e-60  199.5  13.2   1   1   3.2e-63   3.2e-60  199.2  13.2     1    99     1   106     1   106 0.95 | transcript=PVW1_040025100_t1 | gene=PVW1_040025100 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA-directed RNA polymerase subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSY9] | transcript_product=DNA-directed RNA polymerase subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSY9] | location=CAJZCX010000013:859452-859976(+) | protein_length=106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472108.1         -            439 14551at5820          -             99   1.3e-08   33.7   0.8   1   4         4     4e+03   -3.2   0.0    53    74    35    56    27    65 0.55 | transcript=PVW1_140029900_t1 | gene=PVW1_140029900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1101491-1102810(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472108.1         -            439 14551at5820          -             99   1.3e-08   33.7   0.8   2   4       2.6   2.6e+03   -2.6   0.2    36    36   117   117    87   147 0.57 | transcript=PVW1_140029900_t1 | gene=PVW1_140029900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1101491-1102810(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472108.1         -            439 14551at5820          -             99   1.3e-08   33.7   0.8   3   4       2.2   2.2e+03   -2.4   0.3    31    52   315   336   296   352 0.65 | transcript=PVW1_140029900_t1 | gene=PVW1_140029900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1101491-1102810(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472108.1         -            439 14551at5820          -             99   1.3e-08   33.7   0.8   4   4   1.3e-11   1.3e-08   33.7   0.8    46    98   386   438   358   439 0.78 | transcript=PVW1_140029900_t1 | gene=PVW1_140029900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1101491-1102810(+) | protein_length=439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483238.1         -            458 14551at5820          -             99     1e-06   27.5   3.0   1   2      0.92   9.3e+02   -1.2   0.5    21    36   288   304   270   316 0.61 | transcript=PVW1_030013700_t1 | gene=PVW1_030013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:438543-439919(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483238.1         -            458 14551at5820          -             99     1e-06   27.5   3.0   2   2     1e-09     1e-06   27.5   3.0    30    95   389   452   369   455 0.83 | transcript=PVW1_030013700_t1 | gene=PVW1_030013700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:438543-439919(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483962.1         -            252 14551at5820          -             99   0.00022   20.1   7.0   1   1   5.8e-07   0.00058   18.7   7.0     3    98     5   115     3   118 0.66 | transcript=PVW1_020012300_t1 | gene=PVW1_020012300 | organism=Plasmodium_vivax_PvW1 | gene_product=TFIIS-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6T3] | transcript_product=TFIIS-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6T3] | location=CAJZCX010000015:373554-374682(+) | protein_length=252 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475809.1         -           1138 14551at5820          -             99    0.0023   16.8   0.6   1   2       2.3   2.4e+03   -2.5   1.2    21    52   238   269   225   278 0.65 | transcript=PVW1_130029400_t1 | gene=PVW1_130029400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1092411-1095827(-) | protein_length=1138 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475809.1         -           1138 14551at5820          -             99    0.0023   16.8   0.6   2   2   2.3e-06    0.0023   16.8   0.6    28    89   841   902   815   915 0.85 | transcript=PVW1_130029400_t1 | gene=PVW1_130029400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1092411-1095827(-) | protein_length=1138 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472481.1         -           2142 14551at5820          -             99     0.004   16.0   1.3   1   1   8.6e-06    0.0087   14.9   1.3     2    52  1108  1157  1107  1177 0.79 | transcript=PVW1_140065000_t1 | gene=PVW1_140065000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2616293-2622721(-) | protein_length=2142 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14551at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14551at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14551at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:47 2026
# [ok]
