#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483417.1         -            529 5036at5820           -            465         0 1045.8  21.8   1   1         0         0 1045.0  21.8     1   465    47   529    47   529 0.99 | transcript=PVW1_030020500_t1 | gene=PVW1_030020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | transcript_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | location=CAJZCX010000014:680985-682739(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482387.1         -            526 5036at5820           -            465  1.6e-148  493.6  23.5   1   1  2.3e-150  2.3e-148  493.0  23.5     7   464    38   522    30   523 0.91 | transcript=PVW1_040013600_t1 | gene=PVW1_040013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | transcript_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | location=CAJZCX010000013:399682-401946(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473290.1         -            563 5036at5820           -            465   1.3e-81  272.9  20.6   1   1     2e-83     2e-81  272.3  20.6    30   459   126   559    98   562 0.88 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479257.1         -            604 5036at5820           -            465   9.4e-73  243.7   8.4   1   1   3.4e-74   3.4e-72  241.9   8.4    31   459   166   600   138   603 0.85 | transcript=PVW1_080035900_t1 | gene=PVW1_080035900 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | transcript_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | location=CAJZCX010000009:1365607-1368547(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476886.1         -           1968 5036at5820           -            465   9.9e-43  144.7   5.5   1   3      0.49        49    0.7   0.0   402   456    31    86    20    95 0.79 | transcript=PVW1_090028300_t1 | gene=PVW1_090028300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1067021-1073086(+) | protein_length=1968 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476886.1         -           1968 5036at5820           -            465   9.9e-43  144.7   5.5   2   3      0.25        26    1.6   0.1   376   442    73   137    63   149 0.75 | transcript=PVW1_090028300_t1 | gene=PVW1_090028300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1067021-1073086(+) | protein_length=1968 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476886.1         -           1968 5036at5820           -            465   9.9e-43  144.7   5.5   3   3   9.8e-45   9.9e-43  144.7   5.5    24   296  1513  1798  1499  1839 0.84 | transcript=PVW1_090028300_t1 | gene=PVW1_090028300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1067021-1073086(+) | protein_length=1968 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476883.1         -           1607 5036at5820           -            465   6.1e-41  138.8  13.4   1   1   1.8e-42   1.8e-40  137.3  13.4    28   427  1171  1560  1160  1567 0.84 | transcript=PVW1_090028000_t1 | gene=PVW1_090028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1030038-1035762(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473797.1         -            861 5036at5820           -            465   1.5e-40  137.5   8.2   1   1   2.4e-42   2.4e-40  136.9   8.2    29   291   485   758   474   782 0.85 | transcript=PVW1_120067500_t1 | gene=PVW1_120067500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H220] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H220] | location=CAJZCX010000004:2619393-2621978(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475865.1         -            284 5036at5820           -            465   2.5e-38  130.2  14.0   1   1   3.4e-40   3.4e-38  129.8  14.0    23   270    20   280     7   283 0.88 | transcript=PVW1_130031900_t1 | gene=PVW1_130031900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIT1] | location=CAJZCX010000006:1185176-1187295(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472466.1         -            508 5036at5820           -            465   1.2e-32  111.4   3.2   1   1   1.9e-34   1.9e-32  110.8   3.2    21   281   107   376   101   402 0.86 | transcript=PVW1_140063500_t1 | gene=PVW1_140063500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HLA1] | location=CAJZCX010000003:2535147-2536673(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475575.1         -            854 5036at5820           -            465   1.6e-27   94.5   0.3   1   2       4.9     5e+02   -2.7   0.0    23    44   108   130    95   158 0.75 | transcript=PVW1_130019800_t1 | gene=PVW1_130019800 | organism=Plasmodium_vivax_PvW1 | gene_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | transcript_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | location=CAJZCX010000006:663083-666911(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475575.1         -            854 5036at5820           -            465   1.6e-27   94.5   0.3   2   2   5.5e-29   5.6e-27   92.8   0.1    25   207   542   722   524   793 0.82 | transcript=PVW1_130019800_t1 | gene=PVW1_130019800 | organism=Plasmodium_vivax_PvW1 | gene_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | transcript_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | location=CAJZCX010000006:663083-666911(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471965.1         -            368 5036at5820           -            465   1.1e-25   88.6   8.9   1   1   1.2e-27   1.3e-25   88.3   8.9    18   269   102   361    19   366 0.90 | transcript=PVW1_140022300_t1 | gene=PVW1_140022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | location=CAJZCX010000003:767187-768293(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480821.1         -            341 5036at5820           -            465   1.3e-25   88.3   0.9   1   1   1.8e-27   1.8e-25   87.8   0.9    18   269    26   288    21   320 0.85 | transcript=PVW1_070040400_t1 | gene=PVW1_070040400 | organism=Plasmodium_vivax_PvW1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB26] | location=CAJZCX010000011:1462955-1464722(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477698.1         -            288 5036at5820           -            465   5.4e-25   86.2   0.2   1   2   1.3e-23   1.3e-21   75.1   0.3    23   203     2   177     1   199 0.83 | transcript=PVW1_110020500_t1 | gene=PVW1_110020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | location=CAJZCX010000008:664005-665737(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477698.1         -            288 5036at5820           -            465   5.4e-25   86.2   0.2   2   2    0.0013      0.13    9.1   0.0   235   270   250   285   243   287 0.90 | transcript=PVW1_110020500_t1 | gene=PVW1_110020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | location=CAJZCX010000008:664005-665737(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479267.1         -           1607 5036at5820           -            465   1.5e-24   84.8   0.9   1   1     2e-26     2e-24   84.4   0.9    31   270  1345  1604  1326  1607 0.84 | transcript=PVW1_080036700_t1 | gene=PVW1_080036700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1393748-1399176(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
