#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478686.1         -            341 9722at5820           -            288    1e-157  522.6  35.9   1   3  6.8e-118  5.9e-115  382.3  16.7     1   206     1   215     1   219 0.96 | transcript=PVW1_080009800_t1 | gene=PVW1_080009800 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP/ATP carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBL8] | transcript_product=ADP/ATP carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBL8] | location=CAJZCX010000009:274533-275920(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478686.1         -            341 9722at5820           -            288    1e-157  522.6  35.9   2   3   7.5e-30   6.5e-27   93.4   1.5   198   256   228   286   225   298 0.93 | transcript=PVW1_080009800_t1 | gene=PVW1_080009800 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP/ATP carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBL8] | transcript_product=ADP/ATP carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBL8] | location=CAJZCX010000009:274533-275920(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478686.1         -            341 9722at5820           -            288    1e-157  522.6  35.9   3   3   2.8e-19   2.4e-16   58.7   2.7   250   288   303   341   291   341 0.91 | transcript=PVW1_080009800_t1 | gene=PVW1_080009800 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP/ATP carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBL8] | transcript_product=ADP/ATP carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBL8] | location=CAJZCX010000009:274533-275920(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481845.1         -            301 9722at5820           -            288   1.5e-18   65.9   3.9   1   3   4.6e-17     4e-14   51.4   0.4    14   184     5   188     3   188 0.76 | transcript=PVW1_060028200_t1 | gene=PVW1_060028200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | transcript_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | location=CAJZCX010000012:948074-948979(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481845.1         -            301 9722at5820           -            288   1.5e-18   65.9   3.9   2   3   3.7e-07   0.00032   18.9   0.3    66   145   160   243   151   259 0.75 | transcript=PVW1_060028200_t1 | gene=PVW1_060028200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | transcript_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | location=CAJZCX010000012:948074-948979(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481845.1         -            301 9722at5820           -            288   1.5e-18   65.9   3.9   3   3       0.1        88    1.0   0.0    62   105   252   297   247   301 0.74 | transcript=PVW1_060028200_t1 | gene=PVW1_060028200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | transcript_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | location=CAJZCX010000012:948074-948979(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 9722at5820           -            288   1.2e-07   30.2  14.1   1   5    0.0011      0.98    7.5   0.0   203   246    21    63     3    82 0.78 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 9722at5820           -            288   1.2e-07   30.2  14.1   2   5     0.044        38    2.2   1.3    44   104   584   652   577   664 0.77 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 9722at5820           -            288   1.2e-07   30.2  14.1   3   5     0.081        70    1.4   0.1   163   199   667   703   662   710 0.59 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 9722at5820           -            288   1.2e-07   30.2  14.1   4   5   0.00098      0.85    7.7   0.4   131   201   764   829   736   836 0.67 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 9722at5820           -            288   1.2e-07   30.2  14.1   5   5   3.1e-06    0.0026   15.9   0.0   196   261  1004  1071   989  1081 0.81 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
