#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475475.1         -           1005 3536at5820           -            688         0 1156.3 105.9   1   5   8.8e-18   1.3e-14   51.9   3.2    18    69    67   121    54   124 0.85 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475475.1         -           1005 3536at5820           -            688         0 1156.3 105.9   2   5     8e-40   1.2e-36  124.8  12.8    72   181   229   346   223   352 0.92 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475475.1         -           1005 3536at5820           -            688         0 1156.3 105.9   3   5   6.4e-14   9.7e-11   39.2  16.8   177   223   382   428   378   437 0.86 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475475.1         -           1005 3536at5820           -            688         0 1156.3 105.9   4   5   0.00075       1.1    5.9   1.8   200   234   432   465   424   468 0.74 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475475.1         -           1005 3536at5820           -            688         0 1156.3 105.9   5   5  1.7e-291  2.6e-288  956.6  43.3   231   688   536  1001   527  1001 0.98 | transcript=PVW1_130015400_t1 | gene=PVW1_130015400 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIL2] | location=CAJZCX010000006:481641-485056(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472081.1         -           1164 3536at5820           -            688     3e-55  186.3  79.6   1   2         4   6.1e+03   -7.2  16.3    65   168   421   526   358   549 0.68 | transcript=PVW1_140028600_t1 | gene=PVW1_140028600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1032747-1038043(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472081.1         -           1164 3536at5820           -            688     3e-55  186.3  79.6   2   2     6e-58   9.2e-55  184.7  68.4    97   675   488  1130   485  1148 0.68 | transcript=PVW1_140028600_t1 | gene=PVW1_140028600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1032747-1038043(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472083.1         -            783 3536at5820           -            688     6e-48  162.2  20.6   1   3     0.011        17    2.0   0.9   312   351    29    73     4    77 0.68 | transcript=PVW1_140028700_t1 | gene=PVW1_140028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | location=CAJZCX010000003:1041374-1045153(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472083.1         -            783 3536at5820           -            688     6e-48  162.2  20.6   2   3         4   6.1e+03   -6.5  30.6   105   331   129   365   121   379 0.70 | transcript=PVW1_140028700_t1 | gene=PVW1_140028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | location=CAJZCX010000003:1041374-1045153(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472083.1         -            783 3536at5820           -            688     6e-48  162.2  20.6   3   3   3.9e-51     6e-48  162.2  20.6   376   676   459   753   453   762 0.92 | transcript=PVW1_140028700_t1 | gene=PVW1_140028700 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Q0] | location=CAJZCX010000003:1041374-1045153(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473586.1         -            803 3536at5820           -            688   9.2e-38  128.5  67.2   1   2   1.8e-40   2.7e-37  126.9  57.1    98   607    91   630    66   676 0.69 | transcript=PVW1_120051000_t1 | gene=PVW1_120051000 | organism=Plasmodium_vivax_PvW1 | gene_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | transcript_product=Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA5] | location=CAJZCX010000004:1911128-1914430(-) | protein_length=803 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
