#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480526.1         -            238 12899at5820          -            214   1.2e-69  232.9  20.1   1   1   1.8e-72   2.7e-69  231.7  20.1    21   214    25   237    17   237 0.75 | transcript=PVW1_070021900_t1 | gene=PVW1_070021900 | organism=Plasmodium_vivax_PvW1 | gene_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV57] | transcript_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV57] | location=CAJZCX010000011:779456-780172(+) | protein_length=238 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485074.1         -            710 12899at5820          -            214   4.1e-05   21.9  11.5   1   4      0.84   1.3e+03   -2.5   1.2    30    50   211   230   189   254 0.46 | transcript=PVW1_010020600_t1 | gene=PVW1_010020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:707917-710049(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485074.1         -            710 12899at5820          -            214   4.1e-05   21.9  11.5   2   4      0.59     9e+02   -2.1   0.5   125   146   277   296   264   311 0.44 | transcript=PVW1_010020600_t1 | gene=PVW1_010020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:707917-710049(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485074.1         -            710 12899at5820          -            214   4.1e-05   21.9  11.5   3   4   2.7e-08   4.1e-05   21.9  11.5    83   174   336   429   333   442 0.71 | transcript=PVW1_010020600_t1 | gene=PVW1_010020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:707917-710049(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485074.1         -            710 12899at5820          -            214   4.1e-05   21.9  11.5   4   4       3.9     6e+03   -4.7   9.6    26   148   618   649   589   690 0.51 | transcript=PVW1_010020600_t1 | gene=PVW1_010020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:707917-710049(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480433.1         -            409 12899at5820          -            214     7e-05   21.2  12.7   1   4   4.6e-08     7e-05   21.2  12.7    80   135     2    53     1    68 0.71 | transcript=PVW1_070017100_t1 | gene=PVW1_070017100 | organism=Plasmodium_vivax_PvW1 | gene_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAE1] | transcript_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAE1] | location=CAJZCX010000011:615844-617073(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480433.1         -            409 12899at5820          -            214     7e-05   21.2  12.7   2   4       2.4   3.7e+03   -4.1   0.3   143   150    86    93    79   117 0.51 | transcript=PVW1_070017100_t1 | gene=PVW1_070017100 | organism=Plasmodium_vivax_PvW1 | gene_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAE1] | transcript_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAE1] | location=CAJZCX010000011:615844-617073(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480433.1         -            409 12899at5820          -            214     7e-05   21.2  12.7   3   4      0.94   1.4e+03   -2.7   0.2   111   141   139   167   132   192 0.57 | transcript=PVW1_070017100_t1 | gene=PVW1_070017100 | organism=Plasmodium_vivax_PvW1 | gene_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAE1] | transcript_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAE1] | location=CAJZCX010000011:615844-617073(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480433.1         -            409 12899at5820          -            214     7e-05   21.2  12.7   4   4      0.28   4.3e+02   -1.0   2.9   180   198   350   368   313   382 0.71 | transcript=PVW1_070017100_t1 | gene=PVW1_070017100 | organism=Plasmodium_vivax_PvW1 | gene_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAE1] | transcript_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAE1] | location=CAJZCX010000011:615844-617073(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476082.1         -            162 12899at5820          -            214       1.2    7.4  31.6   1   2       3.4   5.2e+03   -4.5  12.7    20    58    19    54     3    96 0.42 | transcript=PVW1_130039400_t1 | gene=PVW1_130039400 | organism=Plasmodium_vivax_PvW1 | gene_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ12] | transcript_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ12] | location=CAJZCX010000006:1502894-1503716(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476082.1         -            162 12899at5820          -            214       1.2    7.4  31.6   2   2   4.2e-05     0.063   11.5  19.9    47   120    71   157    45   161 0.57 | transcript=PVW1_130039400_t1 | gene=PVW1_130039400 | organism=Plasmodium_vivax_PvW1 | gene_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ12] | transcript_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ12] | location=CAJZCX010000006:1502894-1503716(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
