#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479293.1         -            532 4796at5820           -            494         0 1064.1  12.5   1   1         0         0 1063.9  12.5     1   494     8   529     8   529 0.98 | transcript=PVW1_080039000_t1 | gene=PVW1_080039000 | organism=Plasmodium_vivax_PvW1 | gene_product=CCT-beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWT6] | transcript_product=CCT-beta [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWT6] | location=CAJZCX010000009:1478527-1480125(+) | protein_length=532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477028.1         -            543 4796at5820           -            494   5.4e-84  281.0   6.6   1   1   1.1e-86   7.1e-84  280.6   6.6    14   494    15   538     6   538 0.84 | transcript=PVW1_090037500_t1 | gene=PVW1_090037500 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | transcript_product=T-complex protein 1 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD30] | location=CAJZCX010000007:1420990-1422882(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479065.1         -            535 4796at5820           -            494   2.3e-76  255.9  18.8   1   1   4.2e-79   2.8e-76  255.6  18.8     9   488    23   530    14   533 0.84 | transcript=PVW1_080025300_t1 | gene=PVW1_080025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:932526-934133(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479276.1         -            540 4796at5820           -            494   1.2e-70  237.0  12.7   1   1   2.9e-73     2e-70  236.3  12.7     2   489    12   526    11   530 0.84 | transcript=PVW1_080037700_t1 | gene=PVW1_080037700 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | transcript_product=T-complex protein 1 subunit eta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HC23] | location=CAJZCX010000009:1424361-1426140(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477689.1         -            529 4796at5820           -            494   7.4e-66  221.2  17.5   1   1   1.5e-68     1e-65  220.7  17.5    10   489    18   528    11   529 0.83 | transcript=PVW1_110019600_t1 | gene=PVW1_110019600 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | transcript_product=T-complex protein 1 subunit delta [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEY9] | location=CAJZCX010000008:634348-636643(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472365.1         -            544 4796at5820           -            494     7e-54  181.7  15.2   1   1   1.3e-56     9e-54  181.3  15.2     3   488    12   527    10   532 0.81 | transcript=PVW1_140053900_t1 | gene=PVW1_140053900 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | transcript_product=T-complex protein 1 subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5A4] | location=CAJZCX010000003:2133513-2135359(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482486.1         -            544 4796at5820           -            494   4.4e-36  123.0  22.8   1   1   8.2e-39   5.6e-36  122.6  22.8     2   491    12   527    11   529 0.80 | transcript=PVW1_040017100_t1 | gene=PVW1_040017100 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit theta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H817] | transcript_product=T-complex protein 1 subunit theta, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H817] | location=CAJZCX010000013:539335-541219(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478107.1         -            543 4796at5820           -            494   2.5e-23   80.9  12.3   1   1   3.9e-25   2.6e-22   77.5  12.3    25   489    29   535    17   538 0.77 | transcript=PVW1_110046000_t1 | gene=PVW1_110046000 | organism=Plasmodium_vivax_PvW1 | gene_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | transcript_product=T-complex protein 1 subunit zeta, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZXN5] | location=CAJZCX010000008:1745432-1747242(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472308.1         -            244 4796at5820           -            494    0.0015   15.7   0.2   1   2   0.00013     0.091    9.8   0.1    22    70    55    99    48   119 0.86 | transcript=PVW1_140048400_t1 | gene=PVW1_140048400 | organism=Plasmodium_vivax_PvW1 | gene_product=KOW domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKK9] | transcript_product=KOW domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKK9] | location=CAJZCX010000003:1897015-1897749(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472308.1         -            244 4796at5820           -            494    0.0015   15.7   0.2   2   2    0.0076       5.2    4.0   0.0   172   209   161   201   152   208 0.82 | transcript=PVW1_140048400_t1 | gene=PVW1_140048400 | organism=Plasmodium_vivax_PvW1 | gene_product=KOW domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKK9] | transcript_product=KOW domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKK9] | location=CAJZCX010000003:1897015-1897749(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
