#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480339.1         -            832 7115at5820           -            359  1.4e-173  575.4  73.7   1   5  4.9e-133    3e-130  432.9  21.2     1   220     3   252     3   267 0.91 | transcript=PVW1_070011600_t1 | gene=PVW1_070011600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:382946-385444(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480339.1         -            832 7115at5820           -            359  1.4e-173  575.4  73.7   2   5   1.3e-20     8e-18   63.0   4.4   199   286   338   425   319   435 0.76 | transcript=PVW1_070011600_t1 | gene=PVW1_070011600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:382946-385444(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480339.1         -            832 7115at5820           -            359  1.4e-173  575.4  73.7   3   5       6.1   3.7e+03   -5.0   7.1   265   301   450   486   411   490 0.67 | transcript=PVW1_070011600_t1 | gene=PVW1_070011600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:382946-385444(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480339.1         -            832 7115at5820           -            359  1.4e-173  575.4  73.7   4   5     0.013       7.7    3.9   9.2   265   302   467   509   439   527 0.69 | transcript=PVW1_070011600_t1 | gene=PVW1_070011600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:382946-385444(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480339.1         -            832 7115at5820           -            359  1.4e-173  575.4  73.7   5   5   8.1e-32   4.9e-29   99.9   7.6   265   359   739   832   669   832 0.83 | transcript=PVW1_070011600_t1 | gene=PVW1_070011600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:382946-385444(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474818.1         -            983 7115at5820           -            359   5.1e-36  122.9  13.1   1   6   8.4e-39   5.1e-36  122.9  13.1    20   275    12   276     1   307 0.67 | transcript=PVW1_100032900_t1 | gene=PVW1_100032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1302522-1305473(-) | protein_length=983 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474818.1         -            983 7115at5820           -            359   5.1e-36  122.9  13.1   2   6        10   6.1e+03   -7.9   8.4   216   260   327   373   280   408 0.38 | transcript=PVW1_100032900_t1 | gene=PVW1_100032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1302522-1305473(-) | protein_length=983 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474818.1         -            983 7115at5820           -            359   5.1e-36  122.9  13.1   3   6       1.8   1.1e+03   -3.2   3.7   260   300   482   522   428   562 0.65 | transcript=PVW1_100032900_t1 | gene=PVW1_100032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1302522-1305473(-) | protein_length=983 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474818.1         -            983 7115at5820           -            359   5.1e-36  122.9  13.1   4   6       5.7   3.5e+03   -4.9   9.1   243   295   615   669   610   699 0.49 | transcript=PVW1_100032900_t1 | gene=PVW1_100032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1302522-1305473(-) | protein_length=983 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474818.1         -            983 7115at5820           -            359   5.1e-36  122.9  13.1   5   6      0.85   5.1e+02   -2.2   8.7   194   282   729   822   694   834 0.65 | transcript=PVW1_100032900_t1 | gene=PVW1_100032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1302522-1305473(-) | protein_length=983 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474818.1         -            983 7115at5820           -            359   5.1e-36  122.9  13.1   6   6       2.9   1.8e+03   -3.9   0.8   203   242   926   961   919   971 0.58 | transcript=PVW1_100032900_t1 | gene=PVW1_100032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1302522-1305473(-) | protein_length=983 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477676.1         -            961 7115at5820           -            359   4.7e-24   83.5   8.8   1   4   7.8e-27   4.7e-24   83.5   8.8    35   139     8   114     3   127 0.95 | transcript=PVW1_110018800_t1 | gene=PVW1_110018800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:603271-606156(-) | protein_length=961 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477676.1         -            961 7115at5820           -            359   4.7e-24   83.5   8.8   2   4        10   6.1e+03   -7.1  10.7   204   287   270   351   221   376 0.57 | transcript=PVW1_110018800_t1 | gene=PVW1_110018800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:603271-606156(-) | protein_length=961 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477676.1         -            961 7115at5820           -            359   4.7e-24   83.5   8.8   3   4       4.3   2.6e+03   -4.5   5.6   235   334   507   551   484   612 0.61 | transcript=PVW1_110018800_t1 | gene=PVW1_110018800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:603271-606156(-) | protein_length=961 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477676.1         -            961 7115at5820           -            359   4.7e-24   83.5   8.8   4   4       5.1   3.1e+03   -4.7   2.5   194   194   829   829   752   941 0.47 | transcript=PVW1_110018800_t1 | gene=PVW1_110018800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:603271-606156(-) | protein_length=961 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
