#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481493.1         -            943 4710at5820           -            709         0 1135.9 156.5   1   4  2.7e-167  2.4e-164  546.8  10.2     5   261    14   273     8   280 0.96 | transcript=PVW1_060016600_t1 | gene=PVW1_060016600 | organism=Plasmodium_vivax_PvW1 | gene_product=EF-hand calcium-binding domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P1] | transcript_product=EF-hand calcium-binding domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P1] | location=CAJZCX010000012:511436-515313(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481493.1         -            943 4710at5820           -            709         0 1135.9 156.5   2   4   5.9e-08   5.1e-05   20.1  41.1   256   383   291   439   287   455 0.54 | transcript=PVW1_060016600_t1 | gene=PVW1_060016600 | organism=Plasmodium_vivax_PvW1 | gene_product=EF-hand calcium-binding domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P1] | transcript_product=EF-hand calcium-binding domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P1] | location=CAJZCX010000012:511436-515313(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481493.1         -            943 4710at5820           -            709         0 1135.9 156.5   3   4         7   6.1e+03   -8.9  24.7   310   381   451   517   434   538 0.34 | transcript=PVW1_060016600_t1 | gene=PVW1_060016600 | organism=Plasmodium_vivax_PvW1 | gene_product=EF-hand calcium-binding domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P1] | transcript_product=EF-hand calcium-binding domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P1] | location=CAJZCX010000012:511436-515313(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481493.1         -            943 4710at5820           -            709         0 1135.9 156.5   4   4  4.5e-181  3.9e-178  592.3  62.9   375   709   568   943   557   943 0.95 | transcript=PVW1_060016600_t1 | gene=PVW1_060016600 | organism=Plasmodium_vivax_PvW1 | gene_product=EF-hand calcium-binding domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P1] | transcript_product=EF-hand calcium-binding domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P1] | location=CAJZCX010000012:511436-515313(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479326.1         -            529 4710at5820           -            709    0.0002   18.1   2.3   1   2      0.22     2e+02   -1.7   1.9   404   440   358   394   256   408 0.73 | transcript=PVW1_080041700_t1 | gene=PVW1_080041700 | organism=Plasmodium_vivax_PvW1 | gene_product=EH domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:Q962K8] | transcript_product=EH domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:Q962K8] | location=CAJZCX010000009:1575533-1577122(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479326.1         -            529 4710at5820           -            709    0.0002   18.1   2.3   2   2   3.2e-07   0.00028   17.6   0.0   142   221   449   526   431   528 0.77 | transcript=PVW1_080041700_t1 | gene=PVW1_080041700 | organism=Plasmodium_vivax_PvW1 | gene_product=EH domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:Q962K8] | transcript_product=EH domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:Q962K8] | location=CAJZCX010000009:1575533-1577122(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480785.1         -            215 4710at5820           -            709     0.072    9.7   9.6   1   1   8.2e-05     0.071    9.7   9.6   324   395    62   130    17   190 0.55 | transcript=PVW1_070038400_t1 | gene=PVW1_070038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1413632-1414279(-) | protein_length=215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474056.1         -            369 4710at5820           -            709      0.21    8.1  13.8   1   1   0.00032      0.28    7.7  13.8   218   353   213   347   203   358 0.58 | transcript=PVW1_120085800_t1 | gene=PVW1_120085800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3455471-3456687(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474932.1         -            155 4710at5820           -            709      0.34    7.4  28.0   1   1   0.00043      0.37    7.3  28.0   313   388    74   135    26   147 0.44 | transcript=PVW1_100041400_t1 | gene=PVW1_100041400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1681178-1681961(-) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475816.1         -            117 4710at5820           -            709      0.76    6.3  21.2   1   1   0.00084      0.73    6.3  21.2   319   391    37   113     7   117 0.57 | transcript=PVW1_130029700_t1 | gene=PVW1_130029700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1104754-1105107(+) | protein_length=117 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480655.1         -             99 4710at5820           -            709       3.8    4.0  28.8   1   1    0.0046         4    3.9  28.8   332   381     7    55     1    72 0.42 | transcript=PVW1_070032900_t1 | gene=PVW1_070032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1214216-1214722(+) | protein_length=99 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4710at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4710at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4710at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:44 2026
# [ok]
