#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483243.1         -            380 8131at5820           -            332  1.8e-189  627.2  64.5   1   1  5.8e-191  4.4e-188  622.6  64.5     1   332     8   380     8   380 0.95 | transcript=PVW1_030013900_t1 | gene=PVW1_030013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | location=CAJZCX010000014:443294-444773(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472483.1         -            259 8131at5820           -            332   1.2e-16   59.1   1.4   1   2    0.0018       1.4    6.4   0.0   197   225     6    34     2    42 0.89 | transcript=PVW1_140065200_t1 | gene=PVW1_140065200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | location=CAJZCX010000003:2633772-2635544(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472483.1         -            259 8131at5820           -            332   1.2e-16   59.1   1.4   2   2   2.5e-16   1.9e-13   48.6   0.9    67   221    42   206    38   218 0.84 | transcript=PVW1_140065200_t1 | gene=PVW1_140065200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5U2] | location=CAJZCX010000003:2633772-2635544(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481845.1         -            301 8131at5820           -            332   8.8e-08   30.0   2.7   1   2   4.3e-09   3.3e-06   24.8   0.1   103   223    13   144     3   149 0.74 | transcript=PVW1_060028200_t1 | gene=PVW1_060028200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | transcript_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | location=CAJZCX010000012:948074-948979(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481845.1         -            301 8131at5820           -            332   8.8e-08   30.0   2.7   2   2     0.006       4.5    4.7   0.2    46    96   151   200   145   240 0.77 | transcript=PVW1_060028200_t1 | gene=PVW1_060028200 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | transcript_product=ADP/ATP translocase [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUP5] | location=CAJZCX010000012:948074-948979(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479709.1         -            318 8131at5820           -            332   1.3e-07   29.5   0.3   1   3   2.9e-05     0.022   12.3   0.0   181   224    18    61     7    67 0.91 | transcript=PVW1_050015300_t1 | gene=PVW1_050015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | transcript_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | location=CAJZCX010000010:486145-487101(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479709.1         -            318 8131at5820           -            332   1.3e-07   29.5   0.3   2   3    0.0062       4.7    4.6   0.0   150   224    86   156    65   160 0.77 | transcript=PVW1_050015300_t1 | gene=PVW1_050015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | transcript_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | location=CAJZCX010000010:486145-487101(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479709.1         -            318 8131at5820           -            332   1.3e-07   29.5   0.3   3   3   0.00078      0.59    7.6   1.5    55   183   172   316   158   318 0.59 | transcript=PVW1_050015300_t1 | gene=PVW1_050015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | transcript_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | location=CAJZCX010000010:486145-487101(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475316.1         -            323 8131at5820           -            332   1.6e-06   25.9   4.1   1   1   4.8e-09   3.7e-06   24.7   4.0    11   219    39   255    29   274 0.73 | transcript=PVW1_130008100_t1 | gene=PVW1_130008100 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial phosphate carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2V5] | transcript_product=Mitochondrial phosphate carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2V5] | location=CAJZCX010000006:140006-140977(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 8131at5820           -            332     2e-06   25.5  26.5   1   7   0.00027       0.2    9.1   0.9   185   305    25   141    11   147 0.75 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 8131at5820           -            332     2e-06   25.5  26.5   2   7       1.7   1.3e+03   -3.4   0.0   244   296   425   477   408   485 0.59 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
