#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1   1  15         1   6.1e+03  -10.3  16.0   438   865    53   185    16   282 0.48 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1   2  15   1.4e-21   8.7e-18   62.1   4.7    10    93   295   385   284   391 0.85 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1   3  15   3.4e-19   2.1e-15   54.2   0.1   110   149   441   480   408   500 0.85 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1   4  15   1.4e-36   8.2e-33  111.8   0.3   154   237   534   620   520   623 0.92 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1   5  15   4.3e-75   2.6e-71  239.3  11.7   230   366   640   792   636   805 0.90 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1   6  15   1.4e-15   8.3e-12   42.3   3.8   364   405   844   885   835   893 0.87 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1   7  15         1   6.1e+03   -8.1  28.6   395   480   967  1055   957  1073 0.69 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1   8  15   8.1e-07    0.0049   13.3   1.6   407   476  1073  1143  1053  1169 0.77 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1   9  15   0.00035       2.1    4.5   0.2   497   534  1279  1316  1225  1330 0.69 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1  10  15   2.1e-16   1.3e-12   45.0  10.6   520   621  1462  1568  1437  1581 0.75 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1  11  15   3.8e-22   2.3e-18   64.0   5.6   616   724  1621  1727  1605  1735 0.73 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1  12  15     0.021   1.3e+02   -1.4   7.1   400   480  1765  1848  1751  1861 0.55 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1  13  15    0.0017        11    2.2   0.1   739   765  1950  1976  1930  2003 0.66 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1  14  15   5.4e-24   3.3e-20   70.1  15.7   772   908  2020  2224  1992  2233 0.77 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478953.1         -           2428 682at5820            -           1021  5.7e-251  834.1 203.1  15  15   3.3e-66     2e-62  209.8   4.5   906  1021  2306  2423  2289  2423 0.93 | transcript=PVW1_080020300_t1 | gene=PVW1_080020300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:717438-724724(-) | protein_length=2428 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/682at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/682at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/682at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:45 2026
# [ok]
