#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476527.1         -            585 4554at5820           -            495  7.5e-271  897.3  50.4   1   1  4.6e-273  3.1e-270  895.2  50.4     2   495    16   585    15   585 0.92 | transcript=PVW1_090009400_t1 | gene=PVW1_090009400 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCB5] | transcript_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCB5] | location=CAJZCX010000007:274236-277874(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 4554at5820           -            495   4.1e-58  195.6  60.9   1   6   4.5e-23     3e-20   70.7  13.2   173   312    94   232    89   234 0.88 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 4554at5820           -            495   4.1e-58  195.6  60.9   2   6   1.4e-16   9.6e-14   49.2   3.7   178   312   222   365   219   367 0.81 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 4554at5820           -            495   4.1e-58  195.6  60.9   3   6   2.9e-12     2e-09   35.0   3.7   191   290   305   407   286   414 0.85 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 4554at5820           -            495   4.1e-58  195.6  60.9   4   6   5.6e-14   3.8e-11   40.7   7.8   171   312   662   824   655   832 0.76 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 4554at5820           -            495   4.1e-58  195.6  60.9   5   6     1e-15     7e-13   46.4   6.6   210   313   918  1021   906  1037 0.81 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472422.1         -           1129 4554at5820           -            495   4.1e-58  195.6  60.9   6   6   0.00028      0.19    8.7   0.0   385   410  1060  1085  1045  1098 0.66 | transcript=PVW1_140059200_t1 | gene=PVW1_140059200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2369455-2373022(-) | protein_length=1129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475760.1         -            378 4554at5820           -            495   7.3e-41  138.7  31.2   1   3   7.6e-27   5.1e-24   83.1  15.4   174   315    32   171    25   173 0.91 | transcript=PVW1_130027200_t1 | gene=PVW1_130027200 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | location=CAJZCX010000006:996469-999981(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475760.1         -            378 4554at5820           -            495   7.3e-41  138.7  31.2   2   3   2.9e-08     2e-05   21.8   0.4   254   312   172   229   169   237 0.93 | transcript=PVW1_130027200_t1 | gene=PVW1_130027200 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | location=CAJZCX010000006:996469-999981(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475760.1         -            378 4554at5820           -            495   7.3e-41  138.7  31.2   3   3     4e-15   2.7e-12   44.5   2.2   194   297   240   343   236   361 0.85 | transcript=PVW1_130027200_t1 | gene=PVW1_130027200 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | location=CAJZCX010000006:996469-999981(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479067.1         -            575 4554at5820           -            495   1.8e-38  130.8  46.3   1   3   1.2e-23   8.1e-21   72.6  19.4   172   313   225   371   215   376 0.80 | transcript=PVW1_080025400_t1 | gene=PVW1_080025400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:935586-937313(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
