#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474048.1         -           5531 39at5820             -           4063         0 6028.1 537.8   1  11  3.4e-301  5.2e-298  990.7 131.7     2   950    16  1285    15  1325 0.82 | transcript=PVW1_120085400_t1 | gene=PVW1_120085400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3418843-3435583(-) | protein_length=5531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474048.1         -           5531 39at5820             -           4063         0 6028.1 537.8   2  11  2.2e-220  3.3e-217  722.5  44.9   946  1498  1359  1980  1350  1992 0.89 | transcript=PVW1_120085400_t1 | gene=PVW1_120085400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3418843-3435583(-) | protein_length=5531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474048.1         -           5531 39at5820             -           4063         0 6028.1 537.8   3  11  1.8e-113  2.8e-110  367.6  36.7  1455  1808  2163  2575  2149  2589 0.86 | transcript=PVW1_120085400_t1 | gene=PVW1_120085400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3418843-3435583(-) | protein_length=5531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474048.1         -           5531 39at5820             -           4063         0 6028.1 537.8   4  11   2.7e-06    0.0042   11.9   2.1  1799  1849  2710  2761  2695  2788 0.75 | transcript=PVW1_120085400_t1 | gene=PVW1_120085400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3418843-3435583(-) | protein_length=5531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474048.1         -           5531 39at5820             -           4063         0 6028.1 537.8   5  11  2.6e-268  3.9e-265  881.6  56.5  1839  2336  2820  3340  2815  3348 0.96 | transcript=PVW1_120085400_t1 | gene=PVW1_120085400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3418843-3435583(-) | protein_length=5531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474048.1         -           5531 39at5820             -           4063         0 6028.1 537.8   6  11  1.9e-112  2.8e-109  364.3  13.3  2342  2542  3389  3589  3385  3594 0.98 | transcript=PVW1_120085400_t1 | gene=PVW1_120085400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3418843-3435583(-) | protein_length=5531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474048.1         -           5531 39at5820             -           4063         0 6028.1 537.8   7  11         0         0 1153.9  65.0  2524  3128  3637  4266  3631  4309 0.94 | transcript=PVW1_120085400_t1 | gene=PVW1_120085400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3418843-3435583(-) | protein_length=5531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474048.1         -           5531 39at5820             -           4063         0 6028.1 537.8   8  11  2.7e-134  4.1e-131  436.7  24.0  3128  3361  4339  4575  4325  4581 0.97 | transcript=PVW1_120085400_t1 | gene=PVW1_120085400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3418843-3435583(-) | protein_length=5531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474048.1         -           5531 39at5820             -           4063         0 6028.1 537.8   9  11  2.3e-253  3.4e-250  832.0  56.3  3369  3849  4681  5204  4667  5215 0.91 | transcript=PVW1_120085400_t1 | gene=PVW1_120085400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3418843-3435583(-) | protein_length=5531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474048.1         -           5531 39at5820             -           4063         0 6028.1 537.8  10  11     4e-17   6.1e-14   47.8   1.2  3847  3892  5230  5275  5226  5282 0.92 | transcript=PVW1_120085400_t1 | gene=PVW1_120085400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3418843-3435583(-) | protein_length=5531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474048.1         -           5531 39at5820             -           4063         0 6028.1 537.8  11  11   1.2e-85   1.8e-82  275.3  27.2  3879  4063  5330  5525  5315  5525 0.90 | transcript=PVW1_120085400_t1 | gene=PVW1_120085400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3418843-3435583(-) | protein_length=5531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
