#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480522.1         -            340 9867at5820           -            284  2.6e-172  570.0  32.2   1   2       1.1   2.3e+02   -0.8   0.1     1    14     1    14     1    26 0.75 | transcript=PVW1_070021700_t1 | gene=PVW1_070021700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | transcript_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | location=CAJZCX010000011:771557-772579(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480522.1         -            340 9867at5820           -            284  2.6e-172  570.0  32.2   2   2  3.7e-173  7.7e-171  565.2  28.9     7   284    33   340    25   340 0.95 | transcript=PVW1_070021700_t1 | gene=PVW1_070021700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | transcript_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | location=CAJZCX010000011:771557-772579(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 9867at5820           -            284   2.4e-20   71.3   6.2   1   3   5.4e-11   1.1e-08   33.0   0.1    56   201    11   161     4   185 0.84 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 9867at5820           -            284   2.4e-20   71.3   6.2   2   3    0.0022      0.46    8.1   0.1    60   117   192   247   167   264 0.65 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472314.1         -            884 9867at5820           -            284   2.4e-20   71.3   6.2   3   3   1.1e-10   2.3e-08   32.0   0.3   140   252   445   557   428   583 0.79 | transcript=PVW1_140048800_t1 | gene=PVW1_140048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1914070-1916724(+) | protein_length=884 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479878.1         -            361 9867at5820           -            284   5.2e-18   63.7   1.1   1   1     4e-20   8.4e-18   63.0   1.1    49   246   106   304    94   344 0.87 | transcript=PVW1_050026200_t1 | gene=PVW1_050026200 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X6] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X6] | location=CAJZCX010000010:889935-892352(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 9867at5820           -            284   1.1e-15   56.0   0.2   1   2   4.7e-12   9.8e-10   36.5   0.2    58   202    85   246    71   329 0.72 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 9867at5820           -            284   1.1e-15   56.0   0.2   2   2   4.9e-06     0.001   16.7   0.0    55   131   366   445   358   463 0.82 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479718.1         -            292 9867at5820           -            284   1.7e-11   42.3   0.0   1   2    0.0069       1.4    6.4   0.0   144   202     7    65     2   110 0.82 | transcript=PVW1_050016100_t1 | gene=PVW1_050016100 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | location=CAJZCX010000010:512076-513290(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479718.1         -            292 9867at5820           -            284   1.7e-11   42.3   0.0   2   2   2.9e-11     6e-09   33.9   0.0    46   133   140   229   132   239 0.89 | transcript=PVW1_050016100_t1 | gene=PVW1_050016100 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTA5] | location=CAJZCX010000010:512076-513290(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478612.1         -            318 9867at5820           -            284   4.7e-11   40.8   0.0   1   2   2.2e-13   4.7e-11   40.8   0.0   144   218    86   162    70   189 0.84 | transcript=PVW1_080007500_t1 | gene=PVW1_080007500 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB72] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB72] | location=CAJZCX010000009:169507-172597(+) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478612.1         -            318 9867at5820           -            284   4.7e-11   40.8   0.0   2   2       8.8   1.8e+03   -3.8   1.1   228   228   253   253   217   269 0.57 | transcript=PVW1_080007500_t1 | gene=PVW1_080007500 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB72] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB72] | location=CAJZCX010000009:169507-172597(+) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
