#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478886.1         -           1457 2246at5820           -            702         0 1189.1  96.1   1   7   8.4e-23   2.6e-19   67.4   0.0     1    48     1    48     1    56 0.94 | transcript=PVW1_080018100_t1 | gene=PVW1_080018100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | location=CAJZCX010000009:595116-599906(+) | protein_length=1457 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478886.1         -           1457 2246at5820           -            702         0 1189.1  96.1   2   7     3e-88   9.2e-85  283.7  14.9    41   211   176   351   172   356 0.96 | transcript=PVW1_080018100_t1 | gene=PVW1_080018100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | location=CAJZCX010000009:595116-599906(+) | protein_length=1457 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478886.1         -           1457 2246at5820           -            702         0 1189.1  96.1   3   7  1.6e-144    5e-141  469.7  19.9   218   434   460   676   441   689 0.96 | transcript=PVW1_080018100_t1 | gene=PVW1_080018100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | location=CAJZCX010000009:595116-599906(+) | protein_length=1457 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478886.1         -           1457 2246at5820           -            702         0 1189.1  96.1   4   7     7e-06     0.021   11.5   1.3   441   463   805   827   802   838 0.85 | transcript=PVW1_080018100_t1 | gene=PVW1_080018100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | location=CAJZCX010000009:595116-599906(+) | protein_length=1457 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478886.1         -           1457 2246at5820           -            702         0 1189.1  96.1   5   7   9.6e-15   2.9e-11   40.8   2.3   406   501  1013  1113   989  1123 0.69 | transcript=PVW1_080018100_t1 | gene=PVW1_080018100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | location=CAJZCX010000009:595116-599906(+) | protein_length=1457 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478886.1         -           1457 2246at5820           -            702         0 1189.1  96.1   6   7      0.16   4.9e+02   -2.9   1.1   500   521  1211  1236  1209  1242 0.74 | transcript=PVW1_080018100_t1 | gene=PVW1_080018100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | location=CAJZCX010000009:595116-599906(+) | protein_length=1457 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478886.1         -           1457 2246at5820           -            702         0 1189.1  96.1   7   7  2.9e-107  8.8e-104  346.6  17.4   519   702  1269  1452  1258  1452 0.97 | transcript=PVW1_080018100_t1 | gene=PVW1_080018100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | transcript_product=Protein-serine/threonine phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBK4] | location=CAJZCX010000009:595116-599906(+) | protein_length=1457 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477710.1         -           1544 2246at5820           -            702     8e-12   42.6   3.7   1   4      0.64   1.9e+03   -4.9   2.6   497   529   484   514   457   537 0.60 | transcript=PVW1_110021700_t1 | gene=PVW1_110021700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:724664-729298(+) | protein_length=1544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477710.1         -           1544 2246at5820           -            702     8e-12   42.6   3.7   2   4   0.00016       0.5    7.0   0.0   172   193  1069  1090  1056  1104 0.80 | transcript=PVW1_110021700_t1 | gene=PVW1_110021700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:724664-729298(+) | protein_length=1544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477710.1         -           1544 2246at5820           -            702     8e-12   42.6   3.7   3   4   2.6e-15     8e-12   42.6   3.7   284   386  1121  1228  1113  1262 0.82 | transcript=PVW1_110021700_t1 | gene=PVW1_110021700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:724664-729298(+) | protein_length=1544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477710.1         -           1544 2246at5820           -            702     8e-12   42.6   3.7   4   4     0.026        80   -0.3   0.8   539   571  1247  1279  1236  1398 0.48 | transcript=PVW1_110021700_t1 | gene=PVW1_110021700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:724664-729298(+) | protein_length=1544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
