#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476295.1         -           1273 2335at5820           -            732  2.2e-293  973.6  75.2   1   7   8.3e-35   2.5e-31  107.2   3.7    13   114   119   245   112   317 0.74 | transcript=PVW1_130052100_t1 | gene=PVW1_130052100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2063426-2067247(+) | protein_length=1273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476295.1         -           1273 2335at5820           -            732  2.2e-293  973.6  75.2   2   7   1.6e-10   4.9e-07   26.9   0.4   108   142   319   353   314   364 0.88 | transcript=PVW1_130052100_t1 | gene=PVW1_130052100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2063426-2067247(+) | protein_length=1273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476295.1         -           1273 2335at5820           -            732  2.2e-293  973.6  75.2   3   7   1.1e-45   3.2e-42  143.2   2.1   150   237   519   606   505   618 0.92 | transcript=PVW1_130052100_t1 | gene=PVW1_130052100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2063426-2067247(+) | protein_length=1273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476295.1         -           1273 2335at5820           -            732  2.2e-293  973.6  75.2   4   7   1.8e-24   5.4e-21   73.1   0.1   234   297   637   707   631   710 0.89 | transcript=PVW1_130052100_t1 | gene=PVW1_130052100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2063426-2067247(+) | protein_length=1273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476295.1         -           1273 2335at5820           -            732  2.2e-293  973.6  75.2   5   7  3.6e-158  1.1e-154  515.1  20.7   295   622   736  1079   728  1083 0.94 | transcript=PVW1_130052100_t1 | gene=PVW1_130052100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2063426-2067247(+) | protein_length=1273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476295.1         -           1273 2335at5820           -            732  2.2e-293  973.6  75.2   6   7   1.3e-09   3.9e-06   24.0   1.5   622   650  1110  1138  1103  1144 0.89 | transcript=PVW1_130052100_t1 | gene=PVW1_130052100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2063426-2067247(+) | protein_length=1273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476295.1         -           1273 2335at5820           -            732  2.2e-293  973.6  75.2   7   7   8.6e-37   2.6e-33  113.8   6.3   651   728  1181  1258  1173  1263 0.93 | transcript=PVW1_130052100_t1 | gene=PVW1_130052100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2063426-2067247(+) | protein_length=1273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475176.1         -            780 2335at5820           -            732   5.9e-08   30.0  23.5   1   4      0.21   6.2e+02   -3.2   1.3    92   132   105   145    84   185 0.71 | transcript=PVW1_100057400_t1 | gene=PVW1_100057400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2327043-2329385(+) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475176.1         -            780 2335at5820           -            732   5.9e-08   30.0  23.5   2   4      0.11   3.4e+02   -2.3   0.3   239   268   190   219   185   229 0.82 | transcript=PVW1_100057400_t1 | gene=PVW1_100057400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2327043-2329385(+) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475176.1         -            780 2335at5820           -            732   5.9e-08   30.0  23.5   3   4   0.00054       1.6    5.3   3.1   445   497   436   487   416   496 0.79 | transcript=PVW1_100057400_t1 | gene=PVW1_100057400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2327043-2329385(+) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475176.1         -            780 2335at5820           -            732   5.9e-08   30.0  23.5   4   4   1.9e-11   5.9e-08   30.0  23.5   441   604   500   662   490   775 0.80 | transcript=PVW1_100057400_t1 | gene=PVW1_100057400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2327043-2329385(+) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
