#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474842.1         -           1464 1030at5820           -           1196         0 2337.2  94.8   1   5  3.1e-276  1.6e-273  909.2  24.4     1   454    19   498    19   505 0.97 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 1030at5820           -           1196         0 2337.2  94.8   2   5   9.4e-74   4.8e-71  238.5   5.8   440   579   534   678   522   698 0.88 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 1030at5820           -           1196         0 2337.2  94.8   3   5   1.3e-17   6.6e-15   52.6   7.1   561   609   698   746   690   769 0.77 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 1030at5820           -           1196         0 2337.2  94.8   4   5  1.1e-228  5.3e-226  751.7  24.7   606  1000   797  1229   776  1239 0.93 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474842.1         -           1464 1030at5820           -           1196         0 2337.2  94.8   5   5  2.4e-124  1.2e-121  406.1   2.0  1002  1196  1269  1464  1265  1464 0.99 | transcript=PVW1_100035000_t1 | gene=PVW1_100035000 | organism=Plasmodium_vivax_PvW1 | gene_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | transcript_product=Multidrug resistance protein [Source:UniProtKB/TrEMBL;Acc:A0A6C0X2I2] | location=CAJZCX010000005:1389075-1393469(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473897.1         -           1568 1030at5820           -           1196   4.5e-56  188.9  21.4   1   1   1.3e-58   6.6e-56  188.4  21.4    61   597   387   933   330   955 0.73 | transcript=PVW1_120074000_t1 | gene=PVW1_120074000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:2909197-2913903(+) | protein_length=1568 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473127.1         -            998 1030at5820           -           1196   1.6e-35  120.8   5.9   1   2      0.15        76   -0.6  33.8     5   348   303   676   299   693 0.71 | transcript=PVW1_120017400_t1 | gene=PVW1_120017400 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG16] | transcript_product=ABC transporter B family member 6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG16] | location=CAJZCX010000004:581150-584146(+) | protein_length=998 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473127.1         -            998 1030at5820           -           1196   1.6e-35  120.8   5.9   2   2   3.2e-38   1.6e-35  120.8   5.9   351   562   769   970   761   996 0.88 | transcript=PVW1_120017400_t1 | gene=PVW1_120017400 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG16] | transcript_product=ABC transporter B family member 6, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG16] | location=CAJZCX010000004:581150-584146(+) | protein_length=998 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475479.1         -            918 1030at5820           -           1196     1e-32  111.5  24.3   1   3   4.6e-05     0.023   11.0  12.4   605   914   203   527   180   568 0.67 | transcript=PVW1_130015800_t1 | gene=PVW1_130015800 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | transcript_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | location=CAJZCX010000006:491554-494310(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475479.1         -            918 1030at5820           -           1196     1e-32  111.5  24.3   2   3   1.3e-15   6.7e-13   45.9   0.2   357   461   617   724   606   758 0.85 | transcript=PVW1_130015800_t1 | gene=PVW1_130015800 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | transcript_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | location=CAJZCX010000006:491554-494310(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475479.1         -            918 1030at5820           -           1196     1e-32  111.5  24.3   3   3   1.9e-20   9.6e-18   62.0   0.4   443   560   774   889   761   898 0.84 | transcript=PVW1_130015800_t1 | gene=PVW1_130015800 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | transcript_product=ABC transporter B family member 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2W2] | location=CAJZCX010000006:491554-494310(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477255.1         -            783 1030at5820           -           1196   3.6e-31  106.4   6.2   1   2      0.06        30    0.7  22.2    38   328   211   499   175   519 0.71 | transcript=PVW1_090050700_t1 | gene=PVW1_090050700 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | transcript_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | location=CAJZCX010000007:2028651-2031311(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477255.1         -            783 1030at5820           -           1196   3.6e-31  106.4   6.2   2   2   7.1e-34   3.6e-31  106.4   6.2   339   559   557   773   550   779 0.91 | transcript=PVW1_090050700_t1 | gene=PVW1_090050700 | organism=Plasmodium_vivax_PvW1 | gene_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | transcript_product=ABC transporter B family member 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY62] | location=CAJZCX010000007:2028651-2031311(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479356.1         -           1376 1030at5820           -           1196   1.1e-26   91.6  23.8   1   2   2.5e-12   1.3e-09   35.0   9.1   305   442   992  1133   984  1162 0.83 | transcript=PVW1_080043300_t1 | gene=PVW1_080043300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1641768-1645898(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479356.1         -           1376 1030at5820           -           1196   1.1e-26   91.6  23.8   2   2   1.6e-23   8.3e-21   72.1   6.7   453   586  1246  1371  1227  1375 0.87 | transcript=PVW1_080043300_t1 | gene=PVW1_080043300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1641768-1645898(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473257.1         -            815 1030at5820           -           1196   4.6e-22   76.3  18.8   1   3      0.55   2.8e+02   -2.5   6.5   689   869   194   385   174   439 0.48 | transcript=PVW1_120029400_t1 | gene=PVW1_120029400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1095420-1097867(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473257.1         -            815 1030at5820           -           1196   4.6e-22   76.3  18.8   2   3   9.8e-16     5e-13   46.3   0.8   339   441   481   585   476   590 0.88 | transcript=PVW1_120029400_t1 | gene=PVW1_120029400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1095420-1097867(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473257.1         -            815 1030at5820           -           1196   4.6e-22   76.3  18.8   3   3   7.9e-14     4e-11   40.0   0.2  1056  1164   682   786   670   803 0.82 | transcript=PVW1_120029400_t1 | gene=PVW1_120029400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1095420-1097867(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475828.1         -            695 1030at5820           -           1196     2e-17   60.9   0.7   1   2   3.9e-20     2e-17   60.9   0.7   327   547    25   236    18   271 0.83 | transcript=PVW1_130030100_t1 | gene=PVW1_130030100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1118574-1120661(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475828.1         -            695 1030at5820           -           1196     2e-17   60.9   0.7   2   2       4.6   2.3e+03   -5.5   4.4   233   300   502   571   495   598 0.77 | transcript=PVW1_130030100_t1 | gene=PVW1_130030100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1118574-1120661(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
