#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472446.1         -            631 4970at5820           -            546         0 1086.3  47.1   1   3  1.3e-171  1.4e-168  560.4  13.7     1   260     1   263     1   270 0.99 | transcript=PVW1_140061500_t1 | gene=PVW1_140061500 | organism=Plasmodium_vivax_PvW1 | gene_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | transcript_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | location=CAJZCX010000003:2456607-2458627(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472446.1         -            631 4970at5820           -            546         0 1086.3  47.1   2   3  3.4e-159  3.4e-156  519.5  15.2   252   521   295   577   284   583 0.97 | transcript=PVW1_140061500_t1 | gene=PVW1_140061500 | organism=Plasmodium_vivax_PvW1 | gene_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | transcript_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | location=CAJZCX010000003:2456607-2458627(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472446.1         -            631 4970at5820           -            546         0 1086.3  47.1   3   3   1.8e-07   0.00019   18.7   2.4   501   546   586   631   582   631 0.90 | transcript=PVW1_140061500_t1 | gene=PVW1_140061500 | organism=Plasmodium_vivax_PvW1 | gene_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | transcript_product=SUMO-activating enzyme subunit [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5J2] | location=CAJZCX010000003:2456607-2458627(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472329.1         -           1143 4970at5820           -            546   8.1e-43  145.3  16.7   1   3   5.9e-06     0.006   13.7   4.6    12   187    57   231    51   247 0.76 | transcript=PVW1_140050300_t1 | gene=PVW1_140050300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1969199-1973142(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472329.1         -           1143 4970at5820           -            546   8.1e-43  145.3  16.7   2   3   1.3e-32   1.3e-29  101.7   0.1     7   212   512   731   507   757 0.85 | transcript=PVW1_140050300_t1 | gene=PVW1_140050300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1969199-1973142(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472329.1         -           1143 4970at5820           -            546   8.1e-43  145.3  16.7   3   3   6.5e-13   6.5e-10   36.7   0.8   289   363   905   981   862  1002 0.83 | transcript=PVW1_140050300_t1 | gene=PVW1_140050300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1969199-1973142(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 4970at5820           -            546   4.1e-28   96.7  16.8   1   4   1.9e-09   1.9e-06   25.2   5.4    15   120   210   311   195   357 0.80 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 4970at5820           -            546   4.1e-28   96.7  16.8   2   4   8.1e-13   8.2e-10   36.3   0.0     9    90   660   750   653   760 0.81 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 4970at5820           -            546   4.1e-28   96.7  16.8   3   4   6.5e-09   6.5e-06   23.5   0.2   113   200   818   908   814   952 0.86 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473372.1         -           1680 4970at5820           -            546   4.1e-28   96.7  16.8   4   4   5.8e-07   0.00058   17.0   0.1   295   355  1189  1252  1183  1259 0.83 | transcript=PVW1_120035900_t1 | gene=PVW1_120035900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1317091-1322133(-) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479845.1         -            406 4970at5820           -            546   4.5e-24   83.4   5.9   1   2   3.5e-26   3.6e-23   80.4   3.2    20   220     4   226     1   266 0.79 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479845.1         -            406 4970at5820           -            546   4.5e-24   83.4   5.9   2   2     0.021        22    1.9   0.2   397   417   306   326   225   336 0.63 | transcript=PVW1_050023400_t1 | gene=PVW1_050023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:798821-800041(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477539.1         -            534 4970at5820           -            546   8.6e-21   72.6   3.6   1   1   1.4e-23   1.4e-20   71.9   3.6    14   169    98   257    89   262 0.92 | transcript=PVW1_110012000_t1 | gene=PVW1_110012000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:290867-292471(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476955.1         -           1216 4970at5820           -            546   2.8e-09   34.6   0.1   1   1   4.4e-12   4.5e-09   33.9   0.1     7    98   747   844   741   864 0.88 | transcript=PVW1_090031500_t1 | gene=PVW1_090031500 | organism=Plasmodium_vivax_PvW1 | gene_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | transcript_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | location=CAJZCX010000007:1186605-1190368(-) | protein_length=1216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4970at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4970at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4970at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
