#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9484588.1         -            107 14652at5820          -             79   5.9e-41  137.0   8.4   1   1     3e-43   1.1e-40  136.1   8.4    10    79    38   107    14   107 0.97 | transcript=PVW1_010007200_t1 | gene=PVW1_010007200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:115300-116200(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473823.1         -            177 14652at5820          -             79   3.9e-10   38.3   9.2   1   2   9.6e-08   3.6e-05   22.3   0.6    10    76    20    86    14    89 0.87 | transcript=PVW1_120070100_t1 | gene=PVW1_120070100 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcineurin subunit B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H255] | transcript_product=Calcineurin subunit B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H255] | location=CAJZCX010000004:2734372-2735803(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473823.1         -            177 14652at5820          -             79   3.9e-10   38.3   9.2   2   2   1.2e-06   0.00047   18.8   2.5    22    73   101   161    87   167 0.68 | transcript=PVW1_120070100_t1 | gene=PVW1_120070100 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcineurin subunit B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H255] | transcript_product=Calcineurin subunit B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H255] | location=CAJZCX010000004:2734372-2735803(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484036.1         -            168 14652at5820          -             79   2.4e-09   35.7  13.9   1   2   1.5e-11   5.6e-09   34.5   0.9     9    73    18    86    12    94 0.90 | transcript=PVW1_020015500_t1 | gene=PVW1_020015500 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRC8] | transcript_product=Centrin-1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRC8] | location=CAJZCX010000015:478212-479524(-) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484036.1         -            168 14652at5820          -             79   2.4e-09   35.7  13.9   2   2     0.022       8.2    5.2   2.8    13    46   130   164   119   167 0.68 | transcript=PVW1_020015500_t1 | gene=PVW1_020015500 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRC8] | transcript_product=Centrin-1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRC8] | location=CAJZCX010000015:478212-479524(-) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475647.1         -            149 14652at5820          -             79   1.8e-08   32.9   9.5   1   2   6.2e-07   0.00024   19.7   0.1    10    75     3    72     1    76 0.87 | transcript=PVW1_130022200_t1 | gene=PVW1_130022200 | organism=Plasmodium_vivax_PvW1 | gene_product=Calmodulin, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H332] | transcript_product=Calmodulin, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H332] | location=CAJZCX010000006:788817-789814(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475647.1         -            149 14652at5820          -             79   1.8e-08   32.9   9.5   2   2   6.3e-05     0.024   13.3   5.1    11    73    76   143    69   146 0.76 | transcript=PVW1_130022200_t1 | gene=PVW1_130022200 | organism=Plasmodium_vivax_PvW1 | gene_product=Calmodulin, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H332] | transcript_product=Calmodulin, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H332] | location=CAJZCX010000006:788817-789814(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481600.1         -            179 14652at5820          -             79   1.5e-06   26.8  13.8   1   3   2.1e-08     8e-06   24.4   2.0     9    73    29    97    26   103 0.88 | transcript=PVW1_060019200_t1 | gene=PVW1_060019200 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P9] | transcript_product=Centrin-3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P9] | location=CAJZCX010000012:616855-618255(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481600.1         -            179 14652at5820          -             79   1.5e-06   26.8  13.8   2   3      0.14        55    2.5   0.1    51    71   112   132   107   139 0.87 | transcript=PVW1_060019200_t1 | gene=PVW1_060019200 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P9] | transcript_product=Centrin-3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P9] | location=CAJZCX010000012:616855-618255(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481600.1         -            179 14652at5820          -             79   1.5e-06   26.8  13.8   3   3     0.006       2.3    7.0   1.1    10    46   142   175   136   177 0.82 | transcript=PVW1_060019200_t1 | gene=PVW1_060019200 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P9] | transcript_product=Centrin-3, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9P9] | location=CAJZCX010000012:616855-618255(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476647.1         -            344 14652at5820          -             79   2.9e-06   25.8  18.1   1   4   0.00013     0.051   12.3   1.1    16    71    60   119    57   127 0.87 | transcript=PVW1_090014500_t1 | gene=PVW1_090014500 | organism=Plasmodium_vivax_PvW1 | gene_product=Endoplasmic reticulum-resident calcium binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCQ6] | transcript_product=Endoplasmic reticulum-resident calcium binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCQ6] | location=CAJZCX010000007:505379-506413(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
