#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473418.1         -           1986 538at5820            -           1455         0 2666.7  69.3   1   7  1.5e-168  8.2e-166  552.0   0.3     1   265     1   278     1   286 0.97 | transcript=PVW1_120039900_t1 | gene=PVW1_120039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1451999-1458495(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473418.1         -           1986 538at5820            -           1455         0 2666.7  69.3   2   7  1.3e-258  7.3e-256  850.4   3.6   264   704   331   800   326   806 0.96 | transcript=PVW1_120039900_t1 | gene=PVW1_120039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1451999-1458495(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473418.1         -           1986 538at5820            -           1455         0 2666.7  69.3   3   7   1.8e-91   9.7e-89  296.6  19.7   702   921   852  1093   837  1098 0.90 | transcript=PVW1_120039900_t1 | gene=PVW1_120039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1451999-1458495(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473418.1         -           1986 538at5820            -           1455         0 2666.7  69.3   4   7   6.5e-11   3.6e-08   29.6   0.2   921   957  1174  1210  1167  1223 0.90 | transcript=PVW1_120039900_t1 | gene=PVW1_120039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1451999-1458495(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473418.1         -           1986 538at5820            -           1455         0 2666.7  69.3   5   7   1.1e-80   5.9e-78  260.8   1.2   956  1113  1289  1460  1287  1475 0.93 | transcript=PVW1_120039900_t1 | gene=PVW1_120039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1451999-1458495(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473418.1         -           1986 538at5820            -           1455         0 2666.7  69.3   6   7   3.7e-45   2.1e-42  143.1   0.1  1107  1191  1604  1688  1583  1698 0.93 | transcript=PVW1_120039900_t1 | gene=PVW1_120039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1451999-1458495(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473418.1         -           1986 538at5820            -           1455         0 2666.7  69.3   7   7  2.2e-171  1.2e-168  561.4   6.5  1190  1455  1714  1986  1710  1986 0.98 | transcript=PVW1_120039900_t1 | gene=PVW1_120039900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1451999-1458495(+) | protein_length=1986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473232.1         -            817 538at5820            -           1455  2.1e-113  378.3  10.4   1   1  4.8e-116  2.6e-113  378.0  10.4    66   744   101   795    85   816 0.86 | transcript=PVW1_120026800_t1 | gene=PVW1_120026800 | organism=Plasmodium_vivax_PvW1 | gene_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0V5] | transcript_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0V5] | location=CAJZCX010000004:1007664-1010405(-) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475146.1         -            800 538at5820            -           1455   2.4e-87  292.0  41.0   1   1   5.6e-90   3.1e-87  291.6  41.0    48   737    71   760    48   797 0.84 | transcript=PVW1_100054400_t1 | gene=PVW1_100054400 | organism=Plasmodium_vivax_PvW1 | gene_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ42] | transcript_product=Myosin motor domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ42] | location=CAJZCX010000005:2216695-2220462(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477186.1         -           1716 538at5820            -           1455   3.6e-77  258.2  74.0   1   6   1.3e-21   6.9e-19   65.1   0.4    14   173    52   221    44   240 0.77 | transcript=PVW1_090045700_t1 | gene=PVW1_090045700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1809963-1815586(+) | protein_length=1716 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477186.1         -           1716 538at5820            -           1455   3.6e-77  258.2  74.0   2   6   1.5e-24   8.1e-22   74.8   0.0   182   265   340   421   320   444 0.87 | transcript=PVW1_090045700_t1 | gene=PVW1_090045700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1809963-1815586(+) | protein_length=1716 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
