#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476740.1         -           1011 5341at5820           -            799         0 1275.4  18.3   1   1         0         0 1275.0  18.3     1   799     1  1011     1  1011 0.86 | transcript=PVW1_090022200_t1 | gene=PVW1_090022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:795804-799481(-) | protein_length=1011 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472106.1         -            244 5341at5820           -            799     0.049   10.4  14.1   1   1   0.00011     0.053   10.3  14.1   424   539    50   156    11   217 0.45 | transcript=PVW1_140029800_t1 | gene=PVW1_140029800 | organism=Plasmodium_vivax_PvW1 | gene_product=EF-hand domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK27] | transcript_product=EF-hand domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK27] | location=CAJZCX010000003:1098258-1099402(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477480.1         -            250 5341at5820           -            799     0.095    9.4   9.1   1   1   0.00025      0.12    9.1   9.1   426   570    69   210    59   236 0.56 | transcript=PVW1_110009500_t1 | gene=PVW1_110009500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:194027-194779(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474932.1         -            155 5341at5820           -            799      0.54    6.9   7.5   1   1    0.0011      0.53    6.9   7.5   415   542    58   130     4   148 0.41 | transcript=PVW1_100041400_t1 | gene=PVW1_100041400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1681178-1681961(-) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480785.1         -            215 5341at5820           -            799       1.2    5.8   6.7   1   1    0.0029       1.3    5.6   6.7   440   514    69   142    48   201 0.40 | transcript=PVW1_070038400_t1 | gene=PVW1_070038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1413632-1414279(-) | protein_length=215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471921.1         -            158 5341at5820           -            799       2.2    4.9   8.4   1   1    0.0044       2.1    5.0   8.4   431   546    90   150     7   158 0.41 | transcript=PVW1_140017900_t1 | gene=PVW1_140017900 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJQ0] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJQ0] | location=CAJZCX010000003:590167-590643(-) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472671.1         -            318 5341at5820           -            799       2.9    4.5  18.3   1   1    0.0081       3.8    4.1  18.3   381   544    44   217     5   277 0.55 | transcript=PVW1_140077900_t1 | gene=PVW1_140077900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:3123948-3124904(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471845.1         -            539 5341at5820           -            799       3.3    4.3  13.5   1   1     0.011       5.3    3.6  13.5   422   529   111   216    49   265 0.59 | transcript=PVW1_140013000_t1 | gene=PVW1_140013000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:387137-389119(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478828.1         -            381 5341at5820           -            799       3.8    4.1  13.7   1   1    0.0099       4.6    3.8  13.7   439   579   123   270    21   280 0.56 | transcript=PVW1_080015800_t1 | gene=PVW1_080015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:517891-519976(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471885.1         -            162 5341at5820           -            799       3.9    4.1  12.7   1   1    0.0097       4.5    3.9  12.7   380   499    46   154    32   162 0.53 | transcript=PVW1_140016300_t1 | gene=PVW1_140016300 | organism=Plasmodium_vivax_PvW1 | gene_product=60S ribosomal protein L24, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H484] | transcript_product=60S ribosomal protein L24, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H484] | location=CAJZCX010000003:537187-538391(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475313.1         -            251 5341at5820           -            799         5    3.7   6.9   1   1     0.011       5.3    3.6   6.9   422   545    24   129     8   205 0.51 | transcript=PVW1_130007800_t1 | gene=PVW1_130007800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:129653-130830(-) | protein_length=251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476527.1         -            585 5341at5820           -            799       7.1    3.2   9.4   1   1     0.021       9.8    2.8   9.4   472   570    79   182    44   199 0.51 | transcript=PVW1_090009400_t1 | gene=PVW1_090009400 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCB5] | transcript_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCB5] | location=CAJZCX010000007:274236-277874(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471999.1         -            209 5341at5820           -            799       7.9    3.1  13.7   1   1     0.022        10    2.7  13.7   436   566    26   164     9   193 0.56 | transcript=PVW1_140024600_t1 | gene=PVW1_140024600 | organism=Plasmodium_vivax_PvW1 | gene_product=RanBP2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK73] | transcript_product=RanBP2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK73] | location=CAJZCX010000003:871435-872064(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5341at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5341at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5341at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:22 2026
# [ok]
