#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480330.1         -           1013 1972at5820           -            810         0 1695.8  70.6   1   2         0         0 1084.1  34.1     1   482     1   496     1   520 0.98 | transcript=PVW1_070010800_t1 | gene=PVW1_070010800 | organism=Plasmodium_vivax_PvW1 | gene_product=Coatomer subunit beta' [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUX4] | transcript_product=Coatomer subunit beta' [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUX4] | location=CAJZCX010000011:343102-346143(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480330.1         -           1013 1972at5820           -            810         0 1695.8  70.6   2   2  3.9e-188  1.1e-185  617.8  28.5   480   810   530   894   522   894 0.95 | transcript=PVW1_070010800_t1 | gene=PVW1_070010800 | organism=Plasmodium_vivax_PvW1 | gene_product=Coatomer subunit beta' [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUX4] | transcript_product=Coatomer subunit beta' [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUX4] | location=CAJZCX010000011:343102-346143(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 1972at5820           -            810   1.3e-43  147.9   3.6   1   5     1e-25   2.8e-23   80.6   0.2    12   173     6   165     2   191 0.92 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 1972at5820           -            810   1.3e-43  147.9   3.6   2   5     7e-25   1.9e-22   77.9   0.3   182   331   239   389   207   396 0.90 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 1972at5820           -            810   1.3e-43  147.9   3.6   3   5       1.8   5.1e+02   -2.9   0.0   629   664   409   448   389   457 0.75 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 1972at5820           -            810   1.3e-43  147.9   3.6   4   5       2.5     7e+02   -3.4   1.0   437   469   597   631   514   718 0.56 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478160.1         -           1397 1972at5820           -            810   1.3e-43  147.9   3.6   5   5     0.027       7.5    3.2   5.4   581   715   780   921   768   930 0.72 | transcript=PVW1_110048100_t1 | gene=PVW1_110048100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1816135-1820909(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 1972at5820           -            810   1.5e-21   74.9  19.3   1   4     8e-12   2.2e-09   34.7   0.4   177   283   109   213    41   227 0.90 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 1972at5820           -            810   1.5e-21   74.9  19.3   2   4   6.4e-08   1.8e-05   21.8   1.6   158   244   341   423   332   440 0.83 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 1972at5820           -            810   1.5e-21   74.9  19.3   3   4   7.3e-08     2e-05   21.6   1.3   185   265   490   568   431   575 0.82 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477260.1         -            660 1972at5820           -            810   1.5e-21   74.9  19.3   4   4    0.0015      0.43    7.3   0.1   178   220   619   659   609   660 0.84 | transcript=PVW1_090051200_t1 | gene=PVW1_090051200 | organism=Plasmodium_vivax_PvW1 | gene_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | transcript_product=NLE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GY64] | location=CAJZCX010000007:2044913-2046895(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
