#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483185.1         -            384 9330at5820           -            298  7.7e-143  473.6  25.3   1   2   7.7e-66   5.2e-63  211.5  10.6     1   156     1   192     1   194 0.92 | transcript=PVW1_030011400_t1 | gene=PVW1_030011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Pv41 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L3P4] | transcript_product=Pv41 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L3P4] | location=CAJZCX010000014:334439-335593(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483185.1         -            384 9330at5820           -            298  7.7e-143  473.6  25.3   2   2   1.2e-81   8.2e-79  263.4   6.6   147   298   226   382   203   382 0.94 | transcript=PVW1_030011400_t1 | gene=PVW1_030011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Pv41 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L3P4] | transcript_product=Pv41 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L3P4] | location=CAJZCX010000014:334439-335593(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 9330at5820           -            298   7.4e-75  250.4 104.5   1  18   2.4e-07   0.00016   19.5  10.7    18   278   258   530   252   541 0.72 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 9330at5820           -            298   7.4e-75  250.4 104.5   2  18      0.12        84    0.7   1.9    18    66   568   617   556   646 0.62 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 9330at5820           -            298   7.4e-75  250.4 104.5   3  18   2.2e-22   1.5e-19   68.8   2.2   154   280   769   908   760   924 0.79 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 9330at5820           -            298   7.4e-75  250.4 104.5   4  18       0.5   3.4e+02   -1.3   0.1    32    79   959  1008   954  1022 0.74 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 9330at5820           -            298   7.4e-75  250.4 104.5   5  18   5.8e-13   3.9e-10   37.9   1.7   159   274  1087  1197  1040  1204 0.87 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 9330at5820           -            298   7.4e-75  250.4 104.5   6  18    0.0074         5    4.7   0.1    13    60  1350  1403  1340  1421 0.75 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 9330at5820           -            298   7.4e-75  250.4 104.5   7  18      0.38   2.6e+02   -0.9   0.0    97   120  1502  1525  1496  1532 0.85 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 9330at5820           -            298   7.4e-75  250.4 104.5   8  18   1.9e-17   1.3e-14   52.6   5.4   153   291  1532  1672  1514  1678 0.86 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 9330at5820           -            298   7.4e-75  250.4 104.5   9  18     0.056        38    1.9   0.1    16    58  1683  1728  1675  1777 0.76 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482616.1         -           2736 9330at5820           -            298   7.4e-75  250.4 104.5  10  18   1.8e-09   1.2e-06   26.5   0.1   148   237  1811  1899  1798  1930 0.85 | transcript=PVW1_040022100_t1 | gene=PVW1_040022100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:728244-736454(-) | protein_length=2736 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
