#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479092.1         -            108 14695at5820          -             87   3.5e-57  189.2  15.1   1   1   7.9e-60   6.8e-57  188.3  15.1     1    87    12   106    12   106 0.97 | transcript=PVW1_080026600_t1 | gene=PVW1_080026600 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBV0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBV0] | location=CAJZCX010000009:976476-976802(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477857.1         -             89 14695at5820          -             87   1.4e-10   39.9  12.7   1   1   3.8e-13   3.3e-10   38.7  12.7     3    84     5    83     3    86 0.86 | transcript=PVW1_110030600_t1 | gene=PVW1_110030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Anaphase-promoting complex subunit 11 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZW0] | transcript_product=Anaphase-promoting complex subunit 11 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZW0] | location=CAJZCX010000008:1124830-1125099(-) | protein_length=89 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475900.1         -            520 14695at5820          -             87    0.0092   14.8   2.8   1   2       2.1   1.8e+03   -2.2   0.0    19    29   295   305   292   311 0.82 | transcript=PVW1_130033100_t1 | gene=PVW1_130033100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | location=CAJZCX010000006:1233244-1235580(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475900.1         -            520 14695at5820          -             87    0.0092   14.8   2.8   2   2   1.5e-05     0.013   14.3   0.9    55    82   313   340   309   345 0.89 | transcript=PVW1_130033100_t1 | gene=PVW1_130033100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIV3] | location=CAJZCX010000006:1233244-1235580(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474765.1         -            284 14695at5820          -             87     0.015   14.1   3.2   1   2         5   4.4e+03   -3.4   0.0    10    41     8    39     6    44 0.65 | transcript=PVW1_100028000_t1 | gene=PVW1_100028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | location=CAJZCX010000005:1109632-1110967(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474765.1         -            284 14695at5820          -             87     0.015   14.1   3.2   2   2     5e-05     0.044   12.6   2.1    55    78   253   276   224   281 0.81 | transcript=PVW1_100028000_t1 | gene=PVW1_100028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDR0] | location=CAJZCX010000005:1109632-1110967(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479179.1         -           1201 14695at5820          -             87     0.017   14.0   1.2   1   1   5.5e-05     0.048   12.5   1.2    52    79  1168  1195  1142  1200 0.85 | transcript=PVW1_080031100_t1 | gene=PVW1_080031100 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK5] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK5] | location=CAJZCX010000009:1193301-1196906(+) | protein_length=1201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481623.1         -            272 14695at5820          -             87     0.025   13.4   1.1   1   1   7.2e-05     0.062   12.1   1.1    48    77   229   258   212   266 0.86 | transcript=PVW1_060019700_t1 | gene=PVW1_060019700 | organism=Plasmodium_vivax_PvW1 | gene_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | transcript_product=RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUE8] | location=CAJZCX010000012:634555-635373(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478669.1         -           1166 14695at5820          -             87     0.027   13.3   3.2   1   1   8.6e-05     0.075   11.9   3.2    33    77   361   404   340   410 0.72 | transcript=PVW1_080009300_t1 | gene=PVW1_080009300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:250338-253838(-) | protein_length=1166 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14695at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14695at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14695at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:10 2026
# [ok]
