#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9484788.1         -            234 11249at5820          -            199  4.9e-118  390.4  12.4   1   2     1e-81   8.7e-79  262.2   6.9     1   128     7   134     7   146 0.98 | transcript=PVW1_010012700_t1 | gene=PVW1_010012700 | organism=Plasmodium_vivax_PvW1 | gene_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H686] | transcript_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H686] | location=CAJZCX010000016:388960-390305(+) | protein_length=234 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484788.1         -            234 11249at5820          -            199  4.9e-118  390.4  12.4   2   2   9.9e-42   8.6e-39  131.7   0.3   126   199   156   234   149   234 0.95 | transcript=PVW1_010012700_t1 | gene=PVW1_010012700 | organism=Plasmodium_vivax_PvW1 | gene_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H686] | transcript_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H686] | location=CAJZCX010000016:388960-390305(+) | protein_length=234 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479972.1         -            649 11249at5820          -            199   1.1e-05   23.6   2.5   1   2   1.3e-08   1.1e-05   23.6   2.5    19   136   133   245   119   259 0.81 | transcript=PVW1_050034700_t1 | gene=PVW1_050034700 | organism=Plasmodium_vivax_PvW1 | gene_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H973] | transcript_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H973] | location=CAJZCX010000010:1266235-1268184(+) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479972.1         -            649 11249at5820          -            199   1.1e-05   23.6   2.5   2   2         7   6.1e+03   -8.9   7.2    25    51   617   644   603   648 0.49 | transcript=PVW1_050034700_t1 | gene=PVW1_050034700 | organism=Plasmodium_vivax_PvW1 | gene_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H973] | transcript_product=Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H973] | location=CAJZCX010000010:1266235-1268184(+) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482560.1         -           1029 11249at5820          -            199   0.00054   18.1   0.8   1   2       3.1   2.7e+03   -3.8   0.1     8    23   119   134   117   137 0.87 | transcript=PVW1_040019500_t1 | gene=PVW1_040019500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | location=CAJZCX010000013:629604-632693(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482560.1         -           1029 11249at5820          -            199   0.00054   18.1   0.8   2   2   6.2e-07   0.00054   18.1   0.8    69   139   837   912   766   918 0.67 | transcript=PVW1_040019500_t1 | gene=PVW1_040019500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | location=CAJZCX010000013:629604-632693(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 11249at5820          -            199    0.0016   16.5   1.3   1   1   3.7e-06    0.0032   15.6   1.3    41   142    63   170     9   186 0.71 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473797.1         -            861 11249at5820          -            199    0.0021   16.2   6.8   1   1   6.3e-06    0.0055   14.8   6.8    25   140   509   629   492   634 0.83 | transcript=PVW1_120067500_t1 | gene=PVW1_120067500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H220] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H220] | location=CAJZCX010000004:2619393-2621978(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479267.1         -           1607 11249at5820          -            199    0.0078   14.3   1.3   1   1   1.5e-05     0.013   13.5   1.3    40   127  1382  1474  1349  1488 0.78 | transcript=PVW1_080036700_t1 | gene=PVW1_080036700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1393748-1399176(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480634.1         -           3239 11249at5820          -            199      0.11   10.5   2.9   1   2    0.0012       1.1    7.3   0.2    18    72  2816  2866  2806  2875 0.81 | transcript=PVW1_070031000_t1 | gene=PVW1_070031000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1133837-1143556(-) | protein_length=3239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480634.1         -           3239 11249at5820          -            199      0.11   10.5   2.9   2   2     0.025        22    3.0   0.3    98   138  3056  3098  3018  3106 0.74 | transcript=PVW1_070031000_t1 | gene=PVW1_070031000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1133837-1143556(-) | protein_length=3239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11249at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11249at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11249at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:51 2026
# [ok]
