#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480699.1         -            635 6365at5820           -            498    1e-229  761.5  65.5   1   3   9.1e-82     5e-79  264.5  25.1     1   183    23   226    23   232 0.93 | transcript=PVW1_070035400_t1 | gene=PVW1_070035400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | location=CAJZCX010000011:1288133-1290772(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480699.1         -            635 6365at5820           -            498    1e-229  761.5  65.5   2   3   1.5e-60     8e-58  194.6   1.4   179   324   264   418   258   427 0.94 | transcript=PVW1_070035400_t1 | gene=PVW1_070035400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | location=CAJZCX010000011:1288133-1290772(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480699.1         -            635 6365at5820           -            498    1e-229  761.5  65.5   3   3   8.6e-97   4.7e-94  314.1  23.8   322   498   457   633   453   633 0.99 | transcript=PVW1_070035400_t1 | gene=PVW1_070035400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | location=CAJZCX010000011:1288133-1290772(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481748.1         -            317 6365at5820           -            498   1.6e-32  111.1  66.2   1   4   8.4e-11   4.6e-08   30.4  12.8    76   151     7    80     2    81 0.88 | transcript=PVW1_060024400_t1 | gene=PVW1_060024400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | location=CAJZCX010000012:796314-797805(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481748.1         -            317 6365at5820           -            498   1.6e-32  111.1  66.2   2   4     2e-19   1.1e-16   58.9  19.1    65   151    60   146    59   147 0.97 | transcript=PVW1_060024400_t1 | gene=PVW1_060024400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | location=CAJZCX010000012:796314-797805(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481748.1         -            317 6365at5820           -            498   1.6e-32  111.1  66.2   3   4   5.8e-08   3.2e-05   21.1   4.9    57   123   140   207   139   208 0.91 | transcript=PVW1_060024400_t1 | gene=PVW1_060024400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | location=CAJZCX010000012:796314-797805(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481748.1         -            317 6365at5820           -            498   1.6e-32  111.1  66.2   4   4   1.4e-12     8e-10   36.2  16.5    64   146   192   278   183   307 0.78 | transcript=PVW1_060024400_t1 | gene=PVW1_060024400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Z2] | location=CAJZCX010000012:796314-797805(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 6365at5820           -            498   2.2e-27   94.2  88.7   1   8   3.1e-10   1.7e-07   28.5  10.4    55   146    40   132    17   137 0.88 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 6365at5820           -            498   2.2e-27   94.2  88.7   2   8   2.3e-07   0.00012   19.1   2.0   111   163   141   193   137   227 0.89 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 6365at5820           -            498   2.2e-27   94.2  88.7   3   8    0.0048       2.7    4.8   0.1    83   165   795   884   773   898 0.53 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 6365at5820           -            498   2.2e-27   94.2  88.7   4   8   9.8e-06    0.0054   13.7   7.1    85   151   973  1040   967  1041 0.91 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
